ID	Database	Citation
1406652	Pubmed	"Characterization of the human lipoprotein lipase (LPL) promoter: evidence of two cis-regulatory regions, LP-alpha and LP-beta, of importance for the differentiation-linked induction of the LPL gene during adipogenesis. Enerbäck S, Ohlsson BG, Samuelsson L, Bjursell G. Mol Cell Biol. 1992 Oct;12(10):4622–33.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/1406652"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/1406652"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/1406652"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12921235	Pubmed	"The nuclear lamina and its functions in the nucleus. Gruenbaum Y, Goldman RD, Meyuhas R, Mills E, Margalit A, Fridkin A, et al. Int Rev Cytol. 2003;226:1–62.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12921235"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12921235"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12921235"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
17660942	Pubmed	"From old organisms to new molecules: integrative biology and therapeutic targets in accelerated human ageing. Cox LS, Faragher RGA. Cell Mol Life Sci. 2007 Oct;64(19–20):2620–41.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17660942"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/17660942"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/17660942"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
19841733	Pubmed	"Krüppel-like family of transcription factors: an emerging new frontier in fat biology. Brey CW, Nelder MP, Hailemariam T, Gaugler R, Hashmi S. Int J Biol Sci. 2009 Oct 1;5(6):622–36.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/19841733"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/19841733"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/19841733"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
19956441	Pubmed	"CAAX-box protein, prenylation process and carcinogenesis. Gao J, Liao J, Yang GY. Am J Transl Res. 2009 May 25;1(3):312–25.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/19956441"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/19956441"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/19956441"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
21633178	Pubmed	"The role of lipid droplets in metabolic disease in rodents and humans. Greenberg AS, Coleman RA, Kraemer FB, McManaman JL, Obin MS, Puri V, et al. J Clin Invest. 2011 Jun;121(6):2102–10.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21633178"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/21633178"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/21633178"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
21636835	Pubmed	"Differential regulation of CIDEA and CIDEC expression by insulin via Akt1/2- and JNK2-dependent pathways in human adipocytes. Ito M, Nagasawa M, Omae N, Ide T, Akasaka Y, Murakami K. J Lipid Res. 2011 Aug;52(8):1450–60.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21636835"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/21636835"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/21636835"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
21639948	Pubmed	"The lamin protein family. Dittmer TA, Misteli T. Genome Biol. 2011;12(5):222.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21639948"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/21639948"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/21639948"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
24369348	Pubmed	"Cidea controls lipid droplet fusion and lipid storage in brown and white adipose tissue. Wu L, Zhou L, Chen C, Gong J, Xu L, Ye J, et al. Sci China Life Sci. 2014 Jan;57(1):107–16.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/24369348"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/24369348"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/24369348"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
25418138	Pubmed	"CIDEC/FSP27 is regulated by peroxisome proliferator-activated receptor alpha and plays a critical role in fasting- and diet-induced hepatosteatosis. Langhi C, Baldán Á. Hepatology. 2015 Apr;61(4):1227–38.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/25418138"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/25418138"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/25418138"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
