Label	Type	ID	Database	
autophagosome
formation	Pathway		
neurodevelopmental
disorders	Pathway		
blood
pressure	Pathway		
PMEPA1	GeneProduct	ENSG00000124225	Ensembl
Ebola Virus
Pathway on Host	Pathway	WP4217	WikiPathways
TGF-B signaling
pathway	Pathway	WP3874	WikiPathways
NEDD4	GeneProduct	ENSG00000069869	Ensembl
LDLRAD4-AS1	Rna	ENSG00000267690	Ensembl
LDLRAD4	GeneProduct	ENSG00000168675	Ensembl
SMAD2	GeneProduct	ENSG00000175387	Ensembl
hsa-miR-20a-5p	Rna	MIMAT0000075	miRBase mature sequence
ATG16L1	GeneProduct	ENSG00000085978	Ensembl
TGFBR2	GeneProduct	ENSG00000163513	Ensembl
LDLRAD4	GeneProduct	ENSG00000168675	Ensembl
SMAD2	GeneProduct	ENSG00000175387	Ensembl
TGFBR1	GeneProduct	ENSG00000106799	Ensembl
LDLRAD4	GeneProduct	ENSG00000168675	Ensembl
NEDD4	GeneProduct	ENSG00000069869	Ensembl
