Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
L-Valine	Metabolite	chebi:16414	Ce:CHEBI:16414:T						wikidata:Q483752	chebi:16414;chebi:16414	inchikey:KZSNJWFQEVHDMF-BYPYZUCNSA-N
(E)-2-Methylpropanal oxime	Metabolite	kegg.compound:C03219	Ck:C03219:T						wikidata:Q27130845	chebi:61143;chebi:61143;chebi:48943;chebi:48943;chebi:17502	inchikey:AMIMRNSIRUDHCM-UHFFFAOYSA-N;inchikey:SYJPAKDNFZLSMV-HWKANZROSA-N
2-Oxo-3-methyl-butanoic acid	Metabolite	chebi:16530	Ce:CHEBI:16530:T						wikidata:Q2823217	chebi:16530;chebi:16530	inchikey:QHKABHOOEWYVLI-UHFFFAOYSA-N
2-Oxo-4-methyl-pentanoic acid	Metabolite	pubchem.compound:70	Cpc:70:T						wikidata:Q622421	chebi:48430;chebi:48430	inchikey:BKAJNAXTPSGJCU-UHFFFAOYSA-N
2-Oxo-3-methyl-pentanoic acid	Metabolite	pubchem.compound:47	Cpc:47:T						wikidata:Q23905808	chebi:35932;chebi:35932	inchikey:JVQYSWDUAOAHFM-UHFFFAOYSA-N
L-leucine	Metabolite	chebi:15603	Ce:CHEBI:15603:T						wikidata:Q483745	chebi:15603;chebi:15603	inchikey:ROHFNLRQFUQHCH-YFKPBYRVSA-N
L-isoleucine	Metabolite	chebi:17191	Ce:CHEBI:17191:T						wikidata:Q484940	chebi:17191;chebi:17191	inchikey:AGPKZVBTJJNPAG-WHFBIAKZSA-N
1-Methylethyl glucosinolate	Metabolite	chebi:5414	Ce:CHEBI:5414:T						wikidata:Q27106766	chebi:5414;chebi:5414	inchikey:WGIQZGDVCQDPTG-WUBUQRIPSA-M
3-Methylbutyraldehyde oxime	Metabolite	kegg.compound:C17255	Ck:C17255:T						wikidata:Q27154959	chebi:80990;chebi:80990	inchikey:JAUPRNSQRRCCRR-GQCTYLIASA-N
2-Methylpropyl glucosinolate	Metabolite	kegg.compound:C17256	Ck:C17256:T						wikidata:Q27148389	chebi:79338;chebi:175821;chebi:79338	inchikey:SKLKAEFXBVWMJP-IIPHORNXSA-N
(E)-2-Methylbutanal oxime	Metabolite	kegg.compound:C19491	Ck:C19491:T						wikidata:Q27130840	chebi:61136;chebi:134628;chebi:61136	inchikey:SEWWFHKIKWFJNV-XQRVVYSFSA-N
1-Methylpropyl glucosinolate	Metabolite	kegg.compound:C08407	Ck:C08407:T						wikidata:Q27106754	chebi:5402;chebi:5402;chebi:79329	inchikey:TUSWQPFNQXCPGB-WKWISIMFSA-N;inchikey:TUSWQPFNQXCPGB-ANPCENJRSA-M
CYP79D2	GeneProduct	kegg.genes:K13401	Kg:K13401:T								
CYP79D4	GeneProduct	kegg.genes:K14984	Kg:K14984:T								
CYP79D1	GeneProduct	kegg.genes:K13401	Kg:K13401:T								
CYP79D3	GeneProduct	kegg.genes:K14984	Kg:K14984:T								
