Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
p50	GeneProduct	ncbigene:18033	""	ensembl:ENSMUSG00000028163	ncbigene:18033		uniprot:V9GX90;uniprot:P25799;uniprot:F6Z9G5;uniprot:A0A0G2JGK6			
Rel	GeneProduct	ncbigene:19698	""	ensembl:ENSMUSG00000002983	ncbigene:19698		uniprot:A0A140LI24;uniprot:A0A140LI46;uniprot:A0A140LJD6;uniprot:Q04863;uniprot:Q8K220			
Nfkb2	GeneProduct	ncbigene:18034	""	ensembl:ENSMUSG00000025225	ncbigene:18034		uniprot:A0A494BAQ2;uniprot:A0A494B9Y5;uniprot:Q3UG25;uniprot:Q9WTK5			
Relb	GeneProduct	ncbigene:19698	""	ensembl:ENSMUSG00000002983	ncbigene:19698		uniprot:A0A140LI24;uniprot:A0A140LI46;uniprot:A0A140LJD6;uniprot:Q04863;uniprot:Q8K220			
Ltb	GeneProduct	ncbigene:16994	""	ensembl:ENSMUSG00000024399	ncbigene:16994		uniprot:G3V002;uniprot:A0A0U5JAA2;uniprot:P41155			
Nfkb1	GeneProduct	ncbigene:18033	""	ensembl:ENSMUSG00000028163	ncbigene:18033		uniprot:V9GX90;uniprot:P25799;uniprot:F6Z9G5;uniprot:A0A0G2JGK6			
Edar	GeneProduct	ncbigene:13608	""	ensembl:ENSMUSG00000003227	ncbigene:13608		uniprot:Q9R187			
Rela	GeneProduct	ncbigene:19697	""	ensembl:ENSMUSG00000024927	ncbigene:19697		uniprot:A0A494BA44;uniprot:Q04207;uniprot:Q548Y4;uniprot:A0A494B901;uniprot:Q4U113			
Dkk4	GeneProduct	ncbigene:234130	""	ensembl:ENSMUSG00000031535	ncbigene:234130		uniprot:Q8VEJ3			
Sostdc1	GeneProduct	ncbigene:66042	""	ensembl:ENSMUSG00000036169	ncbigene:66042		uniprot:Q9CQN4			
p65	GeneProduct	ncbigene:19697	""	ensembl:ENSMUSG00000024927	ncbigene:19697		uniprot:A0A494BA44;uniprot:Q04207;uniprot:Q548Y4;uniprot:A0A494B901;uniprot:Q4U113			
Relb	GeneProduct	ncbigene:19698	""	ensembl:ENSMUSG00000002983	ncbigene:19698		uniprot:A0A140LI24;uniprot:A0A140LI46;uniprot:A0A140LJD6;uniprot:Q04863;uniprot:Q8K220			
Edaradd	GeneProduct	ncbigene:171211	""	ensembl:ENSMUSG00000095105	ncbigene:171211		uniprot:Q5D0F1			
Dkk1	GeneProduct	ncbigene:13380	""	ensembl:ENSMUSG00000024868	ncbigene:13380		uniprot:O54908			
Gli1	GeneProduct	ncbigene:14632	""	ensembl:ENSMUSG00000025407	ncbigene:14632		uniprot:P47806;uniprot:D4Q8I4			
Ptc	GeneProduct	ncbigene:19206	""	ensembl:ENSMUSG00000021466	ncbigene:19206		uniprot:A0A0A6YWC4;uniprot:Q61115;uniprot:A0A0A6YWZ4;uniprot:Q5R1U4;uniprot:A0A0A6YVX7;uniprot:A0A0A6YVW7			
Shh	GeneProduct	ncbigene:20423	""	ensembl:ENSMUSG00000002633	ncbigene:20423		uniprot:Q62226			
EDA-A5 isoform	Protein	uniprot:Q1L2D9	""	ensembl:ENSMUSG00000059327	ncbigene:13607		uniprot:O54693;uniprot:Q1L2D6;uniprot:Q3UV69;uniprot:Q1L2D8;uniprot:Q1L2D9			
EDA-A1 isoform	Protein	uniprot:Q3UV69	""	ensembl:ENSMUSG00000059327	ncbigene:13607		uniprot:O54693;uniprot:Q1L2D6;uniprot:Q3UV69;uniprot:Q1L2D8;uniprot:Q1L2D9			
