ID	Database	Citation
8387517	Pubmed	"The CoA esters of 2-methyl-branched chain fatty acids and of the bile acid intermediates di- and trihydroxycoprostanic acids are oxidized by one single peroxisomal branched chain acyl-CoA oxidase in human liver and kidney. Vanhove GF, Van Veldhoven PP, Fransen M, Denis S, Eyssen HJ, Wanders RJ, et al. J Biol Chem. 1993 May 15;268(14):10335–44.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8387517"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8387517"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8387517"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
8921381	Pubmed	"Molecular cloning of RPA2, the gene encoding the second largest subunit of mouse RNA polymerase I. Seither P, Grummt I. Genomics. 1996 Oct 1;37(1):135–9.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8921381"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8921381"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8921381"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
8943006	Pubmed	"Molecular characterization of the human peroxisomal branched-chain acyl-CoA oxidase: cDNA cloning, chromosomal assignment, tissue distribution, and evidence for the absence of the protein in Zellweger syndrome. Baumgart E, Vanhooren JC, Fransen M, Marynen P, Puype M, Vandekerckhove J, et al. Proc Natl Acad Sci U S A. 1996 Nov 26;93(24):13748–53.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8943006"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8943006"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8943006"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9160883	Pubmed	"Identification of Gas6 as a ligand for Mer, a neural cell adhesion molecule related receptor tyrosine kinase implicated in cellular transformation. Chen J, Carey K, Godowski PJ. Oncogene. 1997 May 1;14(17):2033–9.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9160883"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9160883"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9160883"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9422795	Pubmed	"Affinity purification of mammalian RNA polymerase I. Identification of an associated kinase. Hannan RD, Hempel WM, Cavanaugh A, Arino T, Dimitrov SI, Moss T, et al. J Biol Chem. 1998 Jan 9;273(2):1257–67.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9422795"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9422795"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9422795"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9430630	Pubmed	"Bim: a novel member of the Bcl-2 family that promotes apoptosis. O’Connor L, Strasser A, O’Reilly LA, Hausmann G, Adams JM, Cory S, et al. EMBO J. 1998 Jan 15;17(2):384–95.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9430630"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9430630"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9430630"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9765293	Pubmed	"FCP1, the RAP74-interacting subunit of a human protein phosphatase that dephosphorylates the carboxyl-terminal domain of RNA polymerase IIO. Archambault J, Pan G, Dahmus GK, Cartier M, Marshall N, Zhang S, et al. J Biol Chem. 1998 Oct 16;273(42):27593–601.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9765293"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9765293"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9765293"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10471742	Pubmed	"Identification of a mammalian RNA polymerase I holoenzyme containing components of the DNA repair/replication system. Hannan RD, Cavanaugh A, Hempel WM, Moss T, Rothblum L. Nucleic Acids Res. 1999 Sep 15;27(18):3720–7.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10471742"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10471742"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10471742"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10516278	Pubmed	"NaPO(4) cotransport type III (PiT1) expression in human embryonic kidney cells and regulation by PTH. Fernandes I, Béliveau R, Friedlander G, Silve C. Am J Physiol. 1999 Oct;277(4):F543-51.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10516278"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10516278"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10516278"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10653850	Pubmed	"IL-12 synergizes with IL-18 or IL-1beta for IFN-gamma production from human T cells. Tominaga K, Yoshimoto T, Torigoe K, Kurimoto M, Matsui K, Hada T, et al. Int Immunol. 2000 Feb;12(2):151–60.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10653850"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10653850"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10653850"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11050434	Pubmed	"Cytohesins and centaurins: mediators of PI 3-kinase-regulated Arf signaling. Jackson TR, Kearns BG, Theibert AB. Trends Biochem Sci. 2000 Oct;25(10):489–95.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11050434"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11050434"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11050434"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11285280	Pubmed	"Anaphase-promoting complex/cyclosome-dependent proteolysis of human cyclin A starts at the beginning of mitosis and is not subject to the spindle assembly checkpoint. Geley S, Kramer E, Gieffers C, Gannon J, Peters JM, Hunt T. J Cell Biol. 2001 Apr 2;153(1):137–48.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11285280"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11285280"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11285280"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11734221	Pubmed	"Molecular cloning and characterization of six novel isoforms of human Bim, a member of the proapoptotic Bcl-2 family. U M, Miyashita T, Shikama Y, Tadokoro K, Yamada M. FEBS Lett. 2001 Nov 30;509(1):135–41.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11734221"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11734221"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11734221"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11997495	Pubmed	"Identification of novel isoforms of the BH3 domain protein Bim which directly activate Bax to trigger apoptosis. Marani M, Tenev T, Hancock D, Downward J, Lemoine NR. Mol Cell Biol. 2002 Jun;22(11):3577–89.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11997495"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11997495"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11997495"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12070128	Pubmed	"Human securin proteolysis is controlled by the spindle checkpoint and reveals when the APC/C switches from activation by Cdc20 to Cdh1. Hagting A, Den Elzen N, Vodermaier HC, Waizenegger IC, Peters JM, Pines J. J Cell Biol. 2002 Jun 24;157(7):1125–37.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12070128"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12070128"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12070128"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12077251	Pubmed	"Transcriptional regulation of GATA-3 by an intronic regulatory region and fetal liver zinc finger protein 1. Hwang ES, Choi A, Ho IC. J Immunol. 2002 Jul 1;169(1):248–53.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12077251"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12077251"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12077251"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12082148	Pubmed	"A conserved C-terminal domain of EFA6-family ARF6-guanine nucleotide exchange factors induces lengthening of microvilli-like membrane protrusions. Derrien V, Couillault C, Franco M, Martineau S, Montcourrier P, Houlgatte R, et al. J Cell Sci. 2002 Jul 15;115(Pt 14):2867–79.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12082148"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12082148"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12082148"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
14764673	Pubmed	"B cell receptor-mediated apoptosis of human lymphocytes is associated with a new regulatory pathway of Bim isoform expression. Mouhamad S, Besnault L, Auffredou MT, Leprince C, Bourgeade MF, Leca G, et al. J Immunol. 2004 Feb 15;172(4):2084–91.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/14764673"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/14764673"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/14764673"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
14969726	Pubmed	"Mechanism of RNA polymerase I transcription. Comai L. Adv Protein Chem. 2004;67:123–55.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/14969726"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/14969726"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/14969726"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
