Label	Type	ID	Database	
ptc	GeneProduct	35851	Entrez Gene
PTCH2	GeneProduct		
hh	GeneProduct	42737	Entrez Gene
cdc2	GeneProduct	34411	Entrez Gene
ptc	GeneProduct	35851	Entrez Gene
PTCH2	GeneProduct		
DHH	GeneProduct		
smo	GeneProduct	33196	Entrez Gene
IHH	GeneProduct		
ptc	GeneProduct	35851	Entrez Gene
PTCH2	GeneProduct		
IHH	GeneProduct		
ci	GeneProduct	43767	Entrez Gene
snoN	GeneProduct	34085	Entrez Gene
Su(fu)	GeneProduct	41565	Entrez Gene
Bin1	GeneProduct	41965	Entrez Gene
Sin3A	GeneProduct	36382	Entrez Gene
GLI1	GeneProduct		
HHIP	GeneProduct		
GAS1	GeneProduct		
CREBBP	GeneProduct		
mnb	GeneProduct	32772	Entrez Gene
GLI2	GeneProduct		
STK36	GeneProduct		
Su(fu)	GeneProduct	41565	Entrez Gene
cdc2	GeneProduct	34411	Entrez Gene
CycB	GeneProduct	37618	Entrez Gene
GLI1	GeneProduct		
GLI2	GeneProduct		
ci	GeneProduct	43767	Entrez Gene
ptc	GeneProduct	35851	Entrez Gene
Su(fu)	GeneProduct	41565	Entrez Gene
Rab23	GeneProduct	40701	Entrez Gene
Rab23	GeneProduct	40701	Entrez Gene
CycB	GeneProduct	37618	Entrez Gene
smo	GeneProduct	33196	Entrez Gene
IGF2	GeneProduct		
DHH	GeneProduct		
hh	GeneProduct	42737	Entrez Gene
hh	GeneProduct	42737	Entrez Gene
HHIP	GeneProduct		
HHIP	GeneProduct		
DHH	GeneProduct		
IHH	GeneProduct		
hh	GeneProduct	42737	Entrez Gene
