Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
GRM1	GeneProduct	ncbigene:2911		ensembl:ENSG00000152822	ncbigene:2911	hgnc.symbol:GRM1	uniprot:Q13255			
GRM5	GeneProduct	ncbigene:2915		ensembl:ENSG00000168959	ncbigene:2915	hgnc.symbol:GRM5	uniprot:H7C223;uniprot:P41594;uniprot:A8MT20			
GRM2	GeneProduct	ncbigene:2912		ensembl:ENSG00000164082	ncbigene:2912	hgnc.symbol:GRM2	uniprot:C9JD41;uniprot:Q14416;uniprot:C9JL63;uniprot:H7BXL3			
GRM3	GeneProduct	ncbigene:2913		ensembl:ENSG00000198822	ncbigene:2913	hgnc.symbol:GRM3	uniprot:A4D1D0;uniprot:Q14832;uniprot:C9J2I2;uniprot:C9JIT1;uniprot:C9JUH9			
GRM8	GeneProduct	ncbigene:2918		ensembl:ENSG00000179603	ncbigene:2918	hgnc.symbol:GRM8	uniprot:E7ETK3;uniprot:C9J7I1;uniprot:H7C4V5;uniprot:O00222;uniprot:A0A0A0MT06			
GRM4	GeneProduct	ncbigene:2914		ensembl:ENSG00000124493	ncbigene:2914	hgnc.symbol:GRM4	uniprot:Q14833;uniprot:A1L4F9;uniprot:B7ZLU9;uniprot:V9GYB0;uniprot:V9GYR3			
GRM7	GeneProduct	ncbigene:2917		ensembl:ENSG00000196277	ncbigene:2917	hgnc.symbol:GRM7	uniprot:C9JU97;uniprot:H7C3K2;uniprot:A0A0A0MSC3;uniprot:F8WCR9;uniprot:Q14831;uniprot:F8WAW6;uniprot:C9JMT3			
GRM6	GeneProduct	ncbigene:2916		ensembl:ENSG00000113262	ncbigene:2916	hgnc.symbol:GRM6	uniprot:O15303			
CASR	GeneProduct	ncbigene:846		ensembl:ENSG00000036828	ncbigene:846	hgnc.symbol:CASR	uniprot:P41180;uniprot:A0A1X7SBX3			
GABBR1	GeneProduct	ncbigene:2550		ensembl:ENSG00000204681	ncbigene:2550	hgnc.symbol:GABBR1	uniprot:Q9UBS5;uniprot:C9J342;uniprot:F8WAV2;uniprot:F8WF38;uniprot:F8WDC0;uniprot:C9JZG6;uniprot:Q5SUJ9;uniprot:F8WAS6;uniprot:A0A1U9X7R0			
GPR51	GeneProduct	ncbigene:9568		ensembl:ENSG00000136928	ncbigene:9568	hgnc.symbol:GABBR2	uniprot:H9NIL8;uniprot:A0A0U1RR59;uniprot:A0A1B0GW60;uniprot:O75899			
GPRC5D	GeneProduct	ncbigene:55507		ensembl:ENSG00000111291	ncbigene:55507	hgnc.symbol:GPRC5D	uniprot:Q9NZD1;uniprot:F5GWX9			
GPRC5C	GeneProduct	ncbigene:55890		ensembl:ENSG00000170412	ncbigene:55890	hgnc.symbol:GPRC5C	uniprot:J3KTP8;uniprot:J3QQN3;uniprot:Q9NQ84;uniprot:Q9BSP0;uniprot:J9JIE0;uniprot:A0A024R8N9;uniprot:A0A0C4DFY5;uniprot:J3KSD6;uniprot:A8MXZ4			
GPRC5B	GeneProduct	ncbigene:51704		ensembl:ENSG00000167191	ncbigene:51704	hgnc.symbol:GPRC5B	uniprot:H3BQV9;uniprot:H3BT47;uniprot:Q9NZH0;uniprot:A0A024QYX2;uniprot:H3BN33;uniprot:H3BT93;uniprot:H3BSJ1			
GPRC5A	GeneProduct	ncbigene:9052		ensembl:ENSG00000013588	ncbigene:9052	hgnc.symbol:GPRC5A	uniprot:A0A3B3ITN8;uniprot:H0YFN2;uniprot:F5GWG3;uniprot:Q8NFJ5			
