Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	Metabolite	pubchem.compound:24742074	""					wikidata:Q114851265		inchikey:CNWINRVXAYPOMW-WJUYXORRSA-I	pubchem.compound:24742074				
H⁺	Metabolite	chebi:15378	""					wikidata:Q506710	chebi:15378	inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N	pubchem.compound:1038	chemspider:1010	hmdb:HMDB0059597	kegg.compound:C00080	
inositol 1,4,5-trisphosphate	Metabolite	chebi:203600	""					wikidata:Q27225698	chebi:203600	inchikey:MMWCIQZXVOZEGG-XJTPDSDZSA-H	pubchem.compound:21761708	chemspider:10375590			
H₂O	Metabolite	chebi:15377	""					wikidata:Q283	chebi:15377	inchikey:XLYOFNOQVPJJNP-UHFFFAOYSA-N	pubchem.compound:22247451;pubchem.compound:962	chemspider:937	hmdb:HMDB0002111	kegg.compound:C00001	
1,2-diacyl-sn-glycerol	Metabolite	chebi:17815	""					wikidata:Q22082904	chebi:17815					kegg.compound:C00641	lipidmaps:LMGL02010000
phosphatidylcholine	Metabolite	chebi:16110	""					wikidata:Q38133872	chebi:16110						
phosphocholine	Metabolite	chebi:295975	""					wikidata:Q27225724	chebi:295975	inchikey:YHHSONZFOIEMCP-UHFFFAOYSA-M	pubchem.compound:3330960	chemspider:2578067			
1,2-diacyl-sn-glycerol 3-phosphate	Metabolite	chebi:29089	""					wikidata:Q22083257	chebi:29089						lipidmaps:LMGP10010000
choline	Metabolite	chebi:15354	""					wikidata:Q193166	chebi:15354	inchikey:OEYIOHPDSNJKLS-UHFFFAOYSA-N	pubchem.compound:305	chemspider:299	hmdb:HMDB0000097	kegg.compound:C00114	
PLC1	GeneProduct	sgd:S000006189	""	ensembl:YPL268W	ncbigene:855860		uniprot:P32383								
ISC1	GeneProduct	sgd:S000000821	""	ensembl:YER019W	ncbigene:856739		uniprot:P40015								
SPO14	GeneProduct	sgd:S000001739	""	ensembl:YKR031C	ncbigene:853902		uniprot:P36126								
