Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
ATP	Metabolite	chebi:30616	""					wikidata:Q27113900	chebi:30616	inchikey:ZKHQWZAMYRWXGA-KQYNXXCUSA-J	pubchem.compound:5461108	chemspider:4574455			
lactate	Metabolite	chebi:24996	""					wikidata:Q27895931	chebi:24996	inchikey:JVTAAEKCZFNVCJ-UHFFFAOYSA-M	pubchem.compound:91435	chemspider:82564		kegg.compound:C01432	
Carnosine	Metabolite	chebi:15727	""					wikidata:Q413822;wikidata:Q106345643	chebi:57485;chebi:15727	inchikey:CQOVPNPJLQNMDC-ZETCQYMHSA-N	pubchem.compound:439224;pubchem.compound:6992100	chemspider:388363	hmdb:HMDB0000033	kegg.compound:C00386	
L-histidine	Metabolite	chebi:15971	""					wikidata:Q485277;wikidata:Q106345670	chebi:57595;chebi:15971	inchikey:HNDVDQJCIGZPNO-YFKPBYRVSA-N	pubchem.compound:6274	chemspider:6038	hmdb:HMDB0000177	kegg.compound:C00135	
BETA-ALANINE	Metabolite	chebi:16958	""					wikidata:Q106345620;wikidata:Q310919	chebi:16958;chebi:57966	inchikey:UCMIRNVEIXFBKS-UHFFFAOYSA-N	pubchem.compound:239;pubchem.compound:4755801	chemspider:234	hmdb:HMDB0000056	kegg.compound:C00099	
ADP	Metabolite	chebi:456216	""					wikidata:Q27225748	chebi:456216	inchikey:XTWYTFMLZFPYCI-KQYNXXCUSA-K	pubchem.compound:7058055	chemspider:5414423			
K⁺	Metabolite	chebi:29103	""					wikidata:Q15901933	chebi:29103	inchikey:NPYPAHLBTDXSSS-UHFFFAOYSA-N	pubchem.compound:813	chemspider:791	hmdb:HMDB0000586	kegg.compound:C00238	
Na⁺	Metabolite	chebi:29101	""					wikidata:Q3154110	chebi:29101	inchikey:FKNQFGJONOIPTF-UHFFFAOYSA-N	pubchem.compound:923	chemspider:899	hmdb:HMDB0000588	kegg.compound:C01330	
glutamate	Metabolite	chebi:14321	""					wikidata:Q27108980	chebi:14321	inchikey:WHUUTDBJXJRKMK-UHFFFAOYSA-M	pubchem.compound:4452358;pubchem.compound:4179667;pubchem.compound:4525487	chemspider:3390755			
L-carnosine	Metabolite	chebi:15727	""					wikidata:Q413822;wikidata:Q106345643	chebi:57485;chebi:15727	inchikey:CQOVPNPJLQNMDC-ZETCQYMHSA-N	pubchem.compound:439224;pubchem.compound:6992100	chemspider:388363	hmdb:HMDB0000033	kegg.compound:C00386	
CARNS1	GeneProduct	ensembl:ENSG00000172508	""	ensembl:ENSG00000172508	ncbigene:57571	hgnc.symbol:CARNS1	uniprot:A5YM72								
SLC6A6	GeneProduct	ensembl:ENSG00000131389	""	ensembl:ENSG00000131389	ncbigene:6533	hgnc.symbol:SLC6A6	uniprot:A0A087WZ59;uniprot:A0A087WYN0;uniprot:H7C1B9;uniprot:P31641;uniprot:A0A087WY96;uniprot:C9JPV1;uniprot:A0A087WYY8								
SLC15A2	GeneProduct	ensembl:ENSG00000163406	""	ensembl:ENSG00000163406	ncbigene:6565	hgnc.symbol:SLC15A2	uniprot:C9IZ38;uniprot:Q16348								
SLC15A4	GeneProduct	ensembl:ENSG00000139370	""	ensembl:ENSG00000139370	ncbigene:121260	hgnc.symbol:SLC15A4	uniprot:Q8N697;uniprot:B6ZDF2;uniprot:H7BYB7								
