Label	Type	ID	Database	
Eukaryotic translation initiation
factor 3 complex
	Complex	CPX-6036	Complex Portal
EIF3B	GeneProduct	8662	Entrez Gene
EIF3H	GeneProduct	8667	Entrez Gene
EIF3I	GeneProduct	8668	Entrez Gene
EIF3G	GeneProduct	8666	Entrez Gene
EIF3D	GeneProduct	8664	Entrez Gene
EIF3J	GeneProduct	8669	Entrez Gene
EIF3E	GeneProduct	3646	Entrez Gene
EIF3C	GeneProduct	8663	Entrez Gene
EIF3A	GeneProduct	8661	Entrez Gene
EIF3F	GeneProduct	8665	Entrez Gene
40S cytosolic small 
ribosomal subunit	Complex	CPX-5223	Complex Portal
Eukaryotic translation initiation
factor 3 complex
	Complex	CPX-6036	Complex Portal
Ternary complex	Complex		
40S cytosolic small 
ribosomal subunit	Complex	CPX-5223	Complex Portal
43S Pre-initiation 
Complex	Unknown		
nsp1	Protein	Q90038952	Wikidata
met-tRNAi	Metabolite	CHEBI:13145	ChEBI
EIF3B	GeneProduct	8662	Entrez Gene
EIF3H	GeneProduct	8667	Entrez Gene
EIF2S2	GeneProduct	8894	Entrez Gene
EIF2S3	GeneProduct	1968	Entrez Gene
EIF3I	GeneProduct	8668	Entrez Gene
EIF5	GeneProduct	1983	Entrez Gene
EIF3G	GeneProduct	8666	Entrez Gene
EIF3D	GeneProduct	8664	Entrez Gene
EIF2S1	GeneProduct	1965	Entrez Gene
EIF3J	GeneProduct	8669	Entrez Gene
EIF3E	GeneProduct	3646	Entrez Gene
EIF3C	GeneProduct	8663	Entrez Gene
EIF3A	GeneProduct	8661	Entrez Gene
EIF3F	GeneProduct	8665	Entrez Gene
EIF1A	GeneProduct	1964	Entrez Gene
EIF1	GeneProduct	10209	Entrez Gene
EIF5	GeneProduct	1983	Entrez Gene
EIF1A	GeneProduct	1964	Entrez Gene
EIF1	GeneProduct	10209	Entrez Gene
Eukaryotic translation initiation
factor 3 complex
	Complex	CPX-6036	Complex Portal
EIF3B	GeneProduct	8662	Entrez Gene
EIF3H	GeneProduct	8667	Entrez Gene
EIF3I	GeneProduct	8668	Entrez Gene
EIF3G	GeneProduct	8666	Entrez Gene
EIF3D	GeneProduct	8664	Entrez Gene
EIF3J	GeneProduct	8669	Entrez Gene
EIF3E	GeneProduct	3646	Entrez Gene
EIF3C	GeneProduct	8663	Entrez Gene
EIF3A	GeneProduct	8661	Entrez Gene
EIF3F	GeneProduct	8665	Entrez Gene
40S cytosolic small 
ribosomal subunit	Complex	CPX-5223	Complex Portal
EIF5	GeneProduct	1983	Entrez Gene
EIF1A	GeneProduct	1964	Entrez Gene
EIF1	GeneProduct	10209	Entrez Gene
Ternary complex	Complex		
met-tRNAi	Metabolite	CHEBI:13145	ChEBI
EIF2S2	GeneProduct	8894	Entrez Gene
EIF2S3	GeneProduct	1968	Entrez Gene
EIF2S1	GeneProduct	1965	Entrez Gene
