Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Arachidonic acid	Metabolite	lipidmaps:LMFA01030001	Lm:LMFA01030001:T						wikidata:Q407699	chebi:15843;chebi:15843	inchikey:YZXBAPSDXZZRGB-DOFZRALJSA-N
16-HETE	Metabolite	lipidmaps:LMFA03090010	Lm:LMFA03090010:T						wikidata:Q60029316		inchikey:DXOYQVHGIODESM-IQCOFVSKSA-N
17-HETE	Metabolite	lipidmaps:LMFA03060091	Lm:LMFA03060091:T						wikidata:Q27132955	chebi:63995;chebi:63995	inchikey:OPPIPPRXLIDJKN-JPURVOHMSA-N
18-HETE	Metabolite	lipidmaps:LMFA03060092	Lm:LMFA03060092:T						wikidata:Q27070791	chebi:63579;chebi:63579	inchikey:PPCHNRUZQWLEMF-XBOCNYGYSA-N
19-HETE	Metabolite	lipidmaps:LMFA03060106	Lm:LMFA03060106:T						wikidata:Q27132956	chebi:63998;chebi:63998	inchikey:XFUXZHQUWPFWPR-TWVHMNNTSA-N
20-HETE	Metabolite	lipidmaps:LMFA03060009	Lm:LMFA03060009:T						wikidata:Q21099666	chebi:34306;chebi:34306	inchikey:NNDIXBJHNLFJJP-DTLRTWKJSA-N
5,6-EpETrE	Metabolite	lipidmaps:LMFA03080002	Lm:LMFA03080002:T						wikidata:Q27073967	chebi:34450;chebi:34450	inchikey:VBQNSZQZRAGRIX-QNEBEIHSSA-N
8,9-EpETrE	Metabolite	lipidmaps:LMFA03080003	Lm:LMFA03080003:T						wikidata:Q27104286	chebi:34490;chebi:34490	inchikey:DBWQSCSXHFNTMO-TYAUOURKSA-N
11,12-EpETrE	Metabolite	lipidmaps:LMFA03090010	Lm:LMFA03090010:T						wikidata:Q60029316		inchikey:DXOYQVHGIODESM-IQCOFVSKSA-N
14,15-EpETrE	Metabolite	lipidmaps:LMFA03080005	Lm:LMFA03080005:T						wikidata:Q27115853	chebi:34157;chebi:34157	inchikey:JBSCUHKPLGKXKH-ILYOTBPNSA-N
5,6-DiHETrE	Metabolite	lipidmaps:LMFA03050004	Lm:LMFA03050004:T						wikidata:Q27104913	chebi:63974;chebi:63974	inchikey:GFNYAPAJUNPMGH-QNEBEIHSSA-N
8,9-DiHETrE	Metabolite	lipidmaps:LMFA03050006	Lm:LMFA03050006:T						wikidata:Q27104912	chebi:63970;chebi:63970	inchikey:DCJBINATHQHPKO-TYAUOURKSA-N
11,12-DiHETrE	Metabolite	lipidmaps:LMFA03050008	Lm:LMFA03050008:T						wikidata:Q27104911	chebi:63969;chebi:63969	inchikey:LRPPQRCHCPFBPE-KROJNAHFSA-N
14,15-DiHETrE	Metabolite	lipidmaps:LMFA03050010	Lm:LMFA03050010:T						wikidata:Q27132938	chebi:63966;chebi:63966	inchikey:SYAWGTIVOGUZMM-ILYOTBPNSA-N
Ephx2	GeneProduct	ncbigene:13850	L:13850:T								
Cyp4a10	GeneProduct	ncbigene:13117	L:13117:T								
Cyp4a12a	GeneProduct	ncbigene:277753	L:277753:T								
Cyp4a12b	GeneProduct	ncbigene:13118	L:13118:T								
Cyp4f14	GeneProduct	ncbigene:64385	L:64385:T								
Cyp4f18	GeneProduct	ncbigene:72054	L:72054:T								
PPAR gamma	Protein	uniprot:P37238	S:P37238:T	AKA Peroxisome proliferator-activated receptor gamma							
Cyp2c29	Protein	ncbigene:13095	L:13095:T								
Cyp2c37	Protein	ncbigene:13096	L:13096:T								
Cyp2c38	Protein	ncbigene:13097	L:13097:T								
Cyp2c39	Protein	ncbigene:13098	L:13098:T								
Cyp2c40	Protein	ncbigene:13099	L:13099:T								
Cyp2c44	Protein	ncbigene:226143	L:226143:T								
Cyp2c54	Protein	ncbigene:404195	L:404195:T								
Cyp2c55	Protein	ncbigene:72082	L:72082:T								
Cyp2j5	Protein	ncbigene:13109	L:13109:T								
PPAR alpha	Protein	uniprot:P23204	S:P23204:T	AKA Peroxisome proliferator-activated receptor alpha							
