Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
NP_001100528.1	GeneProduct	ensembl:ENSRNOG00000008441	""												
Nfkb2	GeneProduct	ensembl:ENSRNOG00000019311	""	ensembl:ENSRNOG00000019311	ncbigene:309452		uniprot:Q5U2Z4;uniprot:A0A8I6G6F3								
Mapk8	GeneProduct	ensembl:ENSRNOG00000020155	""	ensembl:ENSRNOG00000020155	ncbigene:116554		uniprot:F1LP66;uniprot:A0A0G2KA63;uniprot:A0A8I5ZXC7;uniprot:A0A8I6B4F5								
Tnf	GeneProduct	ensembl:ENSRNOG00000000837	""												
Rela	GeneProduct	ensembl:ENSRNOG00000030888	""	ensembl:ENSRNOG00000030888	ncbigene:309165		uniprot:F7F7J5;uniprot:Q7TQN4;uniprot:A0A8I6ATQ5;uniprot:A0A8I6A5H5;uniprot:A0A8I5ZMV7								
Pdlim7	GeneProduct	ensembl:ENSRNOG00000013653	""	ensembl:ENSRNOG00000013653	ncbigene:286908		uniprot:A0A8L2UJ95;uniprot:A0A8I6AKU2;uniprot:A0A8I6GK07;uniprot:A0A8I6AH90								
Tradd	GeneProduct	ensembl:ENSRNOG00000015179	""	ensembl:ENSRNOG00000015179	ncbigene:246756		uniprot:D3ZZC5								
Ifnb1	GeneProduct	ensembl:ENSRNOG00000006268	""	ensembl:ENSRNOG00000006268	ncbigene:24481		uniprot:A0A7R8GV74;uniprot:P70499								
Ikbkb	GeneProduct	ensembl:ENSRNOG00000019073	""	ensembl:ENSRNOG00000019073	ncbigene:84351		uniprot:A0A8I5ZJG2;uniprot:G3V8H5								
NP_001101224.1	GeneProduct	ensembl:ENSRNOG00000004639	""	ensembl:ENSRNOG00000004639	ncbigene:311245		uniprot:A0A8I6A434;uniprot:B5DF45								
NP_001101058.1	GeneProduct	ensembl:ENSRNOG00000022485	""	ensembl:ENSRNOG00000022485	ncbigene:309361		uniprot:G3V926;uniprot:A0A8I5ZSH4;uniprot:A0A8I6ANR6								
NP_001101390.1	GeneProduct	ensembl:ENSRNOG00000005724	""	ensembl:ENSRNOG00000005724	ncbigene:313121		uniprot:A0A8I6GIE2;uniprot:A0A8I6GA73;uniprot:A0A8L2Q3A7;uniprot:P0C8E4								
Nfkb1	GeneProduct	ensembl:ENSRNOG00000023258	""	ensembl:ENSRNOG00000023258	ncbigene:81736		uniprot:F1LQH2;uniprot:A0A8I5ZTP7								
Irak1_predicted	GeneProduct	ensembl:ENSRNOG00000037263	""												
Ccl5	GeneProduct	ensembl:ENSRNOG00000010906	""	ensembl:ENSRNOG00000010906	ncbigene:81780		uniprot:F7FLW4								
NP_001101771.1	GeneProduct	ensembl:ENSRNOG00000003278	""	ensembl:ENSRNOG00000003278	ncbigene:360640		uniprot:D3ZTD1								
Chuk	GeneProduct	ncbigene:309361	""	ensembl:ENSRNOG00000022485	ncbigene:309361		uniprot:G3V926;uniprot:A0A8I5ZSH4;uniprot:A0A8I6ANR6								
Ikbkg	GeneProduct	ensembl:ENSRNOG00000037237	""												
Ccl20	GeneProduct	ensembl:ENSRNOG00000015992	""	ensembl:ENSRNOG00000015992			uniprot:A0A8L2QAZ9								
Mapk1	GeneProduct	ensembl:ENSRNOG00000001849	""	ensembl:ENSRNOG00000001849	ncbigene:116590		uniprot:P63086;uniprot:A0A8I6A252								
Hsp90aa1	GeneProduct	ncbigene:299331	""												
