ID	Database	Citation
7294802	Pubmed	"Purification of NAD malic enzyme from potato and investigation of some physical and kinetic properties. Grover SD, Canellas PF, Wedding RT. Arch Biochem Biophys. 1981 Jul;209(2):396–407.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/7294802"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/7294802"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/7294802"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11442063	Pubmed	"Three different genes encode the iron-sulfur subunit of succinate dehydrogenase in Arabidopsis thaliana. Figueroa P, León G, Elorza A, Holuigue L, Jordana X. Plant Mol Biol. 2001 May;46(2):241–50.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11442063"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11442063"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11442063"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12374303	Pubmed	"The four subunits of mitochondrial respiratory complex II are encoded by multiple nuclear genes and targeted to mitochondria in Arabidopsis thaliana. Figueroa P, Léon G, Elorza A, Holuigue L, Araya A, Jordana X. Plant Mol Biol. 2002 Nov;50(4–5):725–34.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12374303"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12374303"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12374303"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16120687	Pubmed	"Localization of NAD-isocitrate dehydrogenase and glutamate dehydrogenase in rice roots: candidates for providing carbon skeletons to NADH-glutamate synthase. Abiko T, Obara M, Ushioda A, Hayakawa T, Hodges M, Yamaya T. Plant Cell Physiol. 2005 Oct;46(10):1724–34.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16120687"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16120687"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16120687"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16270230	Pubmed	"Identification and characterisation of the alpha and beta subunits of succinyl CoA ligase of tomato. Studart-Guimarães C, Gibon Y, Frankel N, Wood CC, Zanor MI, Fernie AR, et al. Plant Mol Biol. 2005 Nov;59(5):781–91.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16270230"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16270230"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16270230"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16659908	Pubmed	"Pyruvate and malate transport and oxidation in corn mitochondria. Day DA, Hanson JB. Plant Physiol. 1977 Apr;59(4):630–5.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16659908"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16659908"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16659908"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
20133948	Pubmed	"Three different and tissue-specific NAD-malic enzymes generated by alternative subunit association in Arabidopsis thaliana. Tronconi MA, Maurino VG, Andreo CS, Drincovich MF. J Biol Chem. 2010 Apr 16;285(16):11870–9.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/20133948"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/20133948"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/20133948"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
20528775	Pubmed	"NAD-malic enzymes of Arabidopsis thaliana display distinct kinetic mechanisms that support differences in physiological control. Tronconi MA, Gerrard Wheeler MC, Maurino VG, Drincovich MF, Andreo CS. Biochem J. 2010 Sep 1;430(2):295–303.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/20528775"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/20528775"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/20528775"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
20554469	Pubmed	"Not just a circle: flux modes in the plant TCA cycle. Sweetlove LJ, Beard KFM, Nunes-Nesi A, Fernie AR, Ratcliffe RG. Trends Plant Sci. 2010 Aug;15(8):462–70.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/20554469"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/20554469"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/20554469"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
21332361	Pubmed	"Organization and regulation of mitochondrial respiration in plants. Millar AH, Whelan J, Soole KL, Day DA. Annu Rev Plant Biol. 2011;62:79–104.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21332361"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/21332361"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/21332361"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
21477125	Pubmed	"Metabolic control and regulation of the tricarboxylic acid cycle in photosynthetic and heterotrophic plant tissues. Araújo WL, Nunes-Nesi A, Nikoloski Z, Sweetlove LJ, Fernie AR. Plant Cell Environ. 2012 Jan;35(1):1–21.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21477125"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/21477125"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/21477125"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
