Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
2 H⁺	Metabolite	chebi:15378	""					wikidata:Q506710	chebi:15378	inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N	pubchem.compound:1038	chemspider:1010	hmdb:HMDB0059597	kegg.compound:C00080	
D-alanine	Metabolite	wikidata:Q27076975	""					wikidata:Q27076975	chebi:15570;chebi:57416	inchikey:QNAYBMKLOCPYGJ-UWTATZPHSA-N	pubchem.compound:7311725;pubchem.compound:71080	chemspider:64234	hmdb:HMDB0001310	kegg.compound:C00133	
ATP	Metabolite	pubchem.compound:5461108	""					wikidata:Q27113900	chebi:30616	inchikey:ZKHQWZAMYRWXGA-KQYNXXCUSA-J	pubchem.compound:5461108	chemspider:4574455			
ManNAc-GlcNAc-PP-undecaprenol	Metabolite	pubchem.compound:121225527	""					wikidata:Q27225475	chebi:132210	inchikey:CALMUTCFVFZDOC-BHUBDZAQSA-L	pubchem.compound:121225527				
diphosphate	Metabolite	wikidata:Q290828	""					wikidata:Q290828	chebi:18361	inchikey:XPPKVPWEQAFLFU-UHFFFAOYSA-J	pubchem.compound:644102	chemspider:559142	hmdb:HMDB0304340;hmdb:HMDB0000250		
UDP-alpha-D-glucose (n)	Metabolite	wikidata:Q27126319	""					wikidata:Q27126319	chebi:58885	inchikey:HSCJRCZFDFQWRP-JZMIEXBBSA-L	pubchem.compound:16667346	chemspider:10239191			
H⁺	Metabolite	chebi:15378	""					wikidata:Q506710	chebi:15378	inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N	pubchem.compound:1038	chemspider:1010	hmdb:HMDB0059597	kegg.compound:C00080	
2-O-D-alanyl-1-O-phosphatidylglycerol	Metabolite	wikidata:Q46328873	""					wikidata:Q46328873							
di-trans,octa-cis-undecaprenyl diphosphate 	Metabolite	wikidata:Q27125764	""					wikidata:Q27125764	chebi:58405	inchikey:NTXGVHCCXVHYCL-NTDVEAECSA-K	pubchem.compound:25245563	chemspider:26331157			
UDP-N-acetyl-alpha-D-mannosamine	Metabolite	wikidata:Q27137103	""					wikidata:Q27137103	chebi:68678	inchikey:LFTYTUAZOPRMMI-ZYQOOJPVSA-N	pubchem.compound:449043	chemspider:395672		kegg.compound:C01170	
an L-1-phosphatidyl-sn-glycerol	Metabolite	wikidata:Q46326783	""					wikidata:Q46326783	chebi:64716					kegg.compound:C00344	
ditrans,octacis-undecaprenyldiphospho-[(N-acetyl-beta-D-glucosaminyl)-(1,4-)]-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	Metabolite	wikidata:Q46330436	""					wikidata:Q46330436		inchikey:OXJNZXDFVLDLEI-BRNOVCDWSA-J				kegg.compound:C05898	
UDP	Metabolite	chebi:17659	""					wikidata:Q412593	chebi:17659	inchikey:XCCTYIAWTASOJW-XVFCMESISA-N	pubchem.compound:146015339;pubchem.compound:6031	chemspider:5809	hmdb:HMDB0000295	kegg.compound:C00015	
a peptidoglycan-major wall teichoic acid complex	Metabolite	wikidata:Q46330851	""												
H₂O	Metabolite	wikidata:Q283	""					wikidata:Q283	chebi:15377	inchikey:XLYOFNOQVPJJNP-UHFFFAOYSA-N	pubchem.compound:22247451;pubchem.compound:962	chemspider:937	hmdb:HMDB0002111	kegg.compound:C00001	
CDP-glycerol	Metabolite	wikidata:Q27102700	""					wikidata:Q27102700	chebi:17885	inchikey:HHPOUCCVONEPRK-JANFQQFMSA-N	pubchem.compound:439249	chemspider:388385	hmdb:HMDB0059599	kegg.compound:C00513	
ATP	Metabolite	wikidata:Q80863	""					wikidata:Q80863	chebi:15422	inchikey:ZKHQWZAMYRWXGA-KQYNXXCUSA-N	pubchem.compound:5957	chemspider:5742	hmdb:HMDB0000538	kegg.compound:C00002	
phosphate	Metabolite	wikidata:Q177811	""					wikidata:Q177811	chebi:18367	inchikey:NBIIXXVUZAFLBC-UHFFFAOYSA-K	pubchem.compound:1061	chemspider:1032			
AMP	Metabolite	pubchem.compound:15938965	""					wikidata:Q27225747	chebi:456215	inchikey:UDMBCSSLTHHNCD-KQYNXXCUSA-L	pubchem.compound:15938965	chemspider:10239183			
N-acetyl-alpha-D-glucosaminyldiphospho-ditrans,octacis-undecaprenol	Metabolite	pubchem.compound:52921677	""					wikidata:Q27132308	chebi:62959	inchikey:NEVJGTXBHJNFAZ-JXCMATCVSA-L	pubchem.compound:52921677	chemspider:26332938			
CDP-glycerol	Metabolite	pubchem.compound:90659090	""					wikidata:Q27125691	chebi:58311	inchikey:HHPOUCCVONEPRK-JBSYKWBFSA-L	pubchem.compound:90659090				
CMP (n)	Metabolite	chebi:60377	""					wikidata:Q27104867	chebi:60377	inchikey:IERHLVCPSMICTF-XVFCMESISA-L	pubchem.compound:7058165	chemspider:5414497			
sn-glycerol-3-phosphate	Metabolite	pubchem.compound:7048686	""					wikidata:Q26711901	chebi:57597	inchikey:AWUCVROLDVIAJX-GSVOUGTGSA-L	pubchem.compound:7048686	chemspider:5408880			
a polyisoprenyl-major wall techoic acid	Metabolite	wikidata:Q46329416	""					wikidata:Q46329416	chebi:57517					kegg.compound:C04457	
di-trans,octa-cis-undecaprenyl phosphate 	Metabolite	wikidata:Q27127244	""					wikidata:Q27127244	chebi:60392	inchikey:UFPHFKCTOZIAFY-NTDVEAECSA-L	pubchem.compound:25245635	chemspider:26331909			
UDP	Metabolite	wikidata:Q412593	""					wikidata:Q412593	chebi:17659	inchikey:XCCTYIAWTASOJW-XVFCMESISA-N	pubchem.compound:146015339;pubchem.compound:6031	chemspider:5809	hmdb:HMDB0000295	kegg.compound:C00015	
UDP-N-acety-alpha-D-glucosamide	Metabolite	wikidata:Q312208	""					wikidata:Q312208	chebi:16264	inchikey:LFTYTUAZOPRMMI-CFRASDGPSA-N	pubchem.compound:445675	chemspider:393240	hmdb:HMDB0000290	kegg.compound:C00043	lipidmaps:LMSL01010002
Gro-P-ManNac-GlcNAc-PP-undecaprenol	Metabolite	pubchem.compound:122706646	""					wikidata:Q50318233		inchikey:VALAJJHDWQFMQN-ZSZZJKOGSA-K	pubchem.compound:122706646				
di-trans,octa-cis-undecaprenyl phosphate	Metabolite	wikidata:Q27127302	""					wikidata:Q27127302	chebi:60468	inchikey:UFPHFKCTOZIAFY-NTDVEAECSA-N	pubchem.compound:5283548	chemspider:4446661		kegg.compound:C17556	lipidmaps:LMPR03020001
UMP	Metabolite	wikidata:Q27074278	""					wikidata:Q27074278	chebi:16695	inchikey:DJJCXFVJDGTHFX-XVFCMESISA-N	pubchem.compound:6030	chemspider:5808	hmdb:HMDB0000288		
CMP	Metabolite	chebi:60377	""					wikidata:Q27104867	chebi:60377	inchikey:IERHLVCPSMICTF-XVFCMESISA-L	pubchem.compound:7058165	chemspider:5414497			
CTP	Metabolite	wikidata:Q409648	"cytidine triphosphate"					wikidata:Q409648	chebi:17677	inchikey:PCDQPRRSZKQHHS-XVFCMESISA-N	pubchem.compound:6176	chemspider:19952488	hmdb:HMDB0000082	kegg.compound:C00063	
(Gro-P)n Gro-P-ManNac-GlcNAc-PP-undecaprenol	Metabolite	chebi:132224	""					wikidata:Q27225479	chebi:132224	inchikey:XTZSKDGCELJMAX-LQQOAHLLSA-J	pubchem.compound:121225531				
((2-Glc)Gro-P)n Gro-P-ManNac-GlcNAc-PP-undecaprenol	Metabolite	chebi:132356	""					wikidata:Q27225544	chebi:132356	inchikey:PHJBVOZAIVTFTI-ZRFKAQIOSA-J	pubchem.compound:121232710				
ADP	Metabolite	wikidata:Q185253	""					wikidata:Q185253	chebi:16761	inchikey:XTWYTFMLZFPYCI-KQYNXXCUSA-N	pubchem.compound:6022	chemspider:5800	hmdb:HMDB0001341	kegg.compound:C00008	
Bs-tagA	Protein	eccode:2.4.1.187	"UDP-N-acetylmannosamine transferase (Bs)"												
Bs-tagB	Protein	eccode:2.7.8.44	"Teichoic acid glycerol-phosphate primase (Bs)"												
a D-alanyl-carrier protein	Protein	wikidata:Q24771273	""												
Bs-mnaA	Protein	eccode:5.1.3.14	"UDP-N-acetylglucosamine 2-epimerase (BS)"												
Bs-dltA	Protein	eccode:6.2.1.M5	"D-alanine-[D-alanyl carrier protein] ligase (Bs)"												
Bs-tagO	Protein	eccode:2.7.8.33	"UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase (Bs)"												
Bs-tagD	Protein	eccode:2.7.7.39	"glycerol-3-phosphate-cytidyltransferase (Bs)"												
Bs-tagF	Protein	eccode:2.7.8.12	"Teichoic acid poly(glycerol-phosphate) polymerase (Bs)"												
Bs-tagE	Protein	eccode:2.4.1.52	"Poly(glycerol-phosphate)alpha-glucosyltranferase (Bs)"												
Bs-tagH + Bs-tagG	Protein	eccode:3.6.3.40	"Poly(glycerol-phosphate) teichoic acid transporter (Bs)"												
Bs-dltD	Protein	eccode:2.3.1.M31	"D-alanine carrier protein:PG D-alanyltransferase (Bs)"												
Bs-dltB	Protein	eccode:2.3.1.M32	"PG: teichoic acid D-alanyltransferase (Bs)"												
