Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
mab-5/Hox	GeneProduct	ensembl:WBGene00003102	""	ensembl:WBGene00003102	ncbigene:176091		uniprot:P10038								
MIG-1/Frizzled	GeneProduct	ensembl:WBGene00003238	""	ensembl:WBGene00003238	ncbigene:171677		uniprot:G5EF44;uniprot:Q9N532								
PRY-1	GeneProduct	ensembl:WBGene00004202	""	ensembl:WBGene00004202	ncbigene:173287		uniprot:O62090								
MAB-5/Hox	GeneProduct	ensembl:WBGene00003102	""	ensembl:WBGene00003102	ncbigene:176091		uniprot:P10038								
LIN-17/Frizzled	GeneProduct	ensembl:WBGene00003006	""	ensembl:WBGene00003006	ncbigene:171832		uniprot:A0A078BS14;uniprot:G5EDV1;uniprot:Q95Y45								
MIG-14/MOM-3Porcupine	GeneProduct	ensembl:WBGene00003246	""	ensembl:WBGene00003246	ncbigene:175020		uniprot:Q7YWX7								
MIG-5	GeneProduct	ensembl:WBGene00003241	""	ensembl:WBGene00003241	ncbigene:174317		uniprot:Q22227								
BAR-1/beta-Catenin	GeneProduct	ensembl:WBGene00000238	""	ensembl:WBGene00000238	ncbigene:180982		uniprot:Q18825								
EGL-20/Wnt	Protein	ensembl:WBGene00001188	""	ensembl:WBGene00001188	ncbigene:177821		uniprot:G5EG05								
