Label	Type	ID	Database	
PRKAR2B	GeneProduct		
LOC796780	GeneProduct	796780	Entrez Gene
PDE7B	GeneProduct		
LOC571825	GeneProduct	571825	Entrez Gene
DKEYP-60A7.2	GeneProduct	562619	Entrez Gene
gng12	GeneProduct	406604	Entrez Gene
GNG11	GeneProduct		
AKAP8	GeneProduct		
PPP3CC	GeneProduct		
akap1b	GeneProduct	556208	Entrez Gene
zgc:153624	GeneProduct	767685	Entrez Gene
LOC557353	GeneProduct	557353	Entrez Gene
PRKCD	GeneProduct	334571	Entrez Gene
GNB3	GeneProduct	406483	Entrez Gene
LOC572061	GeneProduct	572061	Entrez Gene
PDE1B	GeneProduct		
CH73-270F14.2	GeneProduct	570108	Entrez Gene
gnao1a	GeneProduct	393760	Entrez Gene
DKEY-190G11.2	GeneProduct	566998	Entrez Gene
prkcb1	GeneProduct	393953	Entrez Gene
rras	GeneProduct	449660	Entrez Gene
LOC556160	GeneProduct	556160	Entrez Gene
AKAP5	GeneProduct		
LOC564915	GeneProduct	564915	Entrez Gene
ADCY4	GeneProduct		
LOC571011	GeneProduct	571011	Entrez Gene
IP3	Metabolite	HMDB0001143	HMDB
nras	GeneProduct	30380	Entrez Gene
zgc:92704	GeneProduct	436673	Entrez Gene
gngt1	GeneProduct	335656	Entrez Gene
gnb2	GeneProduct	541370	Entrez Gene
Ca2+	Metabolite	HMDB0000464	HMDB
zgc:112145	GeneProduct	550427	Entrez Gene
DAG	Metabolite	C00165	KEGG Compound
zgc:101761	GeneProduct	493613	Entrez Gene
zgc:172124	GeneProduct	100144561	Entrez Gene
PPP3CA	GeneProduct		
gnai1	GeneProduct	393946	Entrez Gene
CALM1	GeneProduct		
prkacb	GeneProduct	563147	Entrez Gene
prkar2aa	GeneProduct	556042	Entrez Gene
gnb5	GeneProduct	393719	Entrez Gene
LOC100006640	GeneProduct	100006640	Entrez Gene
plcb3	GeneProduct	100001532	Entrez Gene
AKAP7	GeneProduct		
gna13a	GeneProduct	326825	Entrez Gene
ADCY6	GeneProduct		
AKAP3	GeneProduct		
LOC564465	GeneProduct	564465	Entrez Gene
LOC100148685	GeneProduct	100148685	Entrez Gene
adcy2b	GeneProduct	557902	Entrez Gene
gnao1a	GeneProduct	393760	Entrez Gene
zgc:92392	GeneProduct	407724	Entrez Gene
LOC557123	GeneProduct	557123	Entrez Gene
LOC557337	GeneProduct	557337	Entrez Gene
ADCY9	GeneProduct		
LOC100002625	GeneProduct	100002625	Entrez Gene
LOC569499	GeneProduct	569499	Entrez Gene
PPP3CC	GeneProduct		
wu:fi40d09	GeneProduct	556620	Entrez Gene
GNA15	GeneProduct		
zgc:158458	GeneProduct	791145	Entrez Gene
akap12	GeneProduct	567365	Entrez Gene
zgc:153713	GeneProduct	751630	Entrez Gene
AKAP4	GeneProduct		
gnai3	GeneProduct	100006888	Entrez Gene
LOC558595	GeneProduct	558595	Entrez Gene
gngt2	GeneProduct	335655	Entrez Gene
PRKCQ	GeneProduct	555521	Entrez Gene
AKAP2	GeneProduct		
LOC792687	GeneProduct	792687	Entrez Gene
LOC795659	GeneProduct	795659	Entrez Gene
prkce	GeneProduct	100005075	Entrez Gene
gng7	GeneProduct	436670	Entrez Gene
LOC100003514	GeneProduct	100003514	Entrez Gene
GNB1	GeneProduct	322104	Entrez Gene
LOC100149498	GeneProduct	100149498	Entrez Gene
prkci	GeneProduct	117507	Entrez Gene
gng5	GeneProduct	337838	Entrez Gene
gng3	GeneProduct	114462	Entrez Gene
HRAS	GeneProduct	550286	Entrez Gene
prkcz	GeneProduct	555737	Entrez Gene
ARHGEF1	GeneProduct	368266	Entrez Gene
cAMP	Metabolite	HMDB0000058	HMDB
si:dkey-197m14.4	GeneProduct	566920	Entrez Gene
gnai1	GeneProduct	393946	Entrez Gene
CH211-220F13.4	GeneProduct	100148976	Entrez Gene
LOC568726	GeneProduct	568726	Entrez Gene
zgc:158799	GeneProduct	564064	Entrez Gene
LOC565706	GeneProduct	565706	Entrez Gene
kras	GeneProduct	445289	Entrez Gene
LOC100151215	GeneProduct	100151215	Entrez Gene
AKAP9	GeneProduct	565037	Entrez Gene
LOC100000320	GeneProduct	100000320	Entrez Gene
gna12	GeneProduct	503589	Entrez Gene
LOC100149388	GeneProduct	100149388	Entrez Gene
zgc:91856	GeneProduct	445076	Entrez Gene
slc9a1	GeneProduct	795135	Entrez Gene
gnai2	GeneProduct	327650	Entrez Gene
