ID	Database	Citation
8093561	Pubmed	"The subunits of activator 1 (replication factor C) carry out multiple functions essential for proliferating-cell nuclear antigen-dependent DNA synthesis. Pan ZQ, Chen M, Hurwitz J. Proc Natl Acad Sci U S A. 1993 Jan 1;90(1):6–10.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8093561"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8093561"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8093561"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
8377829	Pubmed	"Direct role for Myc in transcription initiation mediated by interactions with TFII-I. Roy AL, Carruthers C, Gutjahr T, Roeder RG. Nature. 1993 Sep 23;365(6444):359–61.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8377829"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8377829"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8377829"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9012831	Pubmed	"BAP-135, a target for Bruton’s tyrosine kinase in response to B cell receptor engagement. Yang W, Desiderio S. Proc Natl Acad Sci U S A. 1997 Jan 21;94(2):604–9.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9012831"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9012831"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9012831"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9228079	Pubmed	"A complex consisting of human replication factor C p40, p37, and p36 subunits is a DNA-dependent ATPase and an intermediate in the assembly of the holoenzyme. Cai J, Gibbs E, Uhlmann F, Phillips B, Yao N, O’Donnell M, et al. J Biol Chem. 1997 Jul 25;272(30):18974–81.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9228079"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9228079"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9228079"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9334247	Pubmed	"Clostridium perfringens enterotoxin utilizes two structurally related membrane proteins as functional receptors in vivo. Katahira J, Sugiyama H, Inoue N, Horiguchi Y, Matsuda M, Sugimoto N. J Biol Chem. 1997 Oct 17;272(42):26652–8.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9334247"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9334247"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9334247"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9384587	Pubmed	"Cloning of an inr- and E-box-binding protein, TFII-I, that interacts physically and functionally with USF1. Roy AL, Du H, Gregor PD, Novina CD, Martinez E, Roeder RG. EMBO J. 1997 Dec 1;16(23):7091–104.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9384587"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9384587"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9384587"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9516461	Pubmed	"Purification and characterization of a new eukaryotic protein translation factor. Eukaryotic initiation factor 4H. Richter-Cook NJ, Dever TE, Hensold JO, Merrick WC. J Biol Chem. 1998 Mar 27;273(13):7579–87.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9516461"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9516461"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9516461"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9685409	Pubmed	"Transmembrane neuregulins interact with LIM kinase 1, a cytoplasmic protein kinase implicated in development of visuospatial cognition. Wang JY, Frenzel KE, Wen D, Falls DL. J Biol Chem. 1998 Aug 7;273(32):20525–34.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9685409"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9685409"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9685409"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9751713	Pubmed	"ATP hydrolysis catalyzed by human replication factor C requires participation of multiple subunits. Cai J, Yao N, Gibbs E, Finkelstein J, Phillips B, O’Donnell M, et al. Proc Natl Acad Sci U S A. 1998 Sep 29;95(20):11607–12.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9751713"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9751713"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9751713"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10373551	Pubmed	"Regulation of nuclear localization and transcriptional activity of TFII-I by Bruton’s tyrosine kinase. Novina CD, Kumar S, Bajpai U, Cheriyath V, Zhang K, Pillai S, et al. Mol Cell Biol. 1999 Jul;19(7):5014–24.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10373551"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10373551"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10373551"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
