Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Grb10	GeneProduct	ensembl:ENSRNOG00000004290		ensembl:ENSRNOG00000004290	ncbigene:498416		uniprot:A0A0G2JYJ1;uniprot:D3ZEA3			
IRS2	GeneProduct	ensembl:ENSRNOG00000023509		ensembl:ENSRNOG00000023509	ncbigene:29376		uniprot:F1MAL5			
mLST8	GeneProduct	ensembl:ENSRNOG00000009667		ensembl:ENSRNOG00000009667	ncbigene:64226		uniprot:G3V7F1			
BAD	GeneProduct	ensembl:ENSRNOG00000021147		ensembl:ENSRNOG00000021147	ncbigene:64639		uniprot:O35147			
Acly	GeneProduct	ensembl:ENSRNOG00000016924		ensembl:ENSRNOG00000016924	ncbigene:24159		uniprot:A0A0G2K5E7;uniprot:G3V9G4;uniprot:G3V888			
ERK	GeneProduct	ensembl:ENSRNOG00000001849		ensembl:ENSRNOG00000001849	ncbigene:116590		uniprot:P63086			
SOS1	GeneProduct	ensembl:ENSRNOG00000007106		ensembl:ENSRNOG00000007106	ncbigene:313845		uniprot:D4A3T0			
Foxo1	GeneProduct	ensembl:ENSRNOG00000013397		ensembl:ENSRNOG00000013397	ncbigene:84482		uniprot:G3V7R4			
Gys1	GeneProduct	ensembl:ENSRNOG00000020812		ensembl:ENSRNOG00000020812	ncbigene:690987		uniprot:A2RRU1			
SHC-1	GeneProduct	ensembl:ENSRNOG00000020657		ensembl:ENSRNOG00000020657	ncbigene:85385		uniprot:F1LN14;uniprot:G3V8S2			
RAS	GeneProduct	ensembl:ENSRNOG00000009338								
Eif4e	GeneProduct	ensembl:ENSRNOG00000052343		ensembl:ENSRNOG00000052343	ncbigene:117045		uniprot:A0A1W2Q627;uniprot:P63074			
Akt1s1	GeneProduct	ensembl:ENSRNOG00000020289		ensembl:ENSRNOG00000020289	ncbigene:292887		uniprot:D3ZH75			
IRS1	GeneProduct	ensembl:ENSRNOG00000014597		ensembl:ENSRNOG00000014597			uniprot:G3V7V7			
S6K	GeneProduct	ensembl:ENSRNOG00000003919		ensembl:ENSRNOG00000003919	ncbigene:83840		uniprot:P67999			
MEK	GeneProduct	ensembl:ENSRNOG00000053583		ensembl:ENSRNOG00000053583	ncbigene:50689		uniprot:P21708			
Gys2	GeneProduct	ensembl:ENSRNOG00000059753		ensembl:ENSRNOG00000059753	ncbigene:25623		uniprot:D4A5K9			
TSC1	GeneProduct	ensembl:ENSRNOG00000011470		ensembl:ENSRNOG00000011470	ncbigene:60445		uniprot:Q9Z136			
FoxK1	GeneProduct	ensembl:ENSRNOG00000001104		ensembl:ENSRNOG00000001104	ncbigene:304298		uniprot:D3ZU55			
LARP1	GeneProduct	ensembl:ENSRNOG00000031544		ensembl:ENSRNOG00000031544	ncbigene:303158		uniprot:F1M062			
Pi3K	GeneProduct	ensembl:ENSRNOG00000017840		ensembl:ENSRNOG00000017840	ncbigene:65052		uniprot:O88763			
Akt	GeneProduct	ensembl:ENSRNOG00000028629		ensembl:ENSRNOG00000028629	ncbigene:24185		uniprot:P47196			
Rheb	GeneProduct	ensembl:ENSRNOG00000050578		ensembl:ENSRNOG00000050578	ncbigene:26954		uniprot:Q62639;uniprot:M0R3K1			
Gsk3	GeneProduct	ensembl:ENSRNOG00000020417		ensembl:ENSRNOG00000020417	ncbigene:50686		uniprot:P18265			
RSK1	GeneProduct	ensembl:ENSRNOG00000042411		ensembl:ENSRNOG00000042411	ncbigene:81771		uniprot:F1LXV0			
Raptor	GeneProduct	ensembl:ENSRNOG00000003821		ensembl:ENSRNOG00000003821	ncbigene:287871		uniprot:D3ZDU2			
4eBP	GeneProduct	ensembl:ENSRNOG00000012582		ensembl:ENSRNOG00000012582	ncbigene:116636		uniprot:Q62622			
Pfkfb2	GeneProduct	ensembl:ENSRNOG00000004162		ensembl:ENSRNOG00000004162	ncbigene:24640		uniprot:R9PXY6;uniprot:C9DRP5;uniprot:Q9JJH5;uniprot:D0EA88			
RAF	GeneProduct	ensembl:ENSRNOG00000010153		ensembl:ENSRNOG00000010153	ncbigene:24703		uniprot:P11345			
TSC2	GeneProduct	ensembl:ENSRNOG00000011375		ensembl:ENSRNOG00000011375	ncbigene:24855		uniprot:A0A0G2JSL4;uniprot:D3ZLW4			
mTOR	GeneProduct	ensembl:ENSRNOG00000009615		ensembl:ENSRNOG00000009615	ncbigene:56718		uniprot:P42346;uniprot:A0A0G2JX74			
Ndrg1	GeneProduct	ensembl:ENSRNOG00000007393		ensembl:ENSRNOG00000007393			uniprot:A0A1W2Q609;uniprot:Q6JE36;uniprot:A0A1W2Q686;uniprot:A0A1W2Q6A2			
Rps6	GeneProduct	ensembl:ENSRNOG00000007663		ensembl:ENSRNOG00000007663	ncbigene:29304		uniprot:M0RD75;uniprot:P62755			
GRB2	GeneProduct	ensembl:ENSRNOG00000003990		ensembl:ENSRNOG00000003990	ncbigene:81504		uniprot:P62994			
Insulin-1	Protein	uniprot:P01322		ensembl:ENSRNOG00000012052	ncbigene:24505		uniprot:P01322			
