Label	Type	ID	Database	
FZD3	GeneProduct	ENSG00000104290	Ensembl
PIP3	Metabolite	HMDB0004249	HMDB
WNT10B	GeneProduct	ENSG00000169884	Ensembl
PDGFRB	GeneProduct	ENSG00000113721	Ensembl
IKK	Protein		
FOS	GeneProduct	ENSG00000170345	Ensembl
FGF3	GeneProduct	ENSG00000186895	Ensembl
FGF13	GeneProduct	ENSG00000129682	Ensembl
SMAD9	GeneProduct	ENSG00000120693	Ensembl
MAP2K6	GeneProduct	ENSG00000108984	Ensembl
MAP2K2	GeneProduct	ENSG00000126934	Ensembl
GTP	Metabolite	HMDB0001440	HMDB
FGF7	GeneProduct	ENSG00000140285	Ensembl
BMP4	GeneProduct	ENSG00000125378	Ensembl
FGF8	GeneProduct	ENSG00000107831	Ensembl
STAT3	GeneProduct	ENSG00000168610	Ensembl
ERAS	GeneProduct	ENSG00000187682	Ensembl
FGF4	GeneProduct	ENSG00000075388	Ensembl
WNT2B	GeneProduct	ENSG00000134245	Ensembl
LRP6	GeneProduct	ENSG00000070018	Ensembl
SMAD4	GeneProduct	ENSG00000141646	Ensembl
SMAD1	GeneProduct	ENSG00000170365	Ensembl
SMAD5	GeneProduct	ENSG00000113658	Ensembl
SMAD9	GeneProduct	ENSG00000120693	Ensembl
SMAD4	GeneProduct	ENSG00000141646	Ensembl
STAT3	GeneProduct	ENSG00000168610	Ensembl
STAT3	GeneProduct	ENSG00000168610	Ensembl
PTPN11	GeneProduct	ENSG00000179295	Ensembl
JAK1	GeneProduct	ENSG00000162434	Ensembl
HRAS	GeneProduct	ENSG00000174775	Ensembl
