Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
POLD3	GeneProduct	ensembl:ENSCAFG00000005484								
RAD51_CANFA	GeneProduct	ensembl:ENSCAFG00000009220								
RAD51_CANFA	GeneProduct	ensembl:ENSCAFG00000009220								
NP_001006654.2	GeneProduct	ensembl:ENSCAFG00000006383								
NP_001006654.2	GeneProduct	ensembl:ENSCAFG00000006383								
NP_001006654.2	GeneProduct	ensembl:ENSCAFG00000006383								
RPA1	GeneProduct	ensembl:ENSCAFG00000019249								
RPA1	GeneProduct	ensembl:ENSCAFG00000019249								
RPA1	GeneProduct	ensembl:ENSCAFG00000019249								
NBN	GeneProduct	ensembl:ENSCAFG00000008992								
RAD52	GeneProduct	ensembl:ENSCAFG00000015831								
RAD52	GeneProduct	ensembl:ENSCAFG00000015831								
POLD4	GeneProduct	ensembl:ENSCAFG00000011635								
RAD51_CANFA	GeneProduct	ensembl:ENSCAFG00000009220								
ATM	GeneProduct	ensembl:ENSCAFG00000014454								
RAD54B	GeneProduct	ensembl:ENSCAFG00000009179								
Q5SBJ0_CANFA	GeneProduct	ensembl:ENSCAFG00000004162								
RAD51_CANFA	GeneProduct	ensembl:ENSCAFG00000009220								
NP_001006654.2	GeneProduct	ensembl:ENSCAFG00000006383								
POLD1	GeneProduct	ensembl:ENSCAFG00000002937								
RPA1	GeneProduct	ensembl:ENSCAFG00000019249	Type you comment here							
POLD2	GeneProduct	ensembl:ENSCAFG00000002933								
RAD52	GeneProduct	ensembl:ENSCAFG00000015831								
RAD50	GeneProduct	ensembl:ENSCAFG00000000867								
ATM	GeneProduct	ensembl:ENSCAFG00000014454								
RAD54B	GeneProduct	ensembl:ENSCAFG00000009179								
