Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
AKT2	GeneProduct	ncbigene:208	L:208:T	AKT							
AKT3	GeneProduct	ncbigene:10000	L:10000:T	AKT							
CDH11	GeneProduct	ncbigene:1009	L:1009:T	Cadherin							
NGEF	GeneProduct	ncbigene:25791	L:25791:T								
FOS	GeneProduct	ncbigene:2353	L:2353:T	AP-1							
EPHB1	GeneProduct	ncbigene:2047	L:2047:T	MMP							
MMP9	GeneProduct	ncbigene:4318	L:4318:T	MMP							
MMP2	GeneProduct	ncbigene:4313	L:4313:T	MMP2							
PIK3CA	GeneProduct	ncbigene:5290	L:5290:T	PI3K							
PIK3CB	GeneProduct	ncbigene:5291	L:5291:T	PI3K							
PIK3CD	GeneProduct	ncbigene:5293	L:5293:T	PI3K							
PIK3R3	GeneProduct	ncbigene:8503	L:8503:T	PI3K							
PIK3R4	GeneProduct	ncbigene:30849	L:30849:T	PI3K							
PIK3R5	GeneProduct	ncbigene:23533	L:23533:T	PI3K							
PIK3R6	GeneProduct	ncbigene:146850	L:146850:T	PI3K							
TIAM1	GeneProduct	ncbigene:7074	L:7074:T	Tiam							
TRIO	GeneProduct	ncbigene:7204	L:7204:T	TRIO							
NTRK2	GeneProduct	ncbigene:4915	L:4915:T								
MMP8	GeneProduct	ncbigene:4317	L:4317:T	MMP							
TWIST1	GeneProduct	ncbigene:7291	L:7291:T	Twist1,							
PIK3CG	GeneProduct	ncbigene:5294	L:5294:T	PI3K							
ARF1	GeneProduct	ncbigene:375	L:375:T								
RAC1	GeneProduct	ncbigene:5879	L:5879:T	MMP							
AKT1	GeneProduct	ncbigene:207	L:207:T	AKT							
KIDINS220	GeneProduct	ncbigene:57498	L:57498:T								
BDNF	GeneProduct	ncbigene:627	L:627:T	BDNF							
F2RL2	GeneProduct	ncbigene:2151	L:2151:T	MMP							
JUN	GeneProduct	ncbigene:3725	L:3725:T	JUN/AP							
RHOA	GeneProduct	ncbigene:387	L:387:T	RhoA							
STAT3	GeneProduct	ncbigene:6774	L:6774:T	STAT3							
CDH11	GeneProduct	ncbigene:1009	L:1009:T	Cadherin							
AKT3	GeneProduct	ncbigene:10000	L:10000:T	AKT							
AKT1	GeneProduct	ncbigene:207	L:207:T	AKT							
AKT2	GeneProduct	ncbigene:208	L:208:T	AKT							
NGFR	GeneProduct	ncbigene:4804	L:4804:T								
NGFR	GeneProduct	ncbigene:4804	L:4804:T	p75(NTR)							
EPHB2	GeneProduct	ncbigene:2048	L:2048:T	MMP							
EPHB3	GeneProduct	ncbigene:2049	L:2049:T	MMP							
EPHB4	GeneProduct	ncbigene:2050	L:2050:T	MMP							
EPHB6	GeneProduct	ncbigene:2051	L:2051:T	MMP							
BDNF	GeneProduct	ncbigene:627	L:627:T	BDNF							
STAT3	GeneProduct	ncbigene:6774	L:6774:T	STAT3							
MMP2	GeneProduct	ncbigene:4313	L:4313:T	MMP2							
TWIST1	GeneProduct	ncbigene:7291	L:7291:T	Twist1,							
MMP9	GeneProduct	ncbigene:4318	L:4318:T	MMP							
RAC1	GeneProduct	ncbigene:5879	L:5879:T								
PAK2	GeneProduct	ncbigene:5062	L:5062:T								
PAK3	GeneProduct	ncbigene:5063	L:5063:T								
PAK4	GeneProduct	ncbigene:10298	L:10298:T								
PAK5	GeneProduct	ncbigene:57144	L:57144:T								
PAK6	GeneProduct	ncbigene:56924	L:56924:T								
RAC1	GeneProduct	ncbigene:5879	L:5879:T								
PAK1	GeneProduct	ncbigene:5058	L:5058:T								
NGFR	GeneProduct	ncbigene:4804	L:4804:T								
proBDNF	GeneProduct	ncbigene:627	L:627:T	BDNF							
NTRK2	GeneProduct	ncbigene:4915	L:4915:T								
NTRK2	GeneProduct	ncbigene:4915	L:4915:T								
SORT1	GeneProduct	ncbigene:6272	L:6272:T								
NGFR-ICD	GeneProduct	ncbigene:4804	L:4804:T								
