Label	Type	ID	Database	
Na+	Metabolite	HMDB0000588	HMDB
H+	Metabolite	1038	PubChem-compound
H+	Metabolite	1038	PubChem-compound
OPG	Protein		
PDGFB	Protein	565324	Entrez Gene
Pi	Metabolite		
TRPV	Protein		
RANK ligand	Protein		
H+	Metabolite	1038	PubChem-compound
H+	Metabolite	1038	PubChem-compound
Ca2+	Metabolite	271	PubChem-compound
H+	Metabolite	1038	PubChem-compound
acp5a	Protein	406801	Entrez Gene
ctsk	Protein	550475	Entrez Gene
IFN-b	Protein		
Ca2+	Metabolite	271	PubChem-compound
slc9a1	Protein	795135	Entrez Gene
atp6v1g1	Protein	335025	Entrez Gene
Na+	Metabolite	HMDB0000588	HMDB
LOC100150926	Protein	100150926	Entrez Gene
acp5a	Protein	406801	Entrez Gene
Type 1 interferon receptor	Protein		
itgb3b	Protein	100001836	Entrez Gene
ctsk	Protein	550475	Entrez Gene
LOC799203	Protein	799203	Entrez Gene
Osteopontin	Protein		
PDGFB	Protein	565324	Entrez Gene
