Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
MYF6	GeneProduct	ensembl:ENSBTAG00000014003	102265 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:4618	ensembl:ENSBTAG00000014003	ncbigene:281336		uniprot:A0A3Q1MBU6;uniprot:Q7YS80			
KLF9	GeneProduct	ensembl:ENSBTAG00000016229	93527 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:687	ensembl:ENSBTAG00000016229	ncbigene:539139		uniprot:E1B7V1			
HERPUD1	GeneProduct	ensembl:ENSBTAG00000016896	95057 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:9709	ensembl:ENSBTAG00000016896	ncbigene:613577		uniprot:F1MMX9;uniprot:A0A3Q1M0Y3			
SF3A3	GeneProduct	ensembl:ENSBTAG00000007299	96029 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:10946	ensembl:ENSBTAG00000007299	ncbigene:523250		uniprot:Q3SWY7;uniprot:F6PYH3			
CBX3	GeneProduct	ensembl:ENSBTAG00000005540	100405 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:11335	ensembl:ENSBTAG00000005540			uniprot:F1N1S3			
AZIN1	GeneProduct	ensembl:ENSBTAG00000007943	101002 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:51582	ensembl:ENSBTAG00000007943	ncbigene:532835		uniprot:A3KMV9			
PSMA4	GeneProduct	ensembl:ENSBTAG00000014440	97459 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5685	ensembl:ENSBTAG00000014440	ncbigene:510423		uniprot:Q3ZCK9			
ZFR	GeneProduct	ensembl:ENSBTAG00000008414	104050 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:51663	ensembl:ENSBTAG00000008414	ncbigene:538494		uniprot:F1N0Y9;uniprot:A0A3Q1MKI3;uniprot:A0A3Q1LLZ5			
SUMO1	GeneProduct	ensembl:ENSBTAG00000009859	101091 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:7341							
H2B	GeneProduct	ensembl:ENSBTAG00000031886	93833 s at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:8341	ensembl:ENSBTAG00000031886	ncbigene:614958		uniprot:F2Z4E8			
PURA	GeneProduct	ensembl:ENSBTAG00000008881	103501 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5813	ensembl:ENSBTAG00000008881	ncbigene:782746		uniprot:E1BMW9			
CRY2	GeneProduct	ensembl:ENSBTAG00000021223	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1408	ensembl:ENSBTAG00000021223	ncbigene:509058		uniprot:F1N0J9			
PER1	GeneProduct	ensembl:ENSBTAG00000003889	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5187	ensembl:ENSBTAG00000003889	ncbigene:516318		uniprot:F1MDK3;uniprot:A0A3Q1NLM9			
PER2	GeneProduct	ensembl:ENSBTAG00000045685	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:8864							
CRY1	GeneProduct	ensembl:ENSBTAG00000010149	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1407	ensembl:ENSBTAG00000010149	ncbigene:535947		uniprot:A7YWC2			
PPP1R3C	GeneProduct	ensembl:ENSBTAG00000014831	93933 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5507	ensembl:ENSBTAG00000014831	ncbigene:539466		uniprot:Q0VCR4			
PPP2CB	GeneProduct	ensembl:ENSBTAG00000009245	101101 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5516	ensembl:ENSBTAG00000009245	ncbigene:524361		uniprot:Q0P594			
NCOA4	GeneProduct	ensembl:ENSBTAG00000019565	97843 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:8031	ensembl:ENSBTAG00000019565	ncbigene:525329		uniprot:Q1RMQ8;uniprot:A0A3Q1N128			
ETV6	GeneProduct	ensembl:ENSBTAG00000014605	93866 s at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2120	ensembl:ENSBTAG00000014605	ncbigene:504512		uniprot:F1MQT2;uniprot:Q0VC65;uniprot:A0A3Q1LNJ9			
ERC2	GeneProduct	ensembl:ENSBTAG00000010029	93829 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:26059	ensembl:ENSBTAG00000010029	ncbigene:537173		uniprot:F1MTI4;uniprot:A0A3Q1ME96;uniprot:A0A3Q1M235;uniprot:A0A3Q1LK41;uniprot:A0A3Q1LZ99;uniprot:A0A3Q1MTB3			
BOLA-DMA	GeneProduct	ensembl:ENSBTAG00000015730	162346 f at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3108	ensembl:ENSBTAG00000015730	ncbigene:282490		uniprot:F1MLV2			
HSPA8	GeneProduct	ensembl:ENSBTAG00000013162	96564 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3312	ensembl:ENSBTAG00000013162	ncbigene:281831		uniprot:A0A3Q1M8L6;uniprot:P19120;uniprot:A0A3Q1LMS5			
DNAJA1	GeneProduct	ensembl:ENSBTAG00000016265	97261 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3301	ensembl:ENSBTAG00000016265	ncbigene:528862		uniprot:Q5E954			
UCP3	GeneProduct	ensembl:ENSBTAG00000005259	93392 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:7352	ensembl:ENSBTAG00000005259	ncbigene:281563		uniprot:O77792;uniprot:A0A3Q1M2S0			
GSTM3	GeneProduct	ensembl:ENSBTAG00000001842	97681 f at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2947	ensembl:ENSBTAG00000001842	ncbigene:615507		uniprot:A0A3Q1LSN6;uniprot:Q2KIV8			
UGP2	GeneProduct	ensembl:ENSBTAG00000000111	94481 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:7360	ensembl:ENSBTAG00000000111	ncbigene:281565		uniprot:A0A3Q1M010;uniprot:A0A3Q1MT05;uniprot:A0A3Q1MUI0;uniprot:Q07130			
CLDN5	GeneProduct	ensembl:ENSBTAG00000022020	104516 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:7122	ensembl:ENSBTAG00000022020	ncbigene:617453		uniprot:Q2HJ22			
PIGF	GeneProduct	ensembl:ENSBTAG00000015719	104725 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5281	ensembl:ENSBTAG00000015719	ncbigene:768015		uniprot:F1MNK5			
TUBB3	GeneProduct	ensembl:ENSBTAG00000023730	94835 f at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:10381	ensembl:ENSBTAG00000023730	ncbigene:768070		uniprot:Q2T9S0			
GFRA1	GeneProduct	ensembl:ENSBTAG00000019297	93872 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2674	ensembl:ENSBTAG00000019297	ncbigene:534801		uniprot:A0A3Q1N8H3;uniprot:A7YY41			
TAB2	GeneProduct	ensembl:ENSBTAG00000013454	160309 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:23118	ensembl:ENSBTAG00000013454	ncbigene:540203		uniprot:E1B7Z0			
SUMO3	GeneProduct	ensembl:ENSBTAG00000017321	95424 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6612	ensembl:ENSBTAG00000017321	ncbigene:617236		uniprot:Q17QV3			
GSTP1	GeneProduct	ensembl:ENSBTAG00000003548	99583 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2950	ensembl:ENSBTAG00000003548	ncbigene:525938		uniprot:A0A452DHY4			
NCKAP1	GeneProduct	ensembl:ENSBTAG00000033662	95508 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:10787	ensembl:ENSBTAG00000033662	ncbigene:101907541		uniprot:F1MPZ9;uniprot:A0A3Q1MD87;uniprot:A0A3Q1MWL3;uniprot:A0A3Q1NAE3;uniprot:A0A3Q1NN69;uniprot:A0A3Q1M7M0;uniprot:A0A3Q1NMJ7;uniprot:A0A3Q1MKB2;uniprot:A0A3Q1M7W5			
VAPA	GeneProduct	ensembl:ENSBTAG00000017279	94889 at</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:9218	ensembl:ENSBTAG00000017279	ncbigene:516024		uniprot:A0A3Q1LZJ2;uniprot:A0A3Q1M6X6;uniprot:A0A3Q1LUP8;uniprot:Q0VCY1			
