Label	Type	ID	Database	
Hadha	GeneProduct	170670	Entrez Gene
Acetyl-CoA	Metabolite	HMDB0001206	HMDB
Acetyl-CoA	Metabolite	HMDB0001206	HMDB
Acadm	GeneProduct	24158	Entrez Gene
(S)-Hydroxyhexanoyl-CoA	Metabolite	HMDB0003942	HMDB
Hadhb	GeneProduct	171155	Entrez Gene
Pnpla2	GeneProduct	361676	Entrez Gene
Glutaryl-CoA	Metabolite	HMDB0001339	HMDB
Cpt2	GeneProduct	25413	Entrez Gene
Glyceraldehyde-3-Phosphate	Metabolite	HMDB0001112	HMDB
Acads	GeneProduct	64304	Entrez Gene
Acadm	GeneProduct	24158	Entrez Gene
Hadhb	GeneProduct	171155	Entrez Gene
cis,cis-3,6-Dodecadienoyl-CoA	Metabolite	HMDB0003952	HMDB
Glycerol	Metabolite	HMDB0000131	HMDB
Crotonoyl-CoA	Metabolite	HMDB0002009	HMDB
Dci	GeneProduct	29740	Entrez Gene
Echs1	GeneProduct	140547	Entrez Gene
Gcdh	GeneProduct	364975	Entrez Gene
Octanoyl-CoA	Metabolite	HMDB0001070	HMDB
Palmitoleic acid	Metabolite	HMDB0003229	HMDB
Hadhb	GeneProduct	171155	Entrez Gene
Hadhb	GeneProduct	171155	Entrez Gene
Hadh	GeneProduct	113965	Entrez Gene
Hadhb	GeneProduct	171155	Entrez Gene
(2E)-Tetradecenoyl-CoA	Metabolite	HMDB0003946	HMDB
(S)-Hydroxyoctanoyl-CoA	Metabolite	HMDB0003940	HMDB
Decanoyl-CoA 	Metabolite	HMDB0006404	HMDB
Hadhb	GeneProduct	171155	Entrez Gene
Hadhb	GeneProduct	171155	Entrez Gene
Acadvl	GeneProduct	25363	Entrez Gene
Acetyl-CoA	Metabolite	HMDB0001206	HMDB
Hadhb	GeneProduct	171155	Entrez Gene
Hadhb	GeneProduct	171155	Entrez Gene
Arachidic acid	Metabolite	HMDB0002212	HMDB
L-glycerol-3-phosphate	Metabolite	HMDB0000126	HMDB
Hexanoyl-CoA	Metabolite	HMDB0002845	HMDB
(S)-3-Hydroxyhexadecanoyl-CoA	Metabolite	HMDB0003932	HMDB
Gpd2	GeneProduct	25062	Entrez Gene
3-Oxohexanoyl-CoA	Metabolite	HMDB0003943	HMDB
Hadha	GeneProduct	170670	Entrez Gene
Hadh	GeneProduct	113965	Entrez Gene
Hadha	GeneProduct	170670	Entrez Gene
Acetyl-CoA	Metabolite	HMDB0001206	HMDB
Palmityl-CoA	Metabolite	HMDB0001338	HMDB
Acetyl-CoA	Metabolite	HMDB0001206	HMDB
3-Oxododecanoyl-CoA	Metabolite	HMDB0003937	HMDB
trans-2-Hexenoyl-CoA	Metabolite	HMDB0003944	HMDB
