Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Metaboliteent-copalyl diphosphate	Metabolite	chebi:28151	""					wikidata:Q27103531	chebi:28151	inchikey:JCAIWDXKLCEQEO-PGHZQYBFSA-N	pubchem.compound:5280897	chemspider:4444419	hmdb:HMDB0301826	kegg.compound:C06089	lipidmaps:LMPR0104030001
ent-kaur-16-ene	Metabolite	chebi:15415	""					wikidata:Q27089428	chebi:15415	inchikey:ONVABDHFQKWOSV-HPUSYDDDSA-N	pubchem.compound:11966109	chemspider:16737395		kegg.compound:C06090	lipidmaps:LMPR0104130002
all-trans-geranyl-geranyl diphosphate	Metabolite	chebi:48861	""					wikidata:Q774795	chebi:48861	inchikey:OINNEUNVOZHBOX-QIRCYJPOSA-N	pubchem.compound:447277	chemspider:394418	hmdb:HMDB0004486	kegg.compound:C00353	lipidmaps:LMPR0104010001
ent-kaur-16-en-19-ol	Metabolite	wikidata:Q27089429	""					wikidata:Q27089429	chebi:15416	inchikey:TUJQVRFWMWRMIO-LHYCJURKSA-N	pubchem.compound:139031093	chemspider:21864775			lipidmaps:LMPR0104130003
ent-7-α-hydroxykaurenoate	Metabolite	chebi:15419	""					wikidata:Q27089432	chebi:15419	inchikey:KMLXVEXJZSTMBV-YDIYEOSVSA-N	pubchem.compound:443467	chemspider:391681		kegg.compound:C11875	lipidmaps:LMPR0104540005
ent-kaurenoate	Metabolite	chebi:15417	""					wikidata:Q27089430	chebi:15417	inchikey:NIKHGUQULKYIGE-OTCXFQBHSA-N	pubchem.compound:73062	chemspider:21258059	hmdb:HMDB0302664	kegg.compound:C11874	lipidmaps:LMPR0104130004
GA12-aldehyde	Metabolite	chebi:15610	""					wikidata:Q27098143	chebi:15610	inchikey:ZCTUNYRXJKLWPY-LLCOKINKSA-N	pubchem.compound:5459783	chemspider:4573560	hmdb:HMDB0039484	kegg.compound:C06093	lipidmaps:LMPR0104170040
GA12	Metabolite	wikidata:Q27104111	""					wikidata:Q27104111	chebi:30088	inchikey:UJFQJDAESQJXTG-UFUZVNNQSA-N	pubchem.compound:443450	chemspider:391664	hmdb:HMDB0301912	kegg.compound:C11857	lipidmaps:LMPR0104170014
ent-kaur-16-en-19-al	Metabolite	chebi:15418	""					wikidata:Q27089431	chebi:15418	inchikey:JCAVDWHQNFTFBW-LHYCJURKSA-N	pubchem.compound:139031094	chemspider:21864776			lipidmaps:LMPR0104130005
ent-copalyl diphosphate synthase	GeneProduct	eccode:5.5.1.13	""												
ent-kaurene synthase	GeneProduct	eccode:4.2.3.19	""												
ent-kaurene oxidase	GeneProduct	eccode:1.14.13.78	""												
ent-kaurenoic acid oxidase	GeneProduct	eccode:1.14.13.79	""												
