Label	Type	ID	Database	
blw	GeneProduct	FBgn0011211	Ensembl
NDUFB6	GeneProduct		
ATP5I	GeneProduct		
Ant2	GeneProduct	FBgn0025111	Ensembl
CG3803	GeneProduct	FBgn0034938	Ensembl
COX6B	GeneProduct	FBgn0031066	Ensembl
ox	GeneProduct	FBgn0011227	Ensembl
cype	GeneProduct	FBgn0015031	Ensembl
ATPsynF	GeneProduct	FBgn0035032	Ensembl
ATPsynO	GeneProduct	FBgn0016691	Ensembl
O2	Metabolite	HMDB0001377	HMDB
ATPsynC	GeneProduct	FBgn0039830	Ensembl
H+	Metabolite	CHEBI:15378	ChEBI
NDUFC1	GeneProduct		
ATPsynbeta	GeneProduct	FBgn0010217	Ensembl
ND-19	GeneProduct	FBgn0035046	Ensembl
ATP	Metabolite	C00002	KEGG Compound
Succinate	Metabolite	C00042	KEGG Compound
UQCR	GeneProduct		
NDUFA3	GeneProduct		
Bmcp	GeneProduct	FBgn0036199	Ensembl
ND-24	GeneProduct	FBgn0030853	Ensembl
ND-B14	GeneProduct	FBgn0033570	Ensembl
mt:CoII	GeneProduct	FBgn0013675	Ensembl
ND-B22	GeneProduct	FBgn0032511	Ensembl
ND-13A	GeneProduct	FBgn0031684	Ensembl
RFeSP	GeneProduct	FBgn0021906	Ensembl
ND-B8	GeneProduct	FBgn0040705	Ensembl
ND4L	GeneProduct		
e-	Metabolite	C05359	KEGG Compound
ATP8	GeneProduct		
NDUFS5	GeneProduct		
COX5A	GeneProduct	FBgn0019624	Ensembl
UQCR-C2	GeneProduct	FBgn0250814	Ensembl
COX11	GeneProduct		
ATPsynCF6L	GeneProduct	FBgn0035585	Ensembl
SdhBL	GeneProduct	FBgn0030975	Ensembl
mt:CoI	GeneProduct	FBgn0013674	Ensembl
FADH2	Metabolite	C01352	KEGG Compound
COX7A2L	GeneProduct		
ND-20L	GeneProduct	FBgn0039669	Ensembl
CG14077	GeneProduct	FBgn0036830	Ensembl
Ucp4A	GeneProduct	FBgn0030872	Ensembl
TCA Cycle	Pathway	WP78	WikiPathways
ND-18	GeneProduct	FBgn0031021	Ensembl
COX7A1	GeneProduct		
COX4	GeneProduct	FBgn0032833	Ensembl
H+	Metabolite	CHEBI:15378	ChEBI
COX7A3	GeneProduct		
H+	Metabolite	CHEBI:15378	ChEBI
Ant2	GeneProduct	FBgn0025111	Ensembl
ATPsynG	GeneProduct	FBgn0010612	Ensembl
NDUFB1	GeneProduct		
UCP3	GeneProduct		
UQCR-11	GeneProduct	FBgn0260008	Ensembl
FAD	Metabolite	C00016	KEGG Compound
ND-39	GeneProduct	FBgn0037001	Ensembl
H+	Metabolite	CHEBI:15378	ChEBI
ND-B12	GeneProduct	FBgn0034645	Ensembl
ATPsynC	GeneProduct	FBgn0039830	Ensembl
NDUFB4	GeneProduct		
COX7A2	GeneProduct		
H+	Metabolite	CHEBI:15378	ChEBI
ND6	GeneProduct		
CG10731	GeneProduct	FBgn0034081	Ensembl
NAD+	Metabolite	C00003	KEGG Compound
SdhA	GeneProduct	FBgn0261439	Ensembl
H2O	Metabolite	HMDB0002111	HMDB
mt:ND2	GeneProduct	FBgn0013680	Ensembl
ND-ACP	GeneProduct	FBgn0011361	Ensembl
COX7B	GeneProduct		
UQCR-Q	GeneProduct	FBgn0036728	Ensembl
Ant2	GeneProduct	FBgn0025111	Ensembl
UQCR-14L	GeneProduct	FBgn0039576	Ensembl
mt:ND5	GeneProduct	FBgn0013684	Ensembl
ND-B17.2	GeneProduct	FBgn0031436	Ensembl
Scox	GeneProduct	FBgn0262467	Ensembl
SdhD	GeneProduct	FBgn0039112	Ensembl
ATPIF1	GeneProduct		
ND-B18	GeneProduct	FBgn0030605	Ensembl
NDUFA1	GeneProduct		
UQCR-C1	GeneProduct	FBgn0038271	Ensembl
ND-SGDH	GeneProduct	FBgn0011455	Ensembl
COX5B	GeneProduct	FBgn0031830	Ensembl
H+	Metabolite	CHEBI:15378	ChEBI
mt:ATPase6	GeneProduct	FBgn0013672	Ensembl
mt:CoIII	GeneProduct	FBgn0013676	Ensembl
ND-30	GeneProduct	FBgn0266582	Ensembl
COX8A	GeneProduct		
mt:ND1	GeneProduct	FBgn0013679	Ensembl
ND-51L2	GeneProduct	FBgn0034007	Ensembl
CG6629	GeneProduct	FBgn0037860	Ensembl
ATPsynC	GeneProduct	FBgn0039830	Ensembl
CG14077	GeneProduct	FBgn0036830	Ensembl
H+	Metabolite	CHEBI:15378	ChEBI
Surf1	GeneProduct	FBgn0029117	Ensembl
ND-75	GeneProduct	FBgn0017566	Ensembl
ND-B14.5A	GeneProduct	FBgn0025839	Ensembl
mt:ND4	GeneProduct	FBgn0262952	Ensembl
ATPsynD	GeneProduct	FBgn0016120	Ensembl
NDUFC2	GeneProduct		
CG40472	GeneProduct	FBgn0085736	Ensembl
ND-49L	GeneProduct	FBgn0039331	Ensembl
COX7C	GeneProduct		
ATPsyndelta	GeneProduct	FBgn0028342	Ensembl
ND-PDSW	GeneProduct	FBgn0021967	Ensembl
CG9065	GeneProduct	FBgn0030610	Ensembl
ND-MLRQ	GeneProduct	FBgn0052230	Ensembl
e-	Metabolite	C05359	KEGG Compound
ND-13B	GeneProduct	FBgn0047038	Ensembl
ATPsynB	GeneProduct	FBgn0019644	Ensembl
ATP5E	GeneProduct		
ATPsyngamma	GeneProduct	FBgn0020235	Ensembl
NDUFV3	GeneProduct		
e-	Metabolite	C05359	KEGG Compound
ND-42	GeneProduct	FBgn0019957	Ensembl
Cytochrome C	Metabolite	C00524	KEGG Compound
UCP2	GeneProduct		
mt:ND3	GeneProduct	FBgn0013681	Ensembl
ND-23	GeneProduct	FBgn0017567	Ensembl
ND-ASHI	GeneProduct	FBgn0029888	Ensembl
mt:Cyt-b	GeneProduct	FBgn0013678	Ensembl
UCP1	GeneProduct		
NADH	Metabolite	C00004	KEGG Compound
