Label	Type	ID	Database	
Aflatoxin B1 C8-monoalcohol	Metabolite		
Aflatoxin-endo-B1-8,9-epoxide	Metabolite		
AKR7A2	GeneProduct	ENSBTAG00000026758	Ensembl
CYP1A2	GeneProduct	ENSBTAG00000000085	Ensembl
AKR7A2	GeneProduct	ENSBTAG00000012289	Ensembl
GSTT1	GeneProduct		
GSTM1	GeneProduct		
CYP2A13	GeneProduct	ENSBTAG00000047815	Ensembl
Aflatoxin B1 exo-8,9-epoxide-GSH	Metabolite	5460816	PubChem-compound
EPHX1	GeneProduct	ENSBTAG00000000140	Ensembl
CYP1A2	GeneProduct	ENSBTAG00000000085	Ensembl
Aflatoxin B1-6,8-dialcohol	Metabolite		
Aflatoxin B1 8,9-dihydrodiol	Metabolite		
Aflatoxin B1 dialdehyde	Metabolite		
CYP1A2	GeneProduct	ENSBTAG00000000085	Ensembl
aflatoxin B1	Metabolite	HMDB0006552	HMDB
Aflatoxin B1 exo-8,9-epoxide	Metabolite	HMDB0006558	HMDB
Aflatoxin M1	Metabolite	15558498	PubChem-compound
Aflatoxin B1 C8-monoaldehyde	Metabolite		
Aflatoxin M1 epoxide	Metabolite		
CYP2A13	GeneProduct	ENSBTAG00000047815	Ensembl
Aflatoxin B1 C6-monoalcohol	Metabolite		
Aflatoxin Q1	Metabolite	104757	PubChem-compound
CYP3A4	GeneProduct	ENSBTAG00000047379	Ensembl
Aflatoxin B1 C6-monoaldehyde	Metabolite		
CYP3A4	GeneProduct	ENSBTAG00000047379	Ensembl
