Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Mmp23	GeneProduct	ncbigene:94339	""	ensembl:ENSRNOG00000017477	ncbigene:94339		uniprot:O88272								
Mmp27	GeneProduct	ncbigene:300340	""												
Mmp2	GeneProduct	ncbigene:81686	""	ensembl:ENSRNOG00000016695	ncbigene:81686		uniprot:E9PSM5;uniprot:P33436								
Mmp11	GeneProduct	ncbigene:25481	""	ensembl:ENSRNOG00000028344	ncbigene:25481		uniprot:Q499S5								
Mmp15	GeneProduct	ncbigene:291848	""	ensembl:ENSRNOG00000012622	ncbigene:291848		uniprot:D3ZCG5								
Mmp25	GeneProduct	ensembl:ENSRNOG00000029621	""												
Mmp9	GeneProduct	ncbigene:81687	""	ensembl:ENSRNOG00000017539	ncbigene:81687		uniprot:A0A0G2JUD9;uniprot:D3ZYK8								
Mmp3	GeneProduct	ncbigene:171045	""												
Mmp28	GeneProduct	ncbigene:303384	""	ensembl:ENSRNOG00000047940	ncbigene:303384		uniprot:A1EC81								
Timp2	GeneProduct	ncbigene:29543	""	ensembl:ENSRNOG00000033143	ncbigene:29543;ncbigene:498028		uniprot:Q6AY32;uniprot:P30121								
Mmp7	GeneProduct	ncbigene:25335	""												
Mmp10	GeneProduct	ncbigene:117061	""												
Mmp17	GeneProduct	ncbigene:288626	""	ensembl:ENSRNOG00000023643	ncbigene:288626		uniprot:D3ZXJ0								
Mmp19	GeneProduct	ncbigene:304608	""												
Bsg	GeneProduct	ncbigene:25246	""	ensembl:ENSRNOG00000008414	ncbigene:25246		uniprot:Q6GT74;uniprot:P26453								
Mmp12	GeneProduct	ncbigene:117033	""												
Mmp16	GeneProduct	ncbigene:65205	""	ensembl:ENSRNOG00000005708	ncbigene:65205		uniprot:F1M7F5								
Tcf20	GeneProduct	ncbigene:366964	""	ensembl:ENSRNOG00000009585	ncbigene:366964		uniprot:D3ZG21								
Mmp14	GeneProduct	ncbigene:81707	""	ensembl:ENSRNOG00000010947	ncbigene:81707		uniprot:Q10739								
Mmp21	GeneProduct	ncbigene:293573	""	ensembl:ENSRNOG00000017756	ncbigene:293573		uniprot:D3ZZ42								
Mmp20	GeneProduct	ncbigene:300341	""												
Timp1	GeneProduct	ncbigene:116510	""												
Mmp8	GeneProduct	ncbigene:63849	""												
Mmp13	GeneProduct	ncbigene:171052	""												
Timp3	GeneProduct	ncbigene:25358	""	ensembl:ENSRNOG00000004303	ncbigene:25358		uniprot:Q4V8L0								
MMP24	GeneProduct	ncbigene:83513	""	ensembl:ENSRNOG00000047028	ncbigene:83513		uniprot:M0RCS0;uniprot:A0A0G2KA10;uniprot:Q99PW6								
Tnf	GeneProduct	ncbigene:24835	""	ensembl:ENSRNOG00000070745	ncbigene:24835		uniprot:P16599								
Mmp1a	GeneProduct	ncbigene:300339	""												
Timp4	GeneProduct	ncbigene:680130	""	ensembl:ENSRNOG00000007955	ncbigene:680130		uniprot:P81556								
