Label	Type	ID	Database	
PSTK	GeneProduct	ENSBTAG00000014028	Ensembl
SECISBP2	GeneProduct	ENSBTAG00000001939	Ensembl
SELM	GeneProduct	ENSBTAG00000031279	Ensembl
NFKB1	GeneProduct	ENSBTAG00000020270	Ensembl
TXNRD3	GeneProduct		
SELENBP1	GeneProduct	ENSBTAG00000008091	Ensembl
SEPN1	GeneProduct		
SECISBP2	GeneProduct	ENSBTAG00000001939	Ensembl
TXNRD1	GeneProduct	ENSBTAG00000013912	Ensembl
SeC	Metabolite	HMDB0003288	HMDB
EPT1	GeneProduct	ENSBTAG00000007837	Ensembl
TRNAU1AP	GeneProduct	ENSBTAG00000010393	Ensembl
NFE2L2	GeneProduct	ENSBTAG00000019255	Ensembl
Sep15	GeneProduct		
GPX2	GeneProduct	ENSBTAG00000048112	Ensembl
GPX4	GeneProduct	ENSBTAG00000046926	Ensembl
SeC	Metabolite	HMDB0003288	HMDB
GPX1	GeneProduct		
SepX1	GeneProduct		
CTH	GeneProduct	ENSBTAG00000014791	Ensembl
JUN	GeneProduct	ENSBTAG00000004037	Ensembl
SARS2	GeneProduct	ENSBTAG00000001780	Ensembl
SeMet	Metabolite	HMDB0003966	HMDB
Selenophosphate	Metabolite	HMDB0006407	HMDB
SEPHS2	GeneProduct	ENSBTAG00000010851	Ensembl
Selenate	Metabolite	24657	Chemspider
SEPHS2	GeneProduct	ENSBTAG00000010851	Ensembl
VIMP	GeneProduct	ENSBTAG00000000640	Ensembl
POU2F1	GeneProduct	ENSBTAG00000024534	Ensembl
SELT	GeneProduct	ENSBTAG00000031435	Ensembl
SCLY	GeneProduct	ENSBTAG00000017826	Ensembl
SelH	GeneProduct		
DIO3	GeneProduct	ENSBTAG00000037977	Ensembl
SEPP1	GeneProduct		
Hydrogen selenide	Metabolite	HMDB0011110	HMDB
UGA	GeneProduct		
RELA	GeneProduct	ENSBTAG00000013895	Ensembl
SEPW1	GeneProduct	ENSBTAG00000008203	Ensembl
SELK	GeneProduct	ENSBTAG00000032374	Ensembl
Selenate	Metabolite	24657	Chemspider
TXNRD2	GeneProduct	ENSBTAG00000043581	Ensembl
FOS	GeneProduct	ENSBTAG00000004322	Ensembl
DIO1	GeneProduct	ENSBTAG00000010814	Ensembl
GPX3	GeneProduct	ENSBTAG00000043553	Ensembl
CREM	GeneProduct	ENSBTAG00000016060	Ensembl
GPX6	GeneProduct	ENSBTAG00000012023	Ensembl
SEPHS1	GeneProduct	ENSBTAG00000008821	Ensembl
SARS	GeneProduct	ENSBTAG00000012962	Ensembl
EEFSEC	GeneProduct	ENSBTAG00000030962	Ensembl
SECISBP2	GeneProduct	ENSBTAG00000001939	Ensembl
MethylSelenol MeSeH	Metabolite	389633	Chemspider
SELV	GeneProduct	ENSBTAG00000010501	Ensembl
TXNRD1	GeneProduct	ENSBTAG00000013912	Ensembl
Selenite	Metabolite	HMDB0011119	HMDB
SELO	GeneProduct	ENSBTAG00000000647	Ensembl
TXNRD3	GeneProduct		
SP1	GeneProduct	ENSBTAG00000003021	Ensembl
RPL30	GeneProduct	ENSBTAG00000016278	Ensembl
SP3	GeneProduct	ENSBTAG00000000176	Ensembl
SEPSECS	GeneProduct	ENSBTAG00000014616	Ensembl
EEFSEC	GeneProduct	ENSBTAG00000030962	Ensembl
Selenite	Metabolite	HMDB0011119	HMDB
TXNRD2	GeneProduct	ENSBTAG00000043581	Ensembl
DIO2	GeneProduct	ENSBTAG00000001605	Ensembl
SeMet	Metabolite	HMDB0003966	HMDB
FABP1	GeneProduct	ENSBTAG00000018054	Ensembl
