Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
9(10)-EpODE	Metabolite	hmdb:HMDB10220	""					wikidata:Q27160313	chebi:88441	inchikey:JTEGNNHWOIJBJZ-ZJSQCTGTSA-N	pubchem.compound:16061060	chemspider:17220743	hmdb:HMDB0010220		lipidmaps:LMFA02000039
α-Linolenic acid	Metabolite	chebi:27432	""					wikidata:Q256502	chebi:27432	inchikey:DTOSIQBPPRVQHS-PDBXOOCHSA-N	pubchem.compound:5280934	chemspider:4444437	hmdb:HMDB0001388	kegg.compound:C06427	lipidmaps:LMFA01030152
15(16)-EpODE	Metabolite	hmdb:HMDB10206	""					wikidata:Q27160338	chebi:88460	inchikey:HKSDVVJONLXYKL-OHPMOLHNSA-N	pubchem.compound:16061062	chemspider:17220745	hmdb:HMDB0010206		lipidmaps:LMFA02000041
13-HOTrE	Metabolite	pubchem.compound:10469728	""					wikidata:Q27140039	chebi:72641	inchikey:KLLGGGQNRTVBSU-JDTPQGGVSA-N	pubchem.compound:10469728	chemspider:8645139	hmdb:HMDB0010203		lipidmaps:LMFA02000029
9-OxoOTrE	Metabolite	cas:125559-74-2	""					wikidata:Q104909087	chebi:142251	inchikey:ACHDMUPTZYZIGR-CUHSZNQNSA-N					lipidmaps:LMFA02000371
13-HpOTrE	Metabolite	chebi:145300	""					wikidata:Q106039060	chebi:145300	inchikey:UYQGVDXDXBAABN-JDTPQGGVSA-N	pubchem.compound:14057236				lipidmaps:LMFA02000110
9,10-DiHODE	Metabolite	hmdb:HMDB10221	""					wikidata:Q27160311	chebi:88440	inchikey:QRHSEDZBZMZPOA-ZJSQCTGTSA-N	pubchem.compound:16061066	chemspider:17220749	hmdb:HMDB0010221		lipidmaps:LMFA02000045
9-HOTrE	Metabolite	pubchem.compound:10447175	""					wikidata:Q27140028	chebi:72625	inchikey:RIGGEAZDTKMXSI-CUHSZNQNSA-N	pubchem.compound:10447175	chemspider:8622594			
12,13-DiHODE	Metabolite	hmdb:HMDB10201	""					wikidata:Q27160339	chebi:88461	inchikey:RGRKFKRAFZJQMS-OOHFSOINSA-N	pubchem.compound:16061067	chemspider:17220750	hmdb:HMDB0010201		lipidmaps:LMFA02000046
9(S)-HpOTrE	Metabolite	chebi:60961	""					wikidata:Q27130373	chebi:60961	inchikey:RWKJTIHNYSIIHW-MEBVTJQTSA-N	pubchem.compound:6450029	chemspider:4952680		kegg.compound:C16321	lipidmaps:LMFA02000018
cytochrome P450	Metabolite	chebi:38559	""					wikidata:Q407693	chebi:38559						
15,16-DiHODE	Metabolite	hmdb:HMDB10208	""					wikidata:Q27160343	chebi:88465	inchikey:LKLLJYJTYPVCID-OHPMOLHNSA-N	pubchem.compound:16061068	chemspider:17220751	hmdb:HMDB0010208		lipidmaps:LMFA02000047
12(13)-EpODE	Metabolite	pubchem.compound:16061061	""					wikidata:Q27160340	chebi:88462	inchikey:BKKGUKSHPCTUGE-OOHFSOINSA-N	pubchem.compound:16061061	chemspider:17220744	hmdb:HMDB0010200		lipidmaps:LMFA02000040
sEH	GeneProduct	ensembl:ENSG00000120915	""	ensembl:ENSG00000120915	ncbigene:2053	hgnc.symbol:EPHX2	uniprot:E5RFU2;uniprot:H0YAW7;uniprot:E5RFH6;uniprot:P34913;uniprot:E5RI53								
ALOX15	GeneProduct	ensembl:ENSG00000161905	""	ensembl:ENSG00000161905	ncbigene:246	hgnc.symbol:ALOX15	uniprot:P16050								
ALOX5	GeneProduct	ensembl:ENSG00000012779	""	ensembl:ENSG00000012779	ncbigene:240	hgnc.symbol:ALOX5	uniprot:P09917								
