Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
glucose 1-phosphate	Metabolite	hmdb:HMDB0001586	""						chebi:29042	inchikey:HXXFSFRBOHSIMQ-VFUOTHLCSA-N	pubchem.compound:65533	chemspider:58977	hmdb:HMDB0001586	kegg.compound:C00103	
ADP-glucose	Metabolite	hmdb:HMDB0006557	""						chebi:15751	inchikey:WFPZSXYXPSUOPY-ROYWQJLOSA-N	pubchem.compound:16500	chemspider:15642	hmdb:HMDB0006557	kegg.compound:C00498	
starch	Metabolite	kegg.compound:C00369	""					wikidata:Q41534	chebi:28017					kegg.compound:C00369	
glucose 6-phosphate	Metabolite	hmdb:HMDB0001401	""						chebi:4170	inchikey:NBSCHQHZLSJFNQ-GASJEMHNSA-N	pubchem.compound:5958	chemspider:5743	hmdb:HMDB0001401	kegg.compound:C00092	
Pi	Metabolite	chebi:18367	""					wikidata:Q177811	chebi:18367	inchikey:NBIIXXVUZAFLBC-UHFFFAOYSA-K	pubchem.compound:1061	chemspider:1032			
fructose 1,6-bisphosphate	Metabolite	hmdb:HMDB0001058	""						chebi:28013	inchikey:RNBGYGVWRKECFJ-ARQDHWQXSA-N	pubchem.compound:10267	chemspider:9848	hmdb:HMDB0001058	kegg.compound:C05378	
fructose 6-phosphate	Metabolite	hmdb:HMDB0000124	""						chebi:15946	inchikey:GSXOAOHZAIYLCY-HSUXUTPPSA-N	pubchem.compound:69507	chemspider:62713	hmdb:HMDB0000124	kegg.compound:C00085	
H₂O	Metabolite	hmdb:HMDB0002111	""						chebi:15377	inchikey:XLYOFNOQVPJJNP-UHFFFAOYSA-N	pubchem.compound:962	chemspider:937	hmdb:HMDB0002111	kegg.compound:C00001	
ATP	Metabolite	hmdb:HMDB0000538	""						chebi:15422	inchikey:ZKHQWZAMYRWXGA-KQYNXXCUSA-N	pubchem.compound:5957	chemspider:5742	hmdb:HMDB0000538	kegg.compound:C00002	
PPi	Metabolite	chebi:35782	""					wikidata:Q55506572	chebi:35782	inchikey:OTLZRRUHHNDQIU-UHFFFAOYSA-N	pubchem.compound:21159150	chemspider:20120165	hmdb:HMDB0039929		
ADP	Metabolite	kegg.compound:C00008	""					wikidata:Q185253	chebi:16761	inchikey:XTWYTFMLZFPYCI-KQYNXXCUSA-N	pubchem.compound:6022	chemspider:5800	hmdb:HMDB0001341	kegg.compound:C00008	
PHS1	Protein	ensembl:Os03g0758100	""												
PGI1	Protein	ensembl:Os09g0465600	""												
PGMP	Protein	ensembl:Os10g0189100	""												
FBP	Protein	ensembl:Os03g0267300	""												
SS1	Protein	ensembl:Os06g0160700	""												
SS2	Protein	ensembl:Os10g0437600	""												
SS3	Protein	ensembl:Os08g0191433	""												
APL2	Protein	ensembl:Os07g0243200	""												
APL3	Protein	ensembl:Os01g0633100	""												
ADG2	Protein	ensembl:Os03g0735000	""												
APS1	Protein	ensembl:Os09g0298200	""												
