Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
PP2C3	Protein	uniprot:P34221	""	ensembl:YBL056W	ncbigene:852224		uniprot:P34221			
SSK22	Protein	uniprot:P25390	""	ensembl:YCR073C	ncbigene:850436		uniprot:P25390			
SSK1	Protein	uniprot:Q07084	""	ensembl:YLR006C	ncbigene:850692		uniprot:Q07084			
YPD1	Protein	uniprot:Q07688	""	ensembl:YDL235C	ncbigene:851363		uniprot:Q07688			
CLA4	Protein	uniprot:P48562	""	ensembl:YNL298W	ncbigene:855418		uniprot:P48562			
HOG1	Protein	uniprot:P32485	""	ensembl:YLR113W	ncbigene:850803		uniprot:P32485			
SLN1	Protein	uniprot:P39928	""	ensembl:YIL147C	ncbigene:854659		uniprot:P39928			
SKO1	Protein	uniprot:Q02100	""	ensembl:YNL167C	ncbigene:855554		uniprot:Q02100			
MSN4	Protein	uniprot:P33749	""	ensembl:YKL062W	ncbigene:853803		uniprot:P33749			
PTC1	Protein	uniprot:P35182	""	ensembl:YDL006W	ncbigene:851558		uniprot:P35182			
PTP2	Protein	uniprot:P29461	""	ensembl:YOR208W	ncbigene:854383		uniprot:P29461			
HKR1	Protein	uniprot:P41809	""	ensembl:YDR420W	ncbigene:852030		uniprot:P41809			
STE50	Protein	uniprot:P25344	""	ensembl:YCL032W	ncbigene:850325		uniprot:P25344			
PBS2	Protein	uniprot:P08018	""	ensembl:YJL128C	ncbigene:853313		uniprot:P08018			
HOT1	Protein	uniprot:Q03213	""	ensembl:YMR172W	ncbigene:855208		uniprot:Q03213			
OPY2	Protein	uniprot:Q06810	""	ensembl:YPR075C	ncbigene:856191		uniprot:Q06810			
STE11	Protein	uniprot:P23561	""	ensembl:YLR362W	ncbigene:851076		uniprot:P23561			
SMP1	Protein	uniprot:P38128	""	ensembl:YBR182C	ncbigene:852480		uniprot:P38128			
CDC42	Protein	uniprot:P19073	""	ensembl:YLR229C	ncbigene:850930		uniprot:P19073			
STE20	Protein	uniprot:Q03497	""	ensembl:YHL007C	ncbigene:856382		uniprot:Q03497			
SSK2	Protein	uniprot:P53599	""	ensembl:YNR031C	ncbigene:855765		uniprot:P53599			
MSB2	Protein	uniprot:P32334	""	ensembl:YGR014W	ncbigene:852897		uniprot:P32334			
HOG1	Protein	uniprot:P32485	""	ensembl:YLR113W	ncbigene:850803		uniprot:P32485			
MSN2	Protein	uniprot:P33748	""	ensembl:YMR037C	ncbigene:855053		uniprot:P33748			
SHO1	Protein	uniprot:P40073	""	ensembl:YER118C	ncbigene:856854		uniprot:P40073			
