Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
5-HT	Metabolite	hmdb:HMDB0000259							chebi:28790;chebi:28790	inchikey:QZAYGJVTTNCVMB-UHFFFAOYSA-N
L-Tryptophan	Metabolite	hmdb:HMDB0000929							chebi:16828;chebi:16828	inchikey:QIVBCDIJIAJPQS-VIFPVBQESA-N
Nicotine	Metabolite	hmdb:HMDB0001934							chebi:17688;chebi:17688	inchikey:SNICXCGAKADSCV-JTQLQIEISA-N
Fluoxetine	Metabolite	cas:54910-89-3						wikidata:Q422244	chebi:86990;chebi:86990;chebi:5118;chebi:5118	inchikey:RTHCYVBBDHJXIQ-UHFFFAOYSA-N
5-HTP	Metabolite	hmdb:HMDB0000472							chebi:17780;chebi:17780	inchikey:LDCYZAJDBXYCGN-VIFPVBQESA-N
5-HIAA	Metabolite	hmdb:HMDB0000763							chebi:27823;chebi:27823	inchikey:DUUGKQCEGZLZNO-UHFFFAOYSA-N
5-HT	Metabolite	hmdb:HMDB0000259							chebi:28790;chebi:28790	inchikey:QZAYGJVTTNCVMB-UHFFFAOYSA-N
5-HT	Metabolite	hmdb:HMDB0000259							chebi:28790;chebi:28790	inchikey:QZAYGJVTTNCVMB-UHFFFAOYSA-N
GABA	Metabolite	hmdb:HMDB0000112							chebi:16865;chebi:16865	inchikey:BTCSSZJGUNDROE-UHFFFAOYSA-N
5-HT	Metabolite	hmdb:HMDB0000259							chebi:28790;chebi:28790	inchikey:QZAYGJVTTNCVMB-UHFFFAOYSA-N
Glutamate	Metabolite	hmdb:HMDB0004135							chebi:169453;chebi:169453	inchikey:LJVWRHJDEMCHNS-FDYHWXHSSA-N
Dopamine	Metabolite	cas:62-31-7						wikidata:Q27268491	chebi:18243;chebi:18243;chebi:4698;chebi:4698	inchikey:CTENFNNZBMHDDG-UHFFFAOYSA-N;inchikey:VYFYYTLLBUKUHU-UHFFFAOYSA-N
Phenylalanine	Metabolite	cas:63-91-2						wikidata:Q170545;wikidata:Q106345467	chebi:58095;chebi:17295;chebi:17295;chebi:58095	inchikey:COLNVLDHVKWLRT-QMMMGPOBSA-N
L-DOPA	Metabolite	cas:59-92-7						wikidata:Q106345614;wikidata:Q300989	chebi:15765;chebi:15765;chebi:57504;chebi:57504	inchikey:WTDRDQBEARUVNC-LURJTMIESA-N
Acetylcholine	Metabolite	cas:51-84-3						wikidata:Q180623	chebi:15355;chebi:15355	inchikey:OIPILFWXSMYKGL-UHFFFAOYSA-N
Choline	Metabolite	cas:62-49-7						wikidata:Q193166	chebi:15354;chebi:15354	inchikey:OEYIOHPDSNJKLS-UHFFFAOYSA-N
Tyrosine	Metabolite	cas:60-18-4						wikidata:Q188017;wikidata:Q106345477	chebi:17895;chebi:58315;chebi:58315;chebi:17895	inchikey:OUYCCCASQSFEME-QMMMGPOBSA-N
Glutamate	Metabolite	hmdb:HMDB0004135							chebi:169453;chebi:169453	inchikey:LJVWRHJDEMCHNS-FDYHWXHSSA-N
Glutamate	Metabolite	hmdb:HMDB0004135							chebi:169453;chebi:169453	inchikey:LJVWRHJDEMCHNS-FDYHWXHSSA-N
SCN5A	GeneProduct	ensembl:ENSBTAG00000009155	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6331	ensembl:ENSBTAG00000009155	ncbigene:282061		uniprot:A0A3Q1M243;uniprot:F1MHP0			
NK1R	GeneProduct	ensembl:ENSBTAG00000015575	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000115353	ensembl:ENSBTAG00000015575	ncbigene:407133		uniprot:F1MIX5			
ADCYAP1	GeneProduct	ensembl:ENSBTAG00000020650	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:116	ensembl:ENSBTAG00000020650	ncbigene:615187		uniprot:A4FV02			
ALDOA	GeneProduct	ensembl:ENSBTAG00000012927	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000149925	ensembl:ENSBTAG00000012927	ncbigene:509566		uniprot:A6QLL8;uniprot:A0A3Q1LMG1			
IL10	GeneProduct	ensembl:ENSBTAG00000006685	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3586	ensembl:ENSBTAG00000006685	ncbigene:281246		uniprot:A0A3Q1MVU8;uniprot:F1MCS4			
TPH1	GeneProduct	ensembl:ENSBTAG00000005343	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:7166	ensembl:ENSBTAG00000005343	ncbigene:781941		uniprot:F1N5Q8			
