Label	Type	ID	Database	
C1s	GeneProduct	192262	Entrez Gene
C1qb	GeneProduct	29687	Entrez Gene
C1r	GeneProduct	312705	Entrez Gene
C1qa	GeneProduct	298566	Entrez Gene
C1qc	GeneProduct	362634	Entrez Gene
C8a	GeneProduct	298288	Entrez Gene
MASP1	GeneProduct	64023	Entrez Gene
C2	GeneProduct	24231	Entrez Gene
C3	GeneProduct	24232	Entrez Gene
C9	GeneProduct	117512	Entrez Gene
H2O	Metabolite	HMDB0002111	HMDB
C8b	GeneProduct	313421	Entrez Gene
C6	GeneProduct	24237	Entrez Gene
C4B	GeneProduct	24233	Entrez Gene
Cd55	GeneProduct	64036	Entrez Gene
C4A	GeneProduct		
C7	GeneProduct	117517	Entrez Gene
C5	GeneProduct	362119	Entrez Gene
