Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Metabolite	Metabolite	pubchem.compound:10065052	""					wikidata:Q26998370		inchikey:KPXTUWFWKOJDLM-UHFFFAOYSA-N	pubchem.compound:10065052	chemspider:8240592			
5-hydroxydiclofenac	Metabolite	pubchem.compound:3052566	""					wikidata:Q27126805	chebi:59612	inchikey:VNQURRWYKFZKJZ-UHFFFAOYSA-N	pubchem.compound:3052566	chemspider:2314362	hmdb:HMDB0060542		
4'-hydroxydiclofenac	Metabolite	pubchem.compound:116545	""					wikidata:Q26690136	chebi:59613	inchikey:KGVXVPRLBMWZLG-UHFFFAOYSA-N	pubchem.compound:116545	chemspider:104192	hmdb:HMDB0013974		
3'-Hydroxydiclofenac	Metabolite	pubchem.compound:112230	""					wikidata:Q27225706	chebi:223792	inchikey:HYPJZSYXUWYJDG-UHFFFAOYSA-N	pubchem.compound:112230	chemspider:100604	hmdb:HMDB0013976		
diclofenac	Metabolite	pubchem.compound:3033	""					wikidata:Q244408	chebi:47381	inchikey:DCOPUUMXTXDBNB-UHFFFAOYSA-N	pubchem.compound:3033	chemspider:2925	hmdb:HMDB0014724	kegg.compound:C01690	
4',5-Dihydroxydiclofenac	Metabolite	pubchem.compound:3052567	""					wikidata:Q27225704	chebi:223401	inchikey:DRZFITWJHHNHAD-UHFFFAOYSA-N	pubchem.compound:3052567	chemspider:2314363			
CYP2B6	Protein	ensembl:ENSBTAG00000003871	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = S:P20813"	ensembl:ENSBTAG00000003871	ncbigene:504769		uniprot:A0A3Q1MU42;uniprot:F1MN98								
CYP2C8	Protein	ensembl:ENSBTAG00000020375	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = S:P10632"												
CYP2C18	Protein	ensembl:ENSBTAG00000020375	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = S:P33260"												
CYP2C19	Protein	ensembl:ENSBTAG00000020375	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = S:P33261"												
