Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
THRB	GeneProduct	ncbigene:470771		ensembl:ENSPTRG00000014697	ncbigene:470771		uniprot:A0A2I3SVN9;uniprot:A0A2I3SRM9;uniprot:A0A6D2Y4T7;uniprot:H2R3K3;uniprot:A0A2I3SF00;uniprot:A0A2I3S9V4;uniprot:A0A6D2WCL4			
THRB	GeneProduct	ncbigene:470771		ensembl:ENSPTRG00000014697	ncbigene:470771		uniprot:A0A2I3SVN9;uniprot:A0A2I3SRM9;uniprot:A0A6D2Y4T7;uniprot:H2R3K3;uniprot:A0A2I3SF00;uniprot:A0A2I3S9V4;uniprot:A0A6D2WCL4			
RARA	GeneProduct	ncbigene:454647		ensembl:ENSPTRG00000009120	ncbigene:454647		uniprot:A0A6D2W242;uniprot:A0A2I3TBJ9;uniprot:A0A2I3SMQ3;uniprot:A0A2I3T6B9;uniprot:A0A2I3T9U9;uniprot:A0A2J8KGL7;uniprot:A0A2I3RWF5;uniprot:A0A6D2W6F6;uniprot:H2R9N8;uniprot:A0A6D2XJ34			
RARB	GeneProduct	ncbigene:745516		ensembl:ENSPTRG00000014698	ncbigene:745516		uniprot:A0A2I3T0W6;uniprot:A0A6D2WVI8;uniprot:A0A2I3S902;uniprot:A0A6D2VXS2;uniprot:A0A2J8NPJ7			
RARG	GeneProduct	ncbigene:451935		ensembl:ENSPTRG00000005007	ncbigene:451935		uniprot:A0A6D2WNX9;uniprot:A0A6D2WRR4;uniprot:H2Q616;uniprot:K7CVN2;uniprot:A0A2I3T9P0;uniprot:A0A6D2W426;uniprot:A0A2I3T1N3			
RARG	GeneProduct	ncbigene:451935		ensembl:ENSPTRG00000005007	ncbigene:451935		uniprot:A0A6D2WNX9;uniprot:A0A6D2WRR4;uniprot:H2Q616;uniprot:K7CVN2;uniprot:A0A2I3T9P0;uniprot:A0A6D2W426;uniprot:A0A2I3T1N3			
PPARA	GeneProduct	ncbigene:458910		ensembl:ENSPTRG00000014505	ncbigene:458910		uniprot:H2QLW3			
PPARD	GeneProduct	ncbigene:463188		ensembl:ENSPTRG00000018082	ncbigene:463188		uniprot:A0A6D2WBY5;uniprot:A0A2I3T161;uniprot:H2R2N3;uniprot:A0A2I3T3C8;uniprot:K7CUN0;uniprot:A0A2I3TIT0			
PPARG	GeneProduct	ncbigene:460178		ensembl:ENSPTRG00000014632	ncbigene:460178		uniprot:A0A2I3SD74;uniprot:A0A2I3THP4;uniprot:A0A2I3S9E4;uniprot:H2R8F6;uniprot:A0A2I3SI31			
PPARG	GeneProduct	ncbigene:460178		ensembl:ENSPTRG00000014632	ncbigene:460178		uniprot:A0A2I3SD74;uniprot:A0A2I3THP4;uniprot:A0A2I3S9E4;uniprot:H2R8F6;uniprot:A0A2I3SI31			
