ID	Database	Citation
12620484	Pubmed	"Effect of female sex steroids on human endometrial CD16neg CD56bright natural killer cells. Kitaya K, Yasuda J, Nakayama T, Fushiki S, Honjo H. Fertil Steril. 2003 Mar;79 Suppl 1:730–4.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12620484"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12620484"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12620484"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15557169	Pubmed	"Recruitment of uterine NK cells: induction of CXC chemokine ligands 10 and 11 in human endometrium by estradiol and progesterone. Sentman CL, Meadows SK, Wira CR, Eriksson M. J Immunol. 2004 Dec 1;173(11):6760–6.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15557169"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15557169"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15557169"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16107277	Pubmed	"Trafficking of peripheral blood CD56(bright) cells to the decidualizing uterus--new tricks for old dogmas? van den Heuvel M, Peralta C, Bashar S, Taylor S, Horrocks J, Croy BA. J Reprod Immunol. 2005 Oct;67(1–2):21–34.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16107277"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16107277"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16107277"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16136782	Pubmed	"Trafficking of circulating pro-NK cells to the decidualizing uterus: regulatory mechanisms in the mouse and human. van den Heuvel MJ, Chantakru S, Xuemei X, Evans SS, Tekpetey F, Mote PA, et al. Immunol Invest. 2005;34(3):273–93.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16136782"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16136782"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16136782"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
18396783	Pubmed	"Osteopontin expression in human decidua is associated with decidual natural killer cells recruitment and regulated by progesterone. Qu X, Yang M, Zhang W, Liang L, Yang Y, Zhang Y, et al. In Vivo. 2008;22(1):55–61.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/18396783"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/18396783"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/18396783"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
22380541	Pubmed	"Glucocorticoid receptor mediates the effect of progesterone on uterine natural killer cells. Guo W, Li P, Zhao G, Fan H, Hu Y, Hou Y. Am J Reprod Immunol. 2012 Jun;67(6):463–73.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22380541"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/22380541"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/22380541"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
25820695	Pubmed	"Estrogen-dependent regulation of human uterine natural killer cells promotes vascular remodelling via secretion of CCL2. Gibson DA, Greaves E, Critchley HOD, Saunders PTK. Hum Reprod. 2015 Jun;30(6):1290–301.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/25820695"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/25820695"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/25820695"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
25870595	Pubmed	"HLA-G Orchestrates the Early Interaction of Human Trophoblasts with the Maternal Niche. Gregori S, Amodio G, Quattrone F, Panina-Bordignon P. Front Immunol. 2015 Mar 30;6:128.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/25870595"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/25870595"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/25870595"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
28874155	Pubmed	"The regulation of ovary and conceptus on the uterine natural killer cells during early pregnancy. Gong H, Chen Y, Xu J, Xie X, Yu D, Yang B, et al. Reprod Biol Endocrinol. 2017 Sep 6;15(1):73.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/28874155"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/28874155"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/28874155"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
30619262	Pubmed	"The Role of Extracellular Vesicles and PIBF in Embryo-Maternal Immune-Interactions. Szekeres-Bartho J, Šućurović S, Mulac-Jeričević B. Front Immunol. 2018 Dec 13;9:2890.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/30619262"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/30619262"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/30619262"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
