Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
MMP2	GeneProduct	ncbigene:454094		ensembl:ENSPTRG00000008123	ncbigene:454094		uniprot:A0A6D2W0F6;uniprot:H2QB41;uniprot:A0A2I3TEQ9;uniprot:A0A6D2XYB6			
MMP9	GeneProduct	ncbigene:458294		ensembl:ENSPTRG00000013577	ncbigene:458294		uniprot:A0A6D2YA72;uniprot:H2QKI0			
MMP7	GeneProduct	ncbigene:451509		ensembl:ENSPTRG00000004215	ncbigene:451509		uniprot:H2Q4M7;uniprot:A0A6D2X3H0			
MMP12	GeneProduct	ncbigene:451512		ensembl:ENSPTRG00000048755	ncbigene:451512	hgnc.symbol:MMP12	uniprot:A0A2I3TQN8			
MMP20	GeneProduct	ncbigene:740407		ensembl:ENSPTRG00000004216	ncbigene:740407		uniprot:H2Q4M8;uniprot:A0A6D2XRD7			
MMP10	GeneProduct	ncbigene:740658		ensembl:ENSPTRG00000004219	ncbigene:740658		uniprot:A0A2I3TRE2;uniprot:A0A6D2VUI6;uniprot:H2Q4N1;uniprot:A0A2I3RNA4			
MMP3	GeneProduct	ncbigene:451511		ensembl:ENSPTRG00000004220	ncbigene:451511		uniprot:H2Q4N2;uniprot:A0A6D2XRZ0			
MMP11	GeneProduct	ncbigene:458701		ensembl:ENSPTRG00000014153	ncbigene:458701		uniprot:A0A6D2XVT4;uniprot:A0A2I3RLP0;uniprot:A0A2I3SK57;uniprot:H2QLC9			
MMP19	GeneProduct	ncbigene:746523		ensembl:ENSPTRG00000005066	ncbigene:746523		uniprot:A0A2I3TAS2;uniprot:A0A6D2XRB4;uniprot:A0A6D2WQ34;uniprot:H2Q667			
MMP14	GeneProduct	ncbigene:742887		ensembl:ENSPTRG00000006148	ncbigene:742887		uniprot:A0A6D2YC78;uniprot:H2Q7Z4			
MMP15	GeneProduct	ncbigene:467988		ensembl:ENSPTRG00000008173	ncbigene:467988		uniprot:H2QB81;uniprot:A0A6D2XPW3			
MMP16	GeneProduct	ncbigene:736322		ensembl:ENSPTRG00000020403	ncbigene:736322		uniprot:A0A2I3SEA5;uniprot:H2QWE3			
MMP17	GeneProduct	ncbigene:452375		ensembl:ENSPTRG00000005641	ncbigene:452375		uniprot:A0A6D2W5I3;uniprot:H2Q777			
MMP24	GeneProduct	ncbigene:469925		ensembl:ENSPTRG00000013434	ncbigene:469925		uniprot:H2QK91;uniprot:A0A6D2X7D9			
TIMP3	GeneProduct	ncbigene:458784		ensembl:ENSPTRG00000014292	ncbigene:458784		uniprot:H2QLJ7;uniprot:A0A6D2WU49			
TIMP4	GeneProduct	ncbigene:460176		ensembl:ENSPTRG00000014630	ncbigene:460176		uniprot:A0A6D2YCD0;uniprot:H2QM27			
TNF	GeneProduct	ncbigene:744399								
MMP26	GeneProduct	ncbigene:450977		ensembl:ENSPTRG00000003232	ncbigene:450977		uniprot:H2Q2Z0			
MMP27	GeneProduct	ncbigene:466763		ensembl:ENSPTRG00000004217	ncbigene:466763		uniprot:A0A6D2Y9T5;uniprot:H2Q4M9			
TCF20	GeneProduct	ncbigene:458876		ensembl:ENSPTRG00000014452	ncbigene:458876		uniprot:A0A6D2W3H5;uniprot:K7BJF8;uniprot:A0A6D2XFJ3;uniprot:A0A2I3T5J0;uniprot:K6ZRV1;uniprot:H2QLT9			
MMP1	GeneProduct	ncbigene:451510		ensembl:ENSPTRG00000023318	ncbigene:451510		uniprot:A0A6D2Y5U2;uniprot:H2Q4N3			
MMP8	GeneProduct	ncbigene:740516		ensembl:ENSPTRG00000004218	ncbigene:740516		uniprot:A0A2I3RMN0;uniprot:A0A6D2Y7H8;uniprot:H2Q4N0			
MMP13	GeneProduct	ncbigene:451513		ensembl:ENSPTRG00000004222	ncbigene:451513		uniprot:A0A2I3SHB6;uniprot:H2Q4N4;uniprot:A0A6D2Y599;uniprot:A0A2I3RK76;uniprot:A0A6D2Y9U5			
MMP23B	GeneProduct	ncbigene:746857		ensembl:ENSPTRG00000000035	ncbigene:746857		uniprot:H2PXU2;uniprot:A0A5S6R720			
