Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
α-ketoglutarate	Metabolite	chebi:16810	""					wikidata:Q27102088	chebi:16810	inchikey:KPGXRSRHYNQIFN-UHFFFAOYSA-L	pubchem.compound:164533	chemspider:144236		kegg.compound:C00026	
Na+	Metabolite	chebi:29101	""					wikidata:Q3154110	chebi:29101	inchikey:FKNQFGJONOIPTF-UHFFFAOYSA-N	pubchem.compound:923	chemspider:899	hmdb:HMDB0000588	kegg.compound:C01330	
Cl-	Metabolite	chebi:17996	""					wikidata:Q108200	chebi:17996	inchikey:VEXZGXHMUGYJMC-UHFFFAOYSA-M	pubchem.compound:312	chemspider:4514529;chemspider:306	hmdb:HMDB0000492	kegg.compound:C00698	
glutamate	Metabolite	chebi:14321	""					wikidata:Q27108980	chebi:14321	inchikey:WHUUTDBJXJRKMK-UHFFFAOYSA-M	pubchem.compound:4452358;pubchem.compound:4179667;pubchem.compound:4525487	chemspider:3390755			
GABA	Metabolite	chebi:16865	""					wikidata:Q106345483;wikidata:Q210021	chebi:16865;chebi:59888	inchikey:BTCSSZJGUNDROE-UHFFFAOYSA-N	pubchem.compound:6992099;pubchem.compound:119	chemspider:116	hmdb:HMDB0000112	kegg.compound:C00334	lipidmaps:LMFA01100039
Succinic semialdehyde	Metabolite	chebi:16265	""					wikidata:Q4602542	chebi:16265	inchikey:UIUJIQZEACWQSV-UHFFFAOYSA-N	pubchem.compound:1112	chemspider:1080	hmdb:HMDB0001259	kegg.compound:C00232	lipidmaps:LMFA06000118
succinate	Metabolite	chebi:30031	""					wikidata:Q27104100	chebi:30031	inchikey:KDYFGRWQOYBRFD-UHFFFAOYSA-L	pubchem.compound:160419	chemspider:140973			
[11C]K-2	Metabolite	inchikey:DUUIMJHPKHJBPZ-BJUDXGSMSA-N	""												
glutamine	Metabolite	chebi:28300	""					wikidata:Q27103623	chebi:28300	inchikey:RSOHUXCZIQMEMQ-JLHYYAGUSA-N;inchikey:ZDXPYRJPNDTMRX-UHFFFAOYSA-N	pubchem.compound:738;pubchem.compound:25244553	chemspider:718	hmdb:HMDB0030886	kegg.compound:C00303	
K+	Metabolite	chebi:29103	""					wikidata:Q15901933	chebi:29103	inchikey:NPYPAHLBTDXSSS-UHFFFAOYSA-N	pubchem.compound:813	chemspider:791	hmdb:HMDB0000586	kegg.compound:C00238	
ATP	Metabolite	chebi:30616	""					wikidata:Q27113900	chebi:30616	inchikey:ZKHQWZAMYRWXGA-KQYNXXCUSA-J	pubchem.compound:5461108	chemspider:4574455			
NO	Metabolite	chebi:16480	""					wikidata:Q207843	chebi:16480	inchikey:MWUXSHHQAYIFBG-UHFFFAOYSA-N	pubchem.compound:145068	chemspider:127983	hmdb:HMDB0003378	kegg.compound:C00533	
UBP310	Metabolite	chembl.compound:CHEMBL373428	""					wikidata:Q12127712		inchikey:ZTAZUCRXCRXNSU-VIFPVBQESA-N	pubchem.compound:6420160	chemspider:4925719			
cystine	Metabolite	chebi:17376	""					wikidata:Q27102343	chebi:35492;chebi:17376	inchikey:LEVWYRKDKASIDU-UHFFFAOYSA-N	pubchem.compound:595;pubchem.compound:24798687	chemspider:575	hmdb:HMDB0250712	kegg.compound:C01420	
Ca2+	Metabolite	chebi:29108	""					wikidata:Q23905776	chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N	pubchem.compound:271	chemspider:266	hmdb:HMDB0000464	kegg.compound:C00076	
