Label	Type	ID	Database	
F12	GeneProduct	306761	Entrez Gene
F11	GeneProduct	290757	Entrez Gene
F9	GeneProduct	24946	Entrez Gene
F10	GeneProduct	29243	Entrez Gene
F10	GeneProduct	29243	Entrez Gene
Vwf	GeneProduct	116669	Entrez Gene
F5	GeneProduct	304929	Entrez Gene
F7	GeneProduct	260320	Entrez Gene
F2	GeneProduct	29251	Entrez Gene
F13b	GeneProduct	289055	Entrez Gene
Serpinf2	GeneProduct	287527	Entrez Gene
Plau	GeneProduct	25619	Entrez Gene
Plat	GeneProduct	25692	Entrez Gene
Serpinb2	GeneProduct	60325	Entrez Gene
Serpine1	GeneProduct	24617	Entrez Gene
Plg	GeneProduct	85253	Entrez Gene
Fgb	GeneProduct	24366	Entrez Gene
Fga	GeneProduct	361969	Entrez Gene
Fgg	GeneProduct	24367	Entrez Gene
F8	GeneProduct	302470	Entrez Gene
F8A1	GeneProduct	501661	Entrez Gene
Prothrombinase Complex	GeneProduct		
Fibrin	Metabolite		
