ID	Database	Citation
9512493	Pubmed	"Walker KS, Deak M, Paterson A, Hudson K, Cohen P, Alessi DR. Activation of protein kinase B beta and gamma isoforms by insulin in vivo and by 3-phosphoinositide-dependent protein kinase-1 in vitro: comparison with protein kinase B alpha. Biochem J. 1998 Apr 1;331 ( Pt 1)(Pt 1):299–308.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9512493"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9512493"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9512493"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9838078	Pubmed	"Wymann MP, Pirola L. Structure and function of phosphoinositide 3-kinases. Biochim Biophys Acta. 1998 Dec 8;1436(1–2):127–50.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9838078"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9838078"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9838078"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11357143	Pubmed	"Blume-Jensen P, Hunter T. Oncogenic kinase signalling. Nature. 2001 May 17;411(6835):355–65.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11357143"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11357143"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11357143"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12048182	Pubmed	"Moelling K, Schad K, Bosse M, Zimmermann S, Schweneker M. Regulation of Raf-Akt Cross-talk. J Biol Chem. 2002 Aug 23;277(34):31099–106.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12048182"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12048182"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12048182"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12531180	Pubmed	"West KA, Castillo SS, Dennis PA. Activation of the PI3K/Akt pathway and chemotherapeutic resistance. Drug Resist Updat. 2002 Dec;5(6):234–48.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12531180"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12531180"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12531180"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12660731	Pubmed	"Koyasu S. The role of PI3K in immune cells. Nat Immunol. 2003 Apr;4(4):313–9.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12660731"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12660731"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12660731"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12669022	Pubmed	"Okkenhaug K, Vanhaesebroeck B. PI3K in lymphocyte development, differentiation and activation. Nat Rev Immunol. 2003 Apr;3(4):317–30.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12669022"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12669022"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12669022"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15209374	Pubmed	"Richardson CJ, Schalm SS, Blenis J. PI3-kinase and TOR: PIKTORing cell growth. Semin Cell Dev Biol. 2004 Apr;15(2):147–59.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15209374"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15209374"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15209374"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15505410	Pubmed	"Osaki M, Oshimura M, Ito H. PI3K-Akt pathway: its functions and alterations in human cancer. Apoptosis. 2004 Nov;9(6):667–76.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15505410"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15505410"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15505410"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15784165	Pubmed	"Song G, Ouyang G, Bao S. The activation of Akt/PKB signaling pathway and cell survival. J Cell Mol Med. 2005;9(1):59–71.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15784165"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15784165"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15784165"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16187290	Pubmed	"Kikani CK, Dong LQ, Liu F. “New”-clear functions of PDK1: beyond a master kinase in the cytosol? J Cell Biochem. 2005 Dec 15;96(6):1157–62.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16187290"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16187290"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16187290"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16248975	Pubmed	"Kim D, Chung J. Akt: versatile mediator of cell survival and beyond. J Biochem Mol Biol. 2002 Jan 31;35(1):106–15.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16248975"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16248975"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16248975"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16847462	Pubmed	"Engelman JA, Luo J, Cantley LC. The evolution of phosphatidylinositol 3-kinases as regulators of growth and metabolism. Nat Rev Genet. 2006 Aug;7(8):606–19.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16847462"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16847462"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16847462"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
17360849	Pubmed	"Noguchi M, Ropars V, Roumestand C, Suizu F. Proto-oncogene TCL1: more than just a coactivator for Akt. FASEB J. 2007 Aug;21(10):2273–84.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17360849"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/17360849"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/17360849"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
18842113	Pubmed	"Duronio V. The life of a cell: apoptosis regulation by the PI3K/PKB pathway. Biochem J. 2008 Nov 1;415(3):333–44.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/18842113"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/18842113"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/18842113"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
20602996	Pubmed	"Lemmon MA, Schlessinger J. Cell signaling by receptor tyrosine kinases. Cell. 2010 Jun 25;141(7):1117–34.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/20602996"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/20602996"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/20602996"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
21440011	Pubmed	"Zhang X, Tang N, Hadden TJ, Rishi AK. Akt, FoxO and regulation of apoptosis. Biochim Biophys Acta. 2011 Nov;1813(11):1978–86.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21440011"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/21440011"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/21440011"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
21620960	Pubmed	"Hers I, Vincent EE, Tavaré JM. Akt signalling in health and disease. Cell Signal. 2011 Oct;23(10):1515–27.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21620960"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/21620960"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/21620960"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
