Label	Type	ID	Database	
LPL	GeneProduct		Entrez Gene
CG7995	GeneProduct	38221	Entrez Gene
Gyk	GeneProduct	43913	Entrez Gene
l(2)k05713	GeneProduct	47611	Entrez Gene
Tpi	GeneProduct	43582	Entrez Gene
CG3961	GeneProduct	40056	Entrez Gene
l(2)44DEa	GeneProduct	46068	Entrez Gene
ACSL4	GeneProduct		Entrez Gene
ACSL5	GeneProduct		Entrez Gene
ACSL6	GeneProduct		Entrez Gene
CG1041	GeneProduct	40787	Entrez Gene
CPTI	GeneProduct	36109	Entrez Gene
CHKB	GeneProduct		Entrez Gene
CG2107	GeneProduct	38355	Entrez Gene
colt	GeneProduct	33470	Entrez Gene
CPT1B	GeneProduct		Entrez Gene
CG7461	GeneProduct	37217	Entrez Gene
CG4389	GeneProduct	34276	Entrez Gene
Thiolase	GeneProduct	37784	Entrez Gene
ACADL	GeneProduct		Entrez Gene
CG6543	GeneProduct	36536	Entrez Gene
HADHSC	GeneProduct		Entrez Gene
CG12262	GeneProduct	38864	Entrez Gene
CG6543	GeneProduct	36536	Entrez Gene
CG4389	GeneProduct	34276	Entrez Gene
HADHSC	GeneProduct		Entrez Gene
Thiolase	GeneProduct	37784	Entrez Gene
Arc42	GeneProduct	42364	Entrez Gene
CG6543	GeneProduct	36536	Entrez Gene
Arc42	GeneProduct	42364	Entrez Gene
HADHSC	GeneProduct		Entrez Gene
CG10932	GeneProduct	31695	Entrez Gene
CG4389	GeneProduct	34276	Entrez Gene
Thiolase	GeneProduct	37784	Entrez Gene
CG7430	GeneProduct	39988	Entrez Gene
CG9547	GeneProduct	33911	Entrez Gene
LIPC	GeneProduct		Entrez Gene
CG11055	GeneProduct	37289	Entrez Gene
CG31871	GeneProduct	34463	Entrez Gene
CG5295	GeneProduct	39611	Entrez Gene
AcCoAS	GeneProduct	40348	Entrez Gene
