Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Glucose	Metabolite	hmdb:HMDB0000122	""						chebi:15903	inchikey:WQZGKKKJIJFFOK-VFUOTHLCSA-N	pubchem.compound:64689	chemspider:58238	hmdb:HMDB0000122	kegg.compound:C00221	
Oxaloacetate	Metabolite	hmdb:HMDB0000223	""						chebi:30744	inchikey:KHPXUQMNIQBQEV-UHFFFAOYSA-N	pubchem.compound:970	chemspider:945	hmdb:HMDB0000223	kegg.compound:C00036	
Glyceraldehyde 3P	Metabolite	hmdb:HMDB0001112	""						chebi:29052	inchikey:LXJXRIRHZLFYRP-VKHMYHEASA-N	pubchem.compound:439168	chemspider:388314	hmdb:HMDB0001112	kegg.compound:C00118	
Pyruvate	Metabolite	hmdb:HMDB0000243	""						chebi:32816	inchikey:LCTONWCANYUPML-UHFFFAOYSA-N	pubchem.compound:1060		hmdb:HMDB0000243	kegg.compound:C00022	
1,3BP-Glycerate	Metabolite	hmdb:HMDB0001270	""						chebi:16001	inchikey:LJQLQCAXBUHEAZ-UWTATZPHSA-N	pubchem.compound:439191		hmdb:HMDB0001270	kegg.compound:C00236	
Lactate	Metabolite	hmdb:HMDB0000190	""						chebi:422	inchikey:JVTAAEKCZFNVCJ-REOHCLBHSA-N	pubchem.compound:107689	chemspider:96860	hmdb:HMDB0000190	kegg.compound:C00186	
P-enolpyruvate	Metabolite	hmdb:HMDB0000263	""						chebi:44897	inchikey:DTBNBXWJWCWCIK-UHFFFAOYSA-N	pubchem.compound:1005	chemspider:980	hmdb:HMDB0000263	kegg.compound:C00074	
Fructose 6P	Metabolite	chebi:61527	""					wikidata:Q27131127	chebi:61527	inchikey:BGWGXPAPYGQALX-VRPWFDPXSA-L	pubchem.compound:23421195	chemspider:10463779			
Fructose-1,6BP	Metabolite	hmdb:HMDB0001058	""						chebi:28013	inchikey:RNBGYGVWRKECFJ-ARQDHWQXSA-N	pubchem.compound:10267	chemspider:9848	hmdb:HMDB0001058	kegg.compound:C05378	
Malate	Metabolite	hmdb:HMDB0000744	""												
Acetyl-CoA	Metabolite	hmdb:HMDB0001206	""						chebi:15351	inchikey:ZSLZBFCDCINBPY-ZSJPKINUSA-N	pubchem.compound:444493	chemspider:392413	hmdb:HMDB0001206	kegg.compound:C00024	
Aspartate	Metabolite	hmdb:HMDB0000191	""						chebi:17053	inchikey:CKLJMWTZIZZHCS-REOHCLBHSA-N	pubchem.compound:5960	chemspider:5745	hmdb:HMDB0000191	kegg.compound:C00049	
3P-Glycerate	Metabolite	hmdb:HMDB0000807	""						chebi:17050	inchikey:OSJPPGNTCRNQQC-UHFFFAOYSA-N	pubchem.compound:724	chemspider:704	hmdb:HMDB0000807	kegg.compound:C00597	
2P-Glycerate	Metabolite	hmdb:HMDB0000362	""						chebi:24344	inchikey:GXIURPTVHJPJLF-UHFFFAOYSA-N	pubchem.compound:59		hmdb:HMDB0000362		
Glucose-6P	Metabolite	chebi:75052	"Glucose-6-Phosphate (2-)"					wikidata:Q27145091	chebi:75052	inchikey:XTCSSQUVVLDALS-KCLVSGOISA-L	pubchem.compound:71668263	chemspider:29368475			
Dihydroxyacetone-P	Metabolite	hmdb:HMDB0001473	""						chebi:16108	inchikey:GNGACRATGGDKBX-UHFFFAOYSA-N	pubchem.compound:668	chemspider:648	hmdb:HMDB0001473	kegg.compound:C00111	
Glucose-6P (open)	Metabolite	chebi:57584	"D-Glucose-6-Phosphate (2-) open form"					wikidata:Q27124797	chebi:57584	inchikey:VFRROHXSMXFLSN-SLPGGIOYSA-L	pubchem.compound:23616120	chemspider:19952394			
Fructose 6P (open)	Metabolite	chebi:57579	"fructose-6-phosphate (2-) open form"					wikidata:Q27124793	chebi:57579	inchikey:GSXOAOHZAIYLCY-HSUXUTPPSA-L	pubchem.compound:21114947	chemspider:19969987			
PKM	GeneProduct	:MSTRG.21962.8	""												
MDH2	GeneProduct	:KWMTBOMO07474	""												
TPI1	GeneProduct	:KWMTBOMO00254	""												
PCK1	GeneProduct	:KWMTBOMO12094	""												
PKM	GeneProduct	:KWMTBOMO05295	""												
SLC2A4	GeneProduct	:KWMTBOMO05453	""												
MDH1	GeneProduct	:KWMTBOMO06813	""												
GAPDH	GeneProduct	:KWMTBOMO01182	""												
SLC2A1	GeneProduct	:KWMTBOMO03606	""												
LDHB	GeneProduct	:MSTRG.1201.1	""												
ENO1	GeneProduct	:MSTRG.21050.1	""												
PGAM1	GeneProduct	:MSTRG.7408.1	""												
PFKM	GeneProduct	:KWMTBOMO12141	""												
LDH	GeneProduct	:KWMTBOMO00545	""												
ENO1	GeneProduct	:MSTRG.21050.2	""												
DLAT	GeneProduct	:KWMTBOMO01380	""												
SLC2A2	GeneProduct	:MSTRG.15904.1	""												
PFKP	GeneProduct	:MSTRG.18633.12	""												
PGK	GeneProduct	:KWMTBOMO08760	""												
MPC1	GeneProduct	:KWMTBOMO03662	""												
G6PC	GeneProduct	:KWMTBOMO00773	"Not present in brain and muscle, so those organs can not produce their own glucose in the gluconeogenesis pathway"												
PDHA1	GeneProduct	:KWMTBOMO08241	""												
ALDO	GeneProduct	:KWMTBOMO09553	""												
ENO	GeneProduct	:KWMTBOMO04605	""												
GCK	GeneProduct	:MSTRG.12764.1	"Gck is mainly active in liver"												
PC	GeneProduct	:KWMTBOMO10816	""												
PFK	GeneProduct	:KWMTBOMO02749	""												
SLC2A5	GeneProduct	:KWMTBOMO11790	""												
FBP	GeneProduct	:KWMTBOMO12672	""												
GCK	GeneProduct	:KWMTBOMO16034	""												
PGAM	GeneProduct	:KWMTBOMO09934	""												
GOT2	GeneProduct	:KWMTBOMO02223	""												
PKLR	GeneProduct	:MSTRG.21540.1	""												
ALDOA	GeneProduct	:KWMTBOMO09555	""												
GCK	GeneProduct	:KWMTBOMO16620	""												
SLC2A3	GeneProduct	:MSTRG.15867.2	""												
MPC2	GeneProduct	:MSTRG.20291.1	""												
HK	GeneProduct	:KWMTBOMO13777	""												
GOT1	GeneProduct	:KWMTBOMO09274	""												
DLD	GeneProduct	:KWMTBOMO13041	""												
PGI	GeneProduct	eccode:5.3.1.9	"phosphoglucose isomerase (PGI)"												
GPI	GeneProduct	:KWMTBOMO12177	"glucose-6-phosphate isomerase"												
GCK	GeneProduct	:MSTRG.12764.2	"Gck is mainly active in liver"												
GCK	GeneProduct	:MSTRG.12764.3	"Gck is mainly active in liver"												
GCK	GeneProduct	:MSTRG.171.1	"Gck is mainly active in liver"												
GCK	GeneProduct	:MSTRG.171.2	"Gck is mainly active in liver"												
SLC2A1	GeneProduct	:KWMTBOMO06067	""												
SLC2A1	GeneProduct	:KWMTBOMO06183	""												
SLC2A1	GeneProduct	:KWMTBOMO10207	""												
SLC2A1	GeneProduct	:KWMTBOMO16111	""												
SLC2A1	GeneProduct	:KWMTBOMO16139	""												
SLC2A1	GeneProduct	:KWMTBOMO16141	""												
SLC2A1	GeneProduct	:KWMTBOMO16142	""												
SLC2A1	GeneProduct	:KWMTBOMO16144	""												
SLC2A1	GeneProduct	:MSTRG.10236.2	""												
SLC2A1	GeneProduct	:MSTRG.15870.6	""												
SLC2A1	GeneProduct	:MSTRG.15876.8	""												
SLC2A1	GeneProduct	:MSTRG.15876.9	""												
SLC2A1	GeneProduct	:MSTRG.15904.2	""												
SLC2A1	GeneProduct	:MSTRG.15904.3	""												
SLC2A1	GeneProduct	:MSTRG.15904.4	""												
SLC2A1	GeneProduct	:MSTRG.15904.5	""												
SLC2A1	GeneProduct	:MSTRG.15904.7	""												
SLC2A1	GeneProduct	:MSTRG.16542.1	""												
SLC2A1	GeneProduct	:MSTRG.19769.1	""												
SLC2A1	GeneProduct	:MSTRG.19769.2	""												
SLC2A1	GeneProduct	:MSTRG.19769.3	""												
SLC2A1	GeneProduct	:MSTRG.19769.4	""												
SLC2A1	GeneProduct	:MSTRG.19769.5	""												
SLC2A1	GeneProduct	:MSTRG.19769.6	""												
SLC2A1	GeneProduct	:MSTRG.20530.2	""												
SLC2A1	GeneProduct	:MSTRG.2431.1	""												
SLC2A1	GeneProduct	:MSTRG.2431.2	""												
SLC2A1	GeneProduct	:MSTRG.7452.1	""												
SLC2A1	GeneProduct	:MSTRG.7785.1	""												
SLC2A1	GeneProduct	:MSTRG.7785.2	""												
SLC2A1	GeneProduct	:MSTRG.7785.3	""												
SLC2A1	GeneProduct	:MSTRG.7785.4	""												
SLC2A1	GeneProduct	:MSTRG.7785.5	""												
SLC2A1	GeneProduct	:MSTRG.7785.6	""												
SLC2A1	GeneProduct	:MSTRG.7785.8	""												
SLC2A1	GeneProduct	:MSTRG.7785.9	""												
SLC2A3	GeneProduct	:MSTRG.15870.1	""												
SLC2A3	GeneProduct	:MSTRG.15876.10	""												
SLC2A3	GeneProduct	:MSTRG.2249.1	""												
SLC2A4	GeneProduct	:MSTRG.1455.2	""												
SLC2A5	GeneProduct	:KWMTBOMO16114	""												
SLC2A5	GeneProduct	:MSTRG.10171.1	""												
SLC2A5	GeneProduct	:MSTRG.10258.1	""												
SLC2A5	GeneProduct	:MSTRG.7451.1	""												
SLC2A5	GeneProduct	:MSTRG.9642.2	""												
SLC2A5	GeneProduct	:MSTRG.9642.3	""												
GPI	GeneProduct	:MSTRG.1232.2	"glucose-6-phosphate isomerase"												
PFKM	GeneProduct	:MSTRG.18633.1	""												
PFKM	GeneProduct	:MSTRG.18633.10	""												
PFKP	GeneProduct	:MSTRG.18633.13	""												
PFKP	GeneProduct	:MSTRG.18633.14	""												
PFKP	GeneProduct	:MSTRG.18633.2	""												
PFKP	GeneProduct	:MSTRG.18633.3	""												
PFKP	GeneProduct	:MSTRG.18633.4	""												
PFKP	GeneProduct	:MSTRG.18633.5	""												
PFKP	GeneProduct	:MSTRG.18633.6	""												
PFKP	GeneProduct	:MSTRG.18633.7	""												
PFKP	GeneProduct	:MSTRG.18633.8	""												
PFKP	GeneProduct	:MSTRG.18633.9	""												
ALDOA	GeneProduct	:MSTRG.6972.1	""												
ALDOA	GeneProduct	:MSTRG.6972.3	""												
ALDOA	GeneProduct	:MSTRG.6973.1	""												
ALDOA	GeneProduct	:MSTRG.6973.2	""												
ALDOA	GeneProduct	:MSTRG.6973.3	""												
GAPDH	GeneProduct	:MSTRG.16592.4	""												
ENO1	GeneProduct	:MSTRG.21050.4	""												
LDHB	GeneProduct	:MSTRG.1201.2	""												
LDHB	GeneProduct	:MSTRG.1201.3	""												
LDHB	GeneProduct	:MSTRG.1201.4	""												
LDHB	GeneProduct	:MSTRG.1201.6	""												
GOT1	GeneProduct	:MSTRG.6599.1	""												
GOT1	GeneProduct	:MSTRG.6599.2	""												
GOT1	GeneProduct	:MSTRG.6599.3	""												
GOT1	GeneProduct	:MSTRG.6599.5	""												
GOT1	GeneProduct	:MSTRG.6599.6	""												
GOT1	GeneProduct	:MSTRG.6599.7	""												
MDH1	GeneProduct	:KWMTBOMO07103	""												
MDH1	GeneProduct	:MSTRG.19492.1	""												
MDH1	GeneProduct	:MSTRG.19492.2	""												
MDH1	GeneProduct	:MSTRG.3623.1	""												
MPC1	GeneProduct	:KWMTBOMO16475	""												
MPC1	GeneProduct	:MSTRG.10614.1	""												
MPC1	GeneProduct	:MSTRG.19839.2	""												
MPC1	GeneProduct	:MSTRG.8.1	""												
MPC1	GeneProduct	:MSTRG.8.2	""												
MPC2	GeneProduct	:MSTRG.20291.3	""												
PC	GeneProduct	:MSTRG.8565.1	""												
PC	GeneProduct	:MSTRG.8565.11	""												
PC	GeneProduct	:MSTRG.8565.12	""												
PC	GeneProduct	:MSTRG.8565.13	""												
PC	GeneProduct	:MSTRG.8565.2	""												
PC	GeneProduct	:MSTRG.8565.3	""												
PC	GeneProduct	:MSTRG.8565.4	""												
PC	GeneProduct	:MSTRG.8565.6	""												
PC	GeneProduct	:MSTRG.8565.8	""												
PC	GeneProduct	:MSTRG.8565.9	""												
PDHA1	GeneProduct	:MSTRG.5215.1	""												
PDHA1	GeneProduct	:MSTRG.8494.3	""												
PDHA1	GeneProduct	:MSTRG.8494.4	""												
DLAT	GeneProduct	:MSTRG.16857.1	""												
DLAT	GeneProduct	:MSTRG.16857.2	""												
DLAT	GeneProduct	:MSTRG.16857.3	""												
MDH2	GeneProduct	:KWMTBOMO07956	""												
MDH2	GeneProduct	:KWMTBOMO07957	""												
MDH2	GeneProduct	:KWMTBOMO09474	""												
MDH2	GeneProduct	:MSTRG.4128.1	""												
GOT2	GeneProduct	:MSTRG.17977.1	""												
PKM	GeneProduct	:MSTRG.21962.7	""												
PCK1	GeneProduct	:KWMTBOMO12093	""												
PCK1	GeneProduct	:MSTRG.10528.3	""												
PCK1	GeneProduct	:MSTRG.10528.2	""												
PCK1	GeneProduct	:MSTRG.10528.1	""												
PCK1	GeneProduct	:MSTRG.10526.2	""												
PCK1	GeneProduct	:MSTRG.10526.1	""												
