Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Reactive oxygen species 	Metabolite	chebi:26523						wikidata:Q424361	chebi:26523;chebi:26523	
Estradiol-17beta	Metabolite	chebi:16469						wikidata:Q422416	chebi:16469;chebi:16469	inchikey:VOXZDWNPVJITMN-ZBRFXRBCSA-N
Progesterone	Metabolite	chebi:17026						wikidata:Q26963	chebi:17026;chebi:17026	inchikey:RJKFOVLPORLFTN-LEKSSAKUSA-N
PARP	Metabolite	chebi:62913						wikidata:Q7118227	chebi:62913;chebi:62913	
Bax	GeneProduct	ensembl:ENSMUSG00000003873		ensembl:ENSMUSG00000003873	ncbigene:12028		uniprot:Q544Z6;uniprot:A0A1B0GTA4;uniprot:A0A1B0GT35;uniprot:A0A1B0GS13;uniprot:Q07813;uniprot:A0A1B0GT81			
Cytochrome c	Protein	uniprot:P62897	Somatic	ensembl:ENSMUSG00000063694;ensembl:ENSMUSG00000058927	ncbigene:13063		uniprot:Q56A15;uniprot:P62897			
CYP11A1	Protein	uniprot:Q9QZ82	Mitochondrial	ensembl:ENSMUSG00000032323	ncbigene:13070		uniprot:A0A087WRU6;uniprot:A0A087WRA8;uniprot:Q9QZ82			
3Beta-HSD	Protein	uniprot:E9PXG7		ensembl:ENSMUSG00000062410	ncbigene:15494		uniprot:E9PXG7;uniprot:P26150;uniprot:B1ARP0			
JNK	Protein	ensembl:ENSMUSP00000023291								
Caspase-3	Protein	uniprot:A0A1B0GRX1		ensembl:ENSMUSG00000031628	ncbigene:12367		uniprot:P70677;uniprot:A0A1B0GRX1			
StAR 	Protein	uniprot:P51557	Mitichondrial</br>Type your comment here	ensembl:ENSMUSG00000031574	ncbigene:20845		uniprot:P51557;uniprot:A0A1B0GSV6			
Peroxiredoxin-2	Protein	uniprot:Q61171		ensembl:ENSMUSG00000005161	ncbigene:21672		uniprot:Q61171;uniprot:D3Z4A4			
