Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
F6P	Metabolite	kegg.compound:C05345	""					wikidata:Q27098371	chebi:16084	inchikey:BGWGXPAPYGQALX-ARQDHWQXSA-N	pubchem.compound:440641	chemspider:389526	hmdb:HMDB0003971	kegg.compound:C05345	
SUC-CoA	Metabolite	kegg.compound:C00091	""					wikidata:Q419560	chebi:15380	inchikey:VNOYUJKHFWYWIR-ITIYDSSPSA-N	pubchem.compound:92133	chemspider:83179	hmdb:HMDB0001022	kegg.compound:C00091	lipidmaps:LMFA07050370
MAL	Metabolite	kegg.compound:C00149	""					wikidata:Q27104150	chebi:30797	inchikey:BJEPYKJPYRNKOW-REOHCLBHSA-N	pubchem.compound:222656	chemspider:193317	hmdb:HMDB0000156	kegg.compound:C00149	
G6P	Metabolite	kegg.compound:C00668	""					wikidata:Q27102512	chebi:17665	inchikey:NBSCHQHZLSJFNQ-DVKNGEFBSA-N	pubchem.compound:439284	chemspider:388417		kegg.compound:C00668	
FBP	Metabolite	kegg.compound:C05378	""					wikidata:Q414945	chebi:28013	inchikey:RNBGYGVWRKECFJ-ARQDHWQXSA-N	pubchem.compound:10267	chemspider:9848	hmdb:HMDB0001058	kegg.compound:C05378	
T3P	Metabolite	kegg.compound:C00197	""					wikidata:Q223118	chebi:17794	inchikey:OSJPPGNTCRNQQC-UWTATZPHSA-N	pubchem.compound:439183	chemspider:388326	hmdb:HMDB0060180	kegg.compound:C00197	
2-OG	Metabolite	kegg.compound:C00026	""					wikidata:Q306140	chebi:30915	inchikey:KPGXRSRHYNQIFN-UHFFFAOYSA-N	pubchem.compound:156274072;pubchem.compound:51	chemspider:50	hmdb:HMDB0000208	kegg.compound:C00026	
Glucose	Metabolite	kegg.compound:C00221	""					wikidata:Q23905968	chebi:15903	inchikey:WQZGKKKJIJFFOK-VFUOTHLCSA-N	pubchem.compound:64689	chemspider:58238	hmdb:HMDB0000122	kegg.compound:C00221	
FUM	Metabolite	kegg.compound:C00122	""					wikidata:Q139857	chebi:18012	inchikey:VZCYOOQTPOCHFL-OWOJBTEDSA-N	pubchem.compound:21883788;pubchem.compound:444972	chemspider:10197150	hmdb:HMDB0000134	kegg.compound:C00122	
Ace-CoA	Metabolite	kegg.compound:C00024	""					wikidata:Q715317	chebi:15351	inchikey:ZSLZBFCDCINBPY-ZSJPKINUSA-N	pubchem.compound:444493	chemspider:392413	hmdb:HMDB0001206	kegg.compound:C00024	lipidmaps:LMFA07050281
SUC	Metabolite	kegg.compound:C00042	""					wikidata:Q213050	chebi:15741	inchikey:KDYFGRWQOYBRFD-UHFFFAOYSA-N	pubchem.compound:1110;pubchem.compound:1738118;pubchem.compound:21952380	chemspider:1078	hmdb:HMDB0000254	kegg.compound:C00042	lipidmaps:LMFA01170043
PYR	Metabolite	kegg.compound:C00022	""					wikidata:Q213580	chebi:32816	inchikey:LCTONWCANYUPML-UHFFFAOYSA-N	pubchem.compound:1060	chemspider:1031	hmdb:HMDB0000243	kegg.compound:C00022	lipidmaps:LMFA01060077
ICT	Metabolite	kegg.compound:C00311	""					wikidata:Q288927	chebi:30887	inchikey:ODBLHEXUDAPZAU-UHFFFAOYSA-N	pubchem.compound:1198	chemspider:1161	hmdb:HMDB0000193	kegg.compound:C00311	
OAA	Metabolite	kegg.compound:C00036	""					wikidata:Q408658	chebi:30744	inchikey:KHPXUQMNIQBQEV-UHFFFAOYSA-N	pubchem.compound:970	chemspider:945	hmdb:HMDB0000223	kegg.compound:C00036	lipidmaps:LMFA01170120
PEP	Metabolite	kegg.compound:C00074	""					wikidata:Q412139	chebi:44897	inchikey:DTBNBXWJWCWCIK-UHFFFAOYSA-N	pubchem.compound:59658623;pubchem.compound:58114173;pubchem.compound:1005	chemspider:980	hmdb:HMDB0000263	kegg.compound:C00074	
CIT	Metabolite	kegg.compound:C00158	""					wikidata:Q159683	chebi:30769	inchikey:KRKNYBCHXYNGOX-UHFFFAOYSA-N	pubchem.compound:311	chemspider:305	hmdb:HMDB0000094	kegg.compound:C00158	
Ace	Metabolite	kegg.compound:C00033	""					wikidata:Q47512	chebi:15366	inchikey:QTBSBXVTEAMEQO-UHFFFAOYSA-N	pubchem.compound:176	chemspider:171	hmdb:HMDB0000042	kegg.compound:C00033	lipidmaps:LMFA01010002
6PG	Metabolite	kegg.compound:C00345	""					wikidata:Q245501	chebi:48928	inchikey:BIRSGZKFKXLSJQ-SQOUGZDYSA-N	pubchem.compound:91493	chemspider:82615	hmdb:HMDB0001316	kegg.compound:C00345	
Galactose	Metabolite	kegg.compound:C00124	""					wikidata:Q27106307	chebi:4139	inchikey:WQZGKKKJIJFFOK-SVZMEOIVSA-N;inchikey:IXRPKRWXUJOOBZ-WDZFZDKYSA-N	pubchem.compound:6036	chemspider:5814	hmdb:HMDB0037209	kegg.compound:C00124	
