Label	Type	ID	Database	
Igf1	GeneProduct	24482	Entrez Gene
Ptgis	GeneProduct	25527	Entrez Gene
Ppard	GeneProduct	25682	Entrez Gene
Creb1	GeneProduct	81646	Entrez Gene
Mixl1	GeneProduct	289311	Entrez Gene
GH1	GeneProduct	24391	Entrez Gene
Id3	GeneProduct	25585	Entrez Gene
Wnt10b	GeneProduct	315294	Entrez Gene
Stat5a	GeneProduct	24918	Entrez Gene
Stat5b	GeneProduct	25126	Entrez Gene
Dlk1	GeneProduct	114587	Entrez Gene
Nr3c1	GeneProduct	24413	Entrez Gene
Ddit3	GeneProduct	29467	Entrez Gene
Lif	GeneProduct	60584	Entrez Gene
Cebpb	GeneProduct	24253	Entrez Gene
Cyp26a1	GeneProduct	154985	Entrez Gene
Cyp26b1	GeneProduct	312495	Entrez Gene
Rxra	GeneProduct	25271	Entrez Gene
Rara	GeneProduct	24705	Entrez Gene
Nr1h3	GeneProduct	58852	Entrez Gene
Lpl	GeneProduct	24539	Entrez Gene
Srebf1	GeneProduct	78968	Entrez Gene
Fas	GeneProduct	246097	Entrez Gene
Rbl1	GeneProduct	680111	Entrez Gene
Gata3	GeneProduct	85471	Entrez Gene
Gata2	GeneProduct	25159	Entrez Gene
Pparg	GeneProduct	25664	Entrez Gene
MEF2A	GeneProduct	309957	Entrez Gene
MEF2B	GeneProduct	498607	Entrez Gene
Mef2c	GeneProduct	499497	Entrez Gene
Mef2d	GeneProduct	81518	Entrez Gene
Asip	GeneProduct	24152	Entrez Gene
Tnf	GeneProduct	24835	Entrez Gene
Mif	GeneProduct	81683	Entrez Gene
Tgfb1	GeneProduct	59086	Entrez Gene
Serpine1	GeneProduct	24617	Entrez Gene
Slc2a4	GeneProduct	25139	Entrez Gene
Scd1	GeneProduct	246074	Entrez Gene
Twist1	GeneProduct	85489	Entrez Gene
Lep	GeneProduct	25608	Entrez Gene
Retn	GeneProduct	246250	Entrez Gene
Cfd	GeneProduct	54249	Entrez Gene
GTF3A	GeneProduct	246299	Entrez Gene
Rb1	GeneProduct	24708	Entrez Gene
Rbl2	GeneProduct	81758	Entrez Gene
Adipoq	GeneProduct	246253	Entrez Gene
Adfp	GeneProduct	298199	Entrez Gene
Agt	GeneProduct	24179	Entrez Gene
Cdkn1a	GeneProduct	114851	Entrez Gene
E2f1	GeneProduct	399489	Entrez Gene
Sp1	GeneProduct	24790	Entrez Gene
Hmga1	GeneProduct	117062	Entrez Gene
Plin	GeneProduct	25629	Entrez Gene
Il6	GeneProduct	24498	Entrez Gene
Gadd45a	GeneProduct	25112	Entrez Gene
Gadd45b	GeneProduct	299626	Entrez Gene
CEBPD	GeneProduct	25695	Entrez Gene
Bmp1	GeneProduct	83470	Entrez Gene
Bmp2	GeneProduct	29373	Entrez Gene
Bmp3	GeneProduct	25667	Entrez Gene
Bmp4	GeneProduct	25296	Entrez Gene
Ndn	GeneProduct	308690	Entrez Gene
Foxo1	GeneProduct	84482	Entrez Gene
Klf5	GeneProduct	84410	Entrez Gene
FOXC2	GeneProduct	171356	Entrez Gene
Ppargc1a	GeneProduct	83516	Entrez Gene
Ncoa1	GeneProduct	313929	Entrez Gene
Ncoa2	GeneProduct	83724	Entrez Gene
