Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
substance P(3+)	Metabolite	chebi:190692	""						chebi:190692						
NF-κB inhibitor	Metabolite	chebi:73240	""						chebi:73240						
GFAP	GeneProduct	uniprot:P14136	""	ensembl:ENSG00000131095	ncbigene:2670	hgnc.symbol:GFAP	uniprot:A0A0G2JLI8;uniprot:K7EKH9;uniprot:K7EPI4;uniprot:K7EKD1;uniprot:A0A1X7SBR3;uniprot:K7EPT8;uniprot:A0A1W2PPA3;uniprot:K7ELP4;uniprot:P14136;uniprot:K7EJK1;uniprot:A0A1W2PPF0;uniprot:A0A1W2PQ25;uniprot:A0A1W2PR46;uniprot:A0A1X7SCE1;uniprot:A0A1W2PQU7;uniprot:K7EJU1;uniprot:A0A1W2PPL2;uniprot:A0A1W2PS58;uniprot:B4DIR1;uniprot:A0A1W2PP21;uniprot:A0A1W2PQS4;uniprot:A0A1W2PRT3								
MAPK1	Protein	uniprot:P28482	""	ensembl:ENSG00000100030	ncbigene:5594	hgnc.symbol:MAPK1	uniprot:P28482;uniprot:Q1HBJ4								
IL18	Protein	uniprot:Q14116	""	ensembl:ENSG00000150782	ncbigene:3606	hgnc.symbol:IL18	uniprot:A0A024R3E0;uniprot:Q14116								
INF2A	Protein	uniprot:P01563	""	ensembl:ENSG00000188379	ncbigene:3440	hgnc.symbol:IFNA2	uniprot:P01563;uniprot:A0A7R8GUN5								
TLR3	Protein	uniprot:O15455	""	ensembl:ENSG00000164342	ncbigene:7098	hgnc.symbol:TLR3	uniprot:D6RA51;uniprot:O15455								
IL8	Protein	uniprot:P10145	""	ensembl:ENSG00000169429	ncbigene:3576	hgnc.symbol:CXCL8	uniprot:C9J4T6;uniprot:A0A024RDA5;uniprot:P10145								
TLR4	Protein	uniprot:O00206	""	ensembl:ENSG00000136869	ncbigene:7099	hgnc.symbol:TLR4	uniprot:O00206;uniprot:A0A2R8Y7P4								
IL4	Protein	uniprot:P05112	""	ensembl:ENSG00000113520	ncbigene:3565	hgnc.symbol:IL4	uniprot:D4HNR6;uniprot:Q5FC01;uniprot:U3LVN1;uniprot:P05112								
IFNG	Protein	uniprot:P01579	""	ensembl:ENSG00000111537	ncbigene:3458	hgnc.symbol:IFNG	uniprot:A0A7R8GUN6;uniprot:P01579								
IL2	Protein	uniprot:P60568	""	ensembl:ENSG00000109471	ncbigene:3558	hgnc.symbol:IL2	uniprot:Q0GK43;uniprot:P60568								
HMGB1	Protein	uniprot:P09429	"DAMP"	ensembl:ENSG00000189403	ncbigene:3146	hgnc.symbol:HMGB1	uniprot:P09429;uniprot:A0A024RDR0;uniprot:Q5T7C4								
IL10	Protein	uniprot:P22301	""	ensembl:ENSG00000136634	ncbigene:3586	hgnc.symbol:IL10	uniprot:A0A590UK12;uniprot:A0A286YEX3;uniprot:Q6FGW4;uniprot:P22301								
TLR8	Protein	uniprot:Q9NR97	""	ensembl:ENSG00000101916	ncbigene:51311	hgnc.symbol:TLR8	uniprot:Q9NR97								
TNF	Protein	uniprot:P01375	""	ensembl:ENSG00000232810	ncbigene:7124	hgnc.symbol:TNF	uniprot:Q5STB3;uniprot:P01375								
IL6	Protein	uniprot:P05231	""	ensembl:ENSG00000136244	ncbigene:3569	hgnc.symbol:IL6	uniprot:B5MCZ3;uniprot:C9J5B0;uniprot:B5MC21;uniprot:B4DNV3;uniprot:P05231;uniprot:B5MC14;uniprot:Q75MH2								
E protein	Protein	uniprot:P0DTC4	""												
IL12A	Protein	uniprot:P29459	""	ensembl:ENSG00000168811	ncbigene:3592	hgnc.symbol:IL12A	uniprot:E9PGR3;uniprot:P29459;uniprot:O60595;uniprot:E7ENE1								
TLR7	Protein	uniprot:Q9NYK1	""	ensembl:ENSG00000196664	ncbigene:51284	hgnc.symbol:TLR7	uniprot:B2R9N9;uniprot:Q9NYK1								
CCL11	Protein	uniprot:P51671	""	ensembl:ENSG00000172156	ncbigene:6356	hgnc.symbol:CCL11	uniprot:Q6I9T4;uniprot:P51671								
FURIN	Protein	uniprot:P09958	""	ensembl:ENSG00000140564	ncbigene:5045	hgnc.symbol:FURIN	uniprot:A0A024RC70;uniprot:H0YNB5;uniprot:A0A7P0T8P1;uniprot:A0A7P0T9X7;uniprot:P09958;uniprot:A0A7P0T8U2								
ACE2	Protein	uniprot:Q9BYF1	""	ensembl:ENSG00000130234	ncbigene:59272	hgnc.symbol:ACE2	uniprot:A0A7I2V3X6;uniprot:A0A7I2V5W5;uniprot:A0A7I2V2E9;uniprot:Q9BYF1;uniprot:A0A7I2V3N4;uniprot:A0A7I2V4H0								
TMPRSS2	Protein	uniprot:O15393	""	ensembl:ENSG00000184012	ncbigene:7113;ncbigene:124905021	hgnc.symbol:TMPRSS2	uniprot:A0A7I2V474;uniprot:A0A7I2V650;uniprot:C9JKZ3;uniprot:O15393;uniprot:C9J5Y1;uniprot:A0A7I2V5F9;uniprot:A0A7I2V5N2;uniprot:A0A7I2V509;uniprot:A0A7I2V3D1;uniprot:A0A7I2YQ98;uniprot:C9JB05								
IL1B	Protein	uniprot:P01584	""	ensembl:ENSG00000125538	ncbigene:3553	hgnc.symbol:IL1B	uniprot:C9JSC2;uniprot:C9JWV2;uniprot:C9JVK0;uniprot:P01584								
IL1A	Protein	uniprot:P01583	""	ensembl:ENSG00000115008	ncbigene:3552	hgnc.symbol:IL1A	uniprot:P01583								
CXCL8	Protein	uniprot:P10145	""	ensembl:ENSG00000169429	ncbigene:3576	hgnc.symbol:CXCL8	uniprot:C9J4T6;uniprot:A0A024RDA5;uniprot:P10145								
