Label	Type	ID	Database	
STXBP2	GeneProduct		
PIK3CD	GeneProduct	ENSGALG00000002583	Ensembl
PIK3C3	GeneProduct	ENSGALG00000035773	Ensembl
PSCD3	GeneProduct	ENSGALG00000007149	Ensembl
PTPRF	GeneProduct	ENSGALG00000010053	Ensembl
cRac1A	GeneProduct	ENSGALG00000007130	Ensembl
GSK3B	GeneProduct	ENSGALG00000014977	Ensembl
PTP	GeneProduct		
MINK1	GeneProduct		
GRB2	GeneProduct	ENSGALG00000008016	Ensembl
SHC3	GeneProduct	ENSGALG00000010688	Ensembl
IRS1	GeneProduct	ENSGALG00000004959	Ensembl
SLC2A1	GeneProduct	ENSGALG00000004889	Ensembl
RPS6KA4	GeneProduct		
IKBKB	GeneProduct	ENSGALG00000031832	Ensembl
MAP4K4	GeneProduct	ENSGALG00000016781	Ensembl
SOCS3	GeneProduct	ENSGALG00000027786	Ensembl
PRKCH	GeneProduct	ENSGALG00000011889	Ensembl
KIF5B	GeneProduct	ENSGALG00000007215	Ensembl
IRS1	GeneProduct	ENSGALG00000004959	Ensembl
EHD2	GeneProduct	ENSGALG00000036498	Ensembl
ARF6	GeneProduct	ENSGALG00000026944	Ensembl
GYG1	GeneProduct	ENSGALG00000035535	Ensembl
AKT2	GeneProduct	ENSGALG00000037736	Ensembl
SRF	GeneProduct	ENSGALG00000032029	Ensembl
MAP3K2	GeneProduct	ENSGALG00000011502	Ensembl
RAB4A	GeneProduct	ENSGALG00000036218	Ensembl
PRKCD	GeneProduct	ENSGALG00000002016	Ensembl
AKT1	GeneProduct	ENSGALG00000011620	Ensembl
CAP1	GeneProduct	ENSGALG00000036294	Ensembl
RHEB	GeneProduct	ENSGALG00000039880	Ensembl
PFKM	GeneProduct	ENSGALG00000033271	Ensembl
STXBP1	GeneProduct	ENSGALG00000040003	Ensembl
PIK3R3	GeneProduct		
MAPK12	GeneProduct	ENSGALG00000019384	Ensembl
PIK3R1	GeneProduct	ENSGALG00000014786	Ensembl
MAP3K5	GeneProduct	ENSGALG00000013892	Ensembl
IRS2	GeneProduct		
PIK3C2G	GeneProduct	ENSGALG00000013117	Ensembl
PIK3R2	GeneProduct	ENSGALG00000003428	Ensembl
MAPK10	GeneProduct	ENSGALG00000011109	Ensembl
MAP3K3	GeneProduct	ENSGALG00000000525	Ensembl
MAP4K1	GeneProduct		
MAPK3	GeneProduct		
RPS6KA3	GeneProduct	ENSGALG00000016406	Ensembl
PTEN	GeneProduct	ENSGALG00000003634	Ensembl
ELK1	GeneProduct		
SHC1	GeneProduct	ENSGALG00000039775	Ensembl
CRK	GeneProduct	ENSGALG00000031595	Ensembl
TRIB3	GeneProduct		
STXBP4	GeneProduct	ENSGALG00000003033	Ensembl
RPS6KA6	GeneProduct	ENSGALG00000007097	Ensembl
INSR	GeneProduct	ENSGALG00000040758	Ensembl
XBP1	GeneProduct	ENSGALG00000005796	Ensembl
FOXO1	GeneProduct	ENSGALG00000017034	Ensembl
EIF4EBP1	GeneProduct	ENSGALG00000003205	Ensembl
TBC1D4	GeneProduct	ENSGALG00000016925	Ensembl
PRKCB	GeneProduct	ENSGALG00000037943	Ensembl
MAP2K7	GeneProduct		
RPS6KB2	GeneProduct	ENSGALG00000031629	Ensembl
SOS1	GeneProduct	ENSGALG00000039450	Ensembl
RAC2	GeneProduct	ENSGALG00000012456	Ensembl
FOS	GeneProduct	ENSGALG00000028037	Ensembl
PIK3CG	GeneProduct	ENSGALG00000008081	Ensembl
RRAD	GeneProduct	ENSGALG00000005140	Ensembl
PIK3CA	GeneProduct	ENSGALG00000008934	Ensembl
IRS4	GeneProduct		
SGK3	GeneProduct	ENSGALG00000043570	Ensembl
SH2B2	GeneProduct	ENSGALG00000001828	Ensembl
MAPK13	GeneProduct	ENSGALG00000030966	Ensembl
GYS1	GeneProduct		
TSC2	GeneProduct	ENSGALG00000005646	Ensembl
PIK3CB	GeneProduct	ENSGALG00000005505	Ensembl
EHD1	GeneProduct		
MAP3K1	GeneProduct	ENSGALG00000014718	Ensembl
MAP4K3	GeneProduct	ENSGALG00000039720	Ensembl
ENPP1	GeneProduct	ENSGALG00000034397	Ensembl
MAP2K6	GeneProduct	ENSGALG00000004370	Ensembl
SNX26	GeneProduct		
SLC2A4	GeneProduct		
MAP3K8	GeneProduct	ENSGALG00000007356	Ensembl
PFKL	GeneProduct	ENSGALG00000006543	Ensembl
TSC1	GeneProduct	ENSGALG00000043548	Ensembl
MAP3K12	GeneProduct	ENSGALG00000031572	Ensembl
RPS6KA5	GeneProduct	ENSGALG00000030580	Ensembl
STX4A	GeneProduct		
IGF1R	GeneProduct	ENSGALG00000040651	Ensembl
PRKCZ	GeneProduct	ENSGALG00000001270	Ensembl
SNAP25	GeneProduct	ENSGALG00000009003	Ensembl
MAP2K4	GeneProduct	ENSGALG00000032178	Ensembl
GRB14	GeneProduct	ENSGALG00000020703	Ensembl
PRKCQ	GeneProduct	ENSGALG00000034970	Ensembl
RPS6KA	GeneProduct	ENSGALG00000037136	Ensembl
MAPK7	GeneProduct		
RPS6KA2	GeneProduct	ENSGALG00000011473	Ensembl
MAPK14	GeneProduct	ENSGALG00000042833	Ensembl
RPS6KB1	GeneProduct	ENSGALG00000005198	Ensembl
RHOQ	GeneProduct	ENSGALG00000010010	Ensembl
MAP3K11	GeneProduct		
PRKAA2	GeneProduct	ENSGALG00000010826	Ensembl
SNAP23	GeneProduct	ENSGALG00000009097	Ensembl
PTPN1	GeneProduct	ENSGALG00000008010	Ensembl
MAPK8	GeneProduct	ENSGALG00000006109	Ensembl
INPPL1	GeneProduct	ENSGALG00000004336	Ensembl
CBLB	GeneProduct	ENSGALG00000015351	Ensembl
MAP3K7	GeneProduct	ENSGALG00000015596	Ensembl
STXBP3	GeneProduct	ENSGALG00000002001	Ensembl
INPP4A	GeneProduct	ENSGALG00000029709	Ensembl
SGK1	GeneProduct	ENSGALG00000013971	Ensembl
CBL	GeneProduct	ENSGALG00000029077	Ensembl
PIK3R4	GeneProduct	ENSGALG00000040917	Ensembl
MAPK11	GeneProduct	ENSGALG00000040023	Ensembl
MAPK9	GeneProduct	ENSGALG00000039099	Ensembl
PTPN11	GeneProduct	ENSGALG00000004821	Ensembl
GYS2	GeneProduct	ENSGALG00000013265	Ensembl
JUN	GeneProduct	ENSGALG00000010870	Ensembl
SOCS1	GeneProduct	ENSGALG00000007158	Ensembl
MAPK6	GeneProduct	ENSGALG00000031448	Ensembl
EIF4E	GeneProduct	ENSGALG00000042112	Ensembl
SHC2	GeneProduct	ENSGALG00000001289	Ensembl
FLOT2	GeneProduct	ENSGALG00000031216	Ensembl
CBLC	GeneProduct		
MYO1C	GeneProduct	ENSGALG00000002709	Ensembl
GAB1	GeneProduct	ENSGALG00000009898	Ensembl
RHOJ	GeneProduct	ENSGALG00000011855	Ensembl
GSK3A	GeneProduct		
PRKCI	GeneProduct	ENSGALG00000009364	Ensembl
PRKAA1	GeneProduct	ENSGALG00000014832	Ensembl
SORBS1	GeneProduct	ENSGALG00000038722	Ensembl
SOS2	GeneProduct	ENSGALG00000012273	Ensembl
MAP3K13	GeneProduct	ENSGALG00000006655	Ensembl
PPP1R3A	GeneProduct	ENSGALG00000009435	Ensembl
RAF1	GeneProduct	ENSGALG00000004998	Ensembl
ARF1	GeneProduct		
MTOR	GeneProduct	ENSGALG00000003339	Ensembl
PRKCA	GeneProduct	ENSGALG00000025950	Ensembl
LIPE	GeneProduct		
MAP2K3	GeneProduct	ENSGALG00000041285	Ensembl
MAPK4	GeneProduct		
MAP4K2	GeneProduct		
PDPK1	GeneProduct	ENSGALG00000006418	Ensembl
HRAS	GeneProduct	ENSGALG00000040551	Ensembl
RAPGEF1	GeneProduct	ENSGALG00000003712	Ensembl
FOXO3	GeneProduct	ENSGALG00000015297	Ensembl
MAP2K5	GeneProduct	ENSGALG00000007930	Ensembl
GRB10	GeneProduct	ENSGALG00000013100	Ensembl
EGR1	GeneProduct	ENSGALG00000007669	Ensembl
MAP3K10	GeneProduct		
VAMP2	GeneProduct	ENSGALG00000043621	Ensembl
PIK3C2A	GeneProduct	ENSGALG00000006121	Ensembl
MAPK1	GeneProduct	ENSGALG00000001501	Ensembl
FLOT1	GeneProduct	ENSGALG00000040703	Ensembl
PIK3CA	GeneProduct	ENSGALG00000008934	Ensembl
MAP2K1	GeneProduct	ENSGALG00000007687	Ensembl
MAP3K6	GeneProduct	ENSGALG00000030706	Ensembl
SGK2	GeneProduct	ENSGALG00000003537	Ensembl
MAP3K4	GeneProduct	ENSGALG00000020003	Ensembl
MAP3K9	GeneProduct	ENSGALG00000037326	Ensembl
KIF3A	GeneProduct	ENSGALG00000006860	Ensembl
MAP4K5	GeneProduct	ENSGALG00000012321	Ensembl
MAP2K2	GeneProduct	ENSGALG00000001267	Ensembl
MAPK8	GeneProduct	ENSGALG00000006109	Ensembl
