Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
TOE3	GeneProduct	ensembl:AT5G67180	""	ensembl:AT5G67180	ncbigene:836853		uniprot:A0A1P8BFZ3;uniprot:A0A1P8BFY4;uniprot:A0A5S9YHT4;uniprot:Q9FH95;uniprot:A0A1P8BG04								
AP3	GeneProduct	ensembl:AT3G54340	""	ensembl:AT3G54340	ncbigene:824601		uniprot:A0A178VHZ2;uniprot:P35632								
TFL1	GeneProduct	ensembl:AT5G03840	""	ensembl:AT5G03840	ncbigene:831683		uniprot:Q547P7;uniprot:A0A384L909;uniprot:P93003								
FDP	GeneProduct	ensembl:AT2G17770	""	ensembl:AT2G17770	ncbigene:816286										
TEM1	GeneProduct	ensembl:AT1G25560	""	ensembl:AT1G25560	ncbigene:839143		uniprot:A0A178W8G8;uniprot:Q9C6M5								
SOC1	GeneProduct	ensembl:AT2G45660	""	ensembl:AT2G45660	ncbigene:819174		uniprot:A0A178VZL4;uniprot:O64645;uniprot:A0A178VY71;uniprot:A0A384KGG7								
SPL9	GeneProduct	ensembl:AT2G42200	""	ensembl:AT2G42200	ncbigene:818820		uniprot:Q700W2								
SEP3	GeneProduct	ensembl:AT1G24260	""	ensembl:AT1G24260	ncbigene:839040		uniprot:A0A178W2I1;uniprot:A0A384L6U0;uniprot:B4F7R9;uniprot:O22456;uniprot:F4I972								
LFY	GeneProduct	ensembl:AT5G61850	""	ensembl:AT5G61850	ncbigene:836307		uniprot:A0A023T4L8;uniprot:A0A654GE89;uniprot:A0A384L7U0;uniprot:A0A1P8BDB4;uniprot:Q00958								
FD	GeneProduct	ensembl:AT4G35900	""	ensembl:AT4G35900	ncbigene:829744		uniprot:A0A1P8B8Q9;uniprot:A0A7G2F8I8;uniprot:Q84JK2								
SVP	GeneProduct	ensembl:AT2G22540	""	ensembl:AT2G22540	ncbigene:816787		uniprot:A7XFU1;uniprot:Q9FVC1;uniprot:A0A384KDB8;uniprot:A0A7G2EE81								
FT	GeneProduct	ensembl:AT1G65480	""	ensembl:AT1G65480	ncbigene:842859		uniprot:Q9SXZ2;uniprot:A0A1P8AMK0;uniprot:A0A178WM09								
TOE1	GeneProduct	ensembl:AT2G28550	""	ensembl:AT2G28550	ncbigene:817403		uniprot:A0A5S9X233;uniprot:A0A1P8AYL0;uniprot:A0A1P8AYM1;uniprot:Q9SK03;uniprot:A0A1P8AYJ5;uniprot:F4IIR3								
TEM2	GeneProduct	ensembl:AT1G68840	""	ensembl:AT1G68840	ncbigene:843216		uniprot:A0A178WNP0;uniprot:P82280								
AP1	GeneProduct	ensembl:AT1G69120	""	ensembl:AT1G69120	ncbigene:843244		uniprot:A0A1P8AMJ8;uniprot:A0A178W846;uniprot:A0A1P8AML8;uniprot:P35631								
AGL24	GeneProduct	ensembl:AT4G24540	""	ensembl:AT4G24540	ncbigene:828556		uniprot:O82794;uniprot:A0A178UV29								
AP2	GeneProduct	ensembl:AT4G36920	""	ensembl:AT4G36920	ncbigene:829845		uniprot:P47927;uniprot:A0A5S9XZB0								
SNZ	GeneProduct	ensembl:AT2G39250	""	ensembl:AT2G39250	ncbigene:818510		uniprot:Q6PV67;uniprot:A0A1P8B311								
