Label	Type	ID	Database	
ImpL3	GeneProduct	45880	Entrez Gene
Pyruvic acid	Metabolite	HMDB0000243	HMDB
3-Phosphoglyceric acid	Metabolite	HMDB0000807	HMDB
CG7430	GeneProduct	39988	Entrez Gene
Glucose-6-phosphate	Metabolite	59-56-3	CAS
Malate	Metabolite	HMDB0000156	HMDB
Glucose	Metabolite	Q37525	Wikidata
Fructose-6-phosphate	Metabolite	643-13-0	CAS
ALDOB	GeneProduct		
Got1	GeneProduct	36782	Entrez Gene
CG7998	GeneProduct	42185	Entrez Gene
Phosphoenolpyruvate	Metabolite	138-08-9	CAS
ENO1B	GeneProduct		
GAPDH	GeneProduct		
Pgk	GeneProduct	33461	Entrez Gene
Pyruvic acid	Metabolite	HMDB0000243	HMDB
PGK2	GeneProduct		
Oxalacetic acid	Metabolite	HMDB0000223	HMDB
ALDOC	GeneProduct		
Got2	GeneProduct	33373	Entrez Gene
PFKM	GeneProduct		
Fructose-1,6-biphosphate	Metabolite	HMDB0001058	HMDB
PyK	GeneProduct	42620	Entrez Gene
Glyceric acid 1,3-biphosphate	Metabolite	HMDB0001270	HMDB
2-Phosphoglyceric acid	Metabolite	HMDB0000362	HMDB
PyK	GeneProduct	42620	Entrez Gene
GAPD	GeneProduct		
Dihydroxyacetone Phosphate	Metabolite	HMDB0001473	HMDB
PDHA2	GeneProduct		
CG5261	GeneProduct	34021	Entrez Gene
CG1516	GeneProduct	36020	Entrez Gene
Ald	GeneProduct	43183	Entrez Gene
PFKL	GeneProduct		
CG10924	GeneProduct	37130	Entrez Gene
CG11876	GeneProduct	43437	Entrez Gene
Lactate	Metabolite	HMDB0000190	HMDB
PDHX	GeneProduct		
fbp	GeneProduct	35265	Entrez Gene
ENO3	GeneProduct		
Pgi	GeneProduct	35886	Entrez Gene
Tpi	GeneProduct	43582	Entrez Gene
PKLR	GeneProduct		
L-Aspartic acid	Metabolite	HMDB0000191	HMDB
Pfk	GeneProduct	36060	Entrez Gene
Malate	Metabolite	HMDB0000156	HMDB
Pglym78	GeneProduct	43447	Entrez Gene
GAPDHS	GeneProduct		
Hex-A	GeneProduct	45875	Entrez Gene
G6PC	GeneProduct		
Hex-t2	GeneProduct	43191	Entrez Gene
CG5362	GeneProduct	34414	Entrez Gene
LDHB	GeneProduct		
Pglym87	GeneProduct	46246	Entrez Gene
l(1)G0334	GeneProduct	31406	Entrez Gene
ENO2	GeneProduct		
Oxalacetic acid	Metabolite	HMDB0000223	HMDB
Acetyl-CoA	Metabolite	72-89-9	CAS
FBP2	GeneProduct		
Hex-C	GeneProduct	44008	Entrez Gene
L-Aspartic acid	Metabolite	HMDB0000191	HMDB
LDHC	GeneProduct		
LDHAL6B	GeneProduct		
HK3	GeneProduct		
Glyceraldehyde-3-phosphate	Metabolite	HMDB0001112	HMDB
Eno	GeneProduct	33351	Entrez Gene
