Label	Type	ID	Database	
UDP-Xyl	Metabolite	CHEBI:16082	ChEBI
UDP-L-arabinose	Metabolite	CHEBI:17983	ChEBI
Homologues of NAD
dependent
epimerase/dehydratase
family domain
containing protein
(LOC_OS04G52730.1)	Protein	5400401	Reactome
