Label	Type	ID	Database	
Differentiation	Pathway		
Fgfr1	GeneProduct	ENSMUSG00000031565	Ensembl
Fgfr2	GeneProduct	ENSMUSG00000030849	Ensembl
Fgfr3	GeneProduct	ENSMUSG00000054252	Ensembl
Zic5	GeneProduct	ENSMUSG00000041703	Ensembl
Bmyc	GeneProduct	ENSMUSG00000049086	Ensembl
Sox9	GeneProduct	ENSMUSG00000000567	Ensembl
Sox10	GeneProduct	ENSMUSG00000033006	Ensembl
Isl1	GeneProduct	ENSMUSG00000042258	Ensembl
Cdh6	GeneProduct	ENSMUSG00000039385	Ensembl
Cdh2	GeneProduct	ENSMUSG00000024304	Ensembl
Cdh1	GeneProduct	ENSMUSG00000000303	Ensembl
Sox5	GeneProduct	ENSMUSG00000041540	Ensembl
Ets1	GeneProduct	ENSMUSG00000032035	Ensembl
Pax3	GeneProduct	ENSMUSG00000004872	Ensembl
Pax7	GeneProduct	ENSMUSG00000028736	Ensembl
Nfkb1	GeneProduct	ENSMUSG00000028163	Ensembl
Cdh7	GeneProduct	ENSMUSG00000026312	Ensembl
Tcfap2a	GeneProduct	ENSMUSG00000021359	Ensembl
Snai1	GeneProduct	ENSMUSG00000042821	Ensembl
Snai2	GeneProduct	ENSMUSG00000022676	Ensembl
Foxd3	GeneProduct	ENSMUSG00000067261	Ensembl
Id1	GeneProduct	ENSMUSG00000042745	Ensembl
Sox9	GeneProduct	ENSMUSG00000000567	Ensembl
Nfkb2	GeneProduct	ENSMUSG00000025225	Ensembl
Neurog1	GeneProduct	ENSMUSG00000048904	Ensembl
Sox10	GeneProduct	ENSMUSG00000033006	Ensembl
Phox2b	GeneProduct	ENSMUSG00000012520	Ensembl
Gfap	GeneProduct	ENSMUSG00000020932	Ensembl
Olig1	GeneProduct	ENSMUSG00000046160	Ensembl
Olig2	GeneProduct	ENSMUSG00000039830	Ensembl
Gjb1	GeneProduct	ENSMUSG00000047797	Ensembl
Ascl1	GeneProduct	ENSMUSG00000020052	Ensembl
Mitf	GeneProduct	ENSMUSG00000035158	Ensembl
Pmp22	GeneProduct	ENSMUSG00000018217	Ensembl
Mpz	GeneProduct	ENSMUSG00000056569	Ensembl
