Label	Type	ID	Database	
LCE1E	GeneProduct	353135	Entrez Gene
LRRFIP2	GeneProduct	9209	Entrez Gene
ARRDC4	GeneProduct	91947	Entrez Gene
USP41	GeneProduct	373856	Entrez Gene
NLRX1	GeneProduct	79671	Entrez Gene
RBM12B	GeneProduct	389677	Entrez Gene
DAAM1	GeneProduct	23002	Entrez Gene
PHLDA3	GeneProduct	23612	Entrez Gene
E2F8	GeneProduct	79733	Entrez Gene
B3GNT2	GeneProduct	10678	Entrez Gene
SMAD5	GeneProduct	4090	Entrez Gene
SEMG2	GeneProduct	6407	Entrez Gene
PTGER4	GeneProduct	5734	Entrez Gene
EI24	GeneProduct	9538	Entrez Gene
HIST1H2BG	GeneProduct	8339	Entrez Gene
CCP110	GeneProduct	9738	Entrez Gene
PLK3	GeneProduct	1263	Entrez Gene
TP53I3	GeneProduct	9540	Entrez Gene
TOPORS	GeneProduct	10210	Entrez Gene
PRKAB1	GeneProduct	5564	Entrez Gene
TM7SF3	GeneProduct	51768	Entrez Gene
PRKAB2	GeneProduct	5565	Entrez Gene
HIST1H1E	GeneProduct	3008	Entrez Gene
HIST1H2BC	GeneProduct	8347	Entrez Gene
DDB2	GeneProduct	1643	Entrez Gene
MEX3B	GeneProduct	84206	Entrez Gene
FBXO22	GeneProduct	26263	Entrez Gene
CDKN1A	GeneProduct	1026	Entrez Gene
CEBPD	GeneProduct	1052	Entrez Gene
HIST1H2BI	GeneProduct	8346	Entrez Gene
SEL1L	GeneProduct	6400	Entrez Gene
ACTA2	GeneProduct	59	Entrez Gene
E2F7	GeneProduct	144455	Entrez Gene
DCP1B	GeneProduct	196513	Entrez Gene
SERTAD1	GeneProduct	29950	Entrez Gene
CENPE	GeneProduct	1062	Entrez Gene
HIST1H2BB	GeneProduct	3018	Entrez Gene
HIST1H2BN	GeneProduct	8341	Entrez Gene
HIST1H2BM	GeneProduct	8342	Entrez Gene
HIST1H3D	GeneProduct	8351	Entrez Gene
PPM1D	GeneProduct	8493	Entrez Gene
PCDH8	GeneProduct	5100	Entrez Gene
ITPR1	GeneProduct	3708	Entrez Gene
IKBIP	GeneProduct	121457	Entrez Gene
GADD45A	GeneProduct	1647	Entrez Gene
AEN	GeneProduct	64782	Entrez Gene
RRM2B	GeneProduct	50484	Entrez Gene
TNFRSF17	GeneProduct	608	Entrez Gene
TIGAR	GeneProduct	57103	Entrez Gene
COIL	GeneProduct	8161	Entrez Gene
MDM2	GeneProduct	4193	Entrez Gene
ID2	GeneProduct	3398	Entrez Gene
BRMS1L	GeneProduct	84312	Entrez Gene
CBLB	GeneProduct	868	Entrez Gene
BLOC1S2	GeneProduct	282991	Entrez Gene
AMER1	GeneProduct	139285	Entrez Gene
GXYLT1	GeneProduct	283464	Entrez Gene
RPS27L	GeneProduct	6232	Entrez Gene
BTG2	GeneProduct	7832	Entrez Gene
TRIAP1	GeneProduct	51499	Entrez Gene
RAPGEF2	GeneProduct	9693	Entrez Gene
TRIM22	GeneProduct	10346	Entrez Gene
ITPKC	GeneProduct	80271	Entrez Gene
DUSP14	GeneProduct	11072	Entrez Gene
