ID	Database	Citation
10522861	Pubmed	"Effect of multiple gene transfers of insulinlike growth factor I complementary DNA gene constructs in rats after thermal injury. Jeschke MG, Barrow RE, Hawkins HK, Chrysopoulo MT, Perez-Polo JR, Herndon DN. Arch Surg. 1999 Oct;134(10):1137–41.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10522861"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10522861"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10522861"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11069447	Pubmed	"Spatial and temporal expression of basic fibroblast growth factor protein during wound healing of rat skin. Kibe Y, Takenaka H, Kishimoto S. Br J Dermatol. 2000 Oct;143(4):720–7.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11069447"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11069447"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11069447"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11571581	Pubmed	"Liposomal IGF-1 gene transfer modulates pro- and anti-inflammatory cytokine mRNA expression in the burn wound. Spies M, Nesic O, Barrow RE, Perez-Polo JR, Herndon DN. Gene Ther. 2001 Sep;8(18):1409–15.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11571581"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11571581"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11571581"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12228062	Pubmed	"Gene expression analysis in burn wounds of rats. Spies M, Dasu MRK, Svrakic N, Nesic O, Barrow RE, Perez-Polo JR, et al. Am J Physiol Regul Integr Comp Physiol. 2002 Oct;283(4):R918-30.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12228062"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12228062"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12228062"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12805089	Pubmed	"IGF-I gene transfer effects on inflammatory elements present after thermal trauma. Dasu MRK, Herndon DN, Nesic O, Perez-Polo JR. Am J Physiol Regul Integr Comp Physiol. 2003 Oct;285(4):R741-6.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12805089"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12805089"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12805089"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15286551	Pubmed	"Mechanisms of postburn intestinal barrier dysfunction in the rat: roles of epithelial cell renewal, E-cadherin, and neutrophil extravasation. Al-Ghoul WM, Khan M, Fazal N, Sayeed MM. Crit Care Med. 2004 Aug;32(8):1730–9.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15286551"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15286551"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15286551"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16213902	Pubmed	"The effect of hepatocyte growth factor on gut mucosal apoptosis and proliferation, and cellular mediators after severe trauma. Jeschke MG, Bolder U, Finnerty CC, Przkora R, Müller U, Maihöfer R, et al. Surgery. 2005 Sep;138(3):482–9.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16213902"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16213902"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16213902"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16385346	Pubmed	"Involvement of the CXCL12/CXCR4 pathway in the recovery of skin following burns. Avniel S, Arik Z, Maly A, Sagie A, Basst HB, Yahana MD, et al. J Invest Dermatol. 2006 Feb;126(2):468–76.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16385346"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16385346"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16385346"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16984436	Pubmed	"Expression of endogenous transforming growth factor-beta and its type I and type II receptors in rat burn wounds. Wei D, Ge S, Chen Y, Dai F, Su B. Wound Repair Regen. 1997;5(3):229–34.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16984436"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16984436"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16984436"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
23084631	Pubmed	"Delayed wound healing in aged skin rat models after thermal injury is associated with an increased MMP-9, K6 and CD44 expression. Simonetti O, Lucarini G, Cirioni O, Zizzi A, Orlando F, Provinciali M, et al. Burns. 2013 Jun;39(4):776–87.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/23084631"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/23084631"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/23084631"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
