Label	Type	ID	Database	
Glutarate	Metabolite	743	PubChem-compound
3-Oxododexanoyl-CoA	Metabolite	11966169	PubChem-compound
HADHA	GeneProduct	ENSBTAG00000015038	Ensembl
Trans-Oct-2-enoyl-CoA	Metabolite	CHEBI:27537	ChEBI
Myristoyl-CoA	Metabolite	CHEBI:15532	ChEBI
(S)-3-Hydroxytetradecanoyl-CoA	Metabolite	CHEBI:27466	ChEBI
Acetyl-CoA	Metabolite	72-89-9	CAS
Acetyl-CoA	Metabolite	72-89-9	CAS
ACADM	GeneProduct	ENSBTAG00000024240	Ensembl
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
PNPLA2	GeneProduct	ENSBTAG00000005144	Ensembl
Glutaryl-CoA	Metabolite	CHEBI:15524	ChEBI
CPT2	GeneProduct	ENSBTAG00000014649	Ensembl
Glyceraldehyde-3-Phosphate	Metabolite	591-57-1	CAS
2-trans-dodecenoyl-CoA	Metabolite	CHEBI:15471	ChEBI
ACADS	GeneProduct	ENSBTAG00000007484	Ensembl
ACADM	GeneProduct	ENSBTAG00000024240	Ensembl
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
Glycerol	Metabolite	56-81-5	CAS
cis,cis-3,6-Dodecadienoyl-CoA	Metabolite	CHEBI:28002	ChEBI
ECI1	GeneProduct	ENSBTAG00000009965	Ensembl
ECHS1	GeneProduct	ENSBTAG00000017710	Ensembl
GCDH	GeneProduct	ENSBTAG00000016211	Ensembl
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
Trans-Dec-2-enoyl-CoA	Metabolite	CHEBI:10723	ChEBI
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
HADH	GeneProduct	ENSBTAG00000002049	Ensembl
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
3-Oxo-octanoyl-CoA	Metabolite	CHEBI:28264	ChEBI
ACADVL	GeneProduct	ENSBTAG00000003072	Ensembl
Acetyl-CoA	Metabolite	72-89-9	CAS
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
3-Oxohexanoyl-CoA	Metabolite	CHEBI:27648	ChEBI
GPD2	GeneProduct	ENSBTAG00000009770	Ensembl
2-trans-4-cis-decadienoyl-CoA	Metabolite	CHEBI:29119	ChEBI
Butanoyl-CoA	Metabolite	CHEBI:15517	ChEBI
HADHA	GeneProduct	ENSBTAG00000015038	Ensembl
HADH	GeneProduct	ENSBTAG00000002049	Ensembl
HADHA	GeneProduct	ENSBTAG00000015038	Ensembl
Acetyl-CoA	Metabolite	72-89-9	CAS
Acetyl-CoA	Metabolite	72-89-9	CAS
Decanoyl-CoA	Metabolite	CHEBI:28493	ChEBI
Linoleoyl-CoA	Metabolite	40757-80-0	CAS
3-Oxopalmitoyl-CoA	Metabolite	CHEBI:15491	ChEBI
ACSL5	GeneProduct	ENSBTAG00000006707	Ensembl
DLD	GeneProduct	ENSBTAG00000001908	Ensembl
HADHA	GeneProduct	ENSBTAG00000015038	Ensembl
ACSS2	GeneProduct	ENSBTAG00000013303	Ensembl
HADH	GeneProduct	ENSBTAG00000002049	Ensembl
TPI1	GeneProduct	ENSBTAG00000019782	Ensembl
GK2	GeneProduct	ENSBTAG00000039245	Ensembl
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
Dihydroxyacetone Phosphate	Metabolite	57-04-5	CAS
ECHS1	GeneProduct	ENSBTAG00000017710	Ensembl
ACSL1	GeneProduct	ENSBTAG00000004344	Ensembl
DECR1	GeneProduct	ENSBTAG00000019663	Ensembl
Trans-Hex-2-enoyl-CoA	Metabolite	CHEBI:28706	ChEBI
LIPC	GeneProduct	ENSBTAG00000005479	Ensembl
(S)-3-Hydroxyhexadecanoyl-CoA	Metabolite	CHEBI:27402	ChEBI
SLC25A20	GeneProduct	ENSBTAG00000000191	Ensembl
ACADL	GeneProduct	ENSBTAG00000010579	Ensembl
ACADL	GeneProduct	ENSBTAG00000010579	Ensembl
MGC142781	GeneProduct	ENSBTAG00000001932	Ensembl
(S)-3-Hydroxybutanoyl-CoA	Metabolite	CHEBI:15453	ChEBI
HSL	GeneProduct	ENSBTAG00000038321	Ensembl
ECHS1	GeneProduct	ENSBTAG00000017710	Ensembl
Lauroyl-CoA	Metabolite	6244-92-4	CAS
ACSL6	GeneProduct	ENSBTAG00000019708	Ensembl
ECI1	GeneProduct	ENSBTAG00000009965	Ensembl
Hexanoyl-CoA	Metabolite	CHEBI:27540	ChEBI
HADH	GeneProduct	ENSBTAG00000002049	Ensembl
L-Glycerol-3-Phosphate	Metabolite	CHEBI:15978	ChEBI
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
CPT1A	GeneProduct	ENSBTAG00000021999	Ensembl
TCA cycle	Pathway	WP78	WikiPathways
CPT1B	GeneProduct	ENSBTAG00000016048	Ensembl
HADHA	GeneProduct	ENSBTAG00000015038	Ensembl
HADHA	GeneProduct	ENSBTAG00000015038	Ensembl
HADHA	GeneProduct	ENSBTAG00000015038	Ensembl
Acyl-CoA	Metabolite	9029-97-4	CAS
HADH	GeneProduct	ENSBTAG00000002049	Ensembl
ECHS1	GeneProduct	ENSBTAG00000017710	Ensembl
HADHA	GeneProduct	ENSBTAG00000015038	Ensembl
HADHB	GeneProduct	ENSBTAG00000010083	Ensembl
ACSL4	GeneProduct	ENSBTAG00000018986	Ensembl
(S)-3-Hydroxydecanoyl-CoA	Metabolite	CHEBI:28325	ChEBI
ACADS	GeneProduct	ENSBTAG00000007484	Ensembl
