Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
NH₃	Metabolite	chebi:28938	""					wikidata:Q190901	chebi:28938	inchikey:QGZKDVFQNNGYKY-UHFFFAOYSA-O	pubchem.compound:223;pubchem.compound:16741146	chemspider:218	hmdb:HMDB0041827	kegg.compound:C01342	
H₂O	Metabolite	chebi:15377	""					wikidata:Q283	chebi:15377	inchikey:XLYOFNOQVPJJNP-UHFFFAOYSA-N	pubchem.compound:22247451;pubchem.compound:962	chemspider:937	hmdb:HMDB0002111	kegg.compound:C00001	
oxaloacetic acid	Metabolite	chebi:16452	""					wikidata:Q27101912	chebi:16452	inchikey:KHPXUQMNIQBQEV-UHFFFAOYSA-L	pubchem.compound:164550	chemspider:144251			
L-aspartate	Metabolite	chebi:29991	""					wikidata:Q27104098	chebi:29991	inchikey:CKLJMWTZIZZHCS-REOHCLBHSA-M	pubchem.compound:15939608;pubchem.compound:5460294	chemspider:4573879			
2-oxoglutarate	Metabolite	chebi:16810	""					wikidata:Q27102088	chebi:16810	inchikey:KPGXRSRHYNQIFN-UHFFFAOYSA-L	pubchem.compound:164533	chemspider:144236			
L-glutamate	Metabolite	cas:56-86-0	""					wikidata:Q26995161	chebi:16015	inchikey:WHUUTDBJXJRKMK-VKHMYHEASA-N	pubchem.compound:44272391;pubchem.compound:88747398;pubchem.compound:33032	chemspider:30572	hmdb:HMDB0000148	kegg.compound:C00025	
L-asparagine	Metabolite	cas:70-47-3	""					wikidata:Q29519883;wikidata:Q106345612	chebi:17196;chebi:58048	inchikey:DCXYFEDJOCDNAF-REOHCLBHSA-N	pubchem.compound:6267;pubchem.compound:6992089	chemspider:6031	hmdb:HMDB0000168	kegg.compound:C00152	
ASP1	GeneProduct	sgd:S000002729	""	ensembl:YDR321W	ncbigene:851920		uniprot:P38986								
ASP3-1	GeneProduct	sgd:S000004145	""	ensembl:YLR155C	ncbigene:850855;ncbigene:850852;ncbigene:850857;ncbigene:850850		uniprot:P0CZ17;uniprot:P0CX79;uniprot:P0CX77;uniprot:P0CX78								
AAT2	GeneProduct	sgd:S000004017	""	ensembl:YLR027C	ncbigene:850714		uniprot:P23542								
ASP3-3	GeneProduct	sgd:S000004148	""	ensembl:YLR158C	ncbigene:850855;ncbigene:850852;ncbigene:850857;ncbigene:850850		uniprot:P0CZ17;uniprot:P0CX79;uniprot:P0CX77;uniprot:P0CX78								
ASP3-4	GeneProduct	sgd:S000004150	""	ensembl:YLR160C	ncbigene:850855;ncbigene:850852;ncbigene:850857;ncbigene:850850		uniprot:P0CZ17;uniprot:P0CX79;uniprot:P0CX77;uniprot:P0CX78								
ASP3-2	GeneProduct	sgd:S000004147	""	ensembl:YLR157C	ncbigene:850855;ncbigene:850852;ncbigene:850857;ncbigene:850850		uniprot:P0CZ17;uniprot:P0CX79;uniprot:P0CX77;uniprot:P0CX78								
AAT1	GeneProduct	sgd:S000001589	""	ensembl:YKL106W	ncbigene:853755		uniprot:Q01802								
