ID	Database	Citation
28316954	Pubmed	"Molecular Pathways Controlling Autophagy in Pancreatic Cancer. New M, Van Acker T, Long JS, Sakamaki JI, Ryan KM, Tooze SA. Front Oncol. 2017 Mar 3;7:28.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/28316954"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/28316954"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/28316954"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
29153842	Pubmed	"Stress-Activated NRF2-MDM2 Cascade Controls Neoplastic Progression in Pancreas. Todoric J, Antonucci L, Di Caro G, Li N, Wu X, Lytle NK, et al. Cancer Cell. 2017 Dec 11;32(6):824-839.e8.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/29153842"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/29153842"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/29153842"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
33161807	Pubmed	"Regulation and function of autophagy in pancreatic cancer. Li J, Chen X, Kang R, Zeh H, Klionsky DJ, Tang D. Autophagy. 2021 Nov;17(11):3275–96.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/33161807"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/33161807"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/33161807"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
34459894	Pubmed	"Autophagy in pancreatic cancer. Guo C, Zhao Y. J Mol Cell Biol. 2022 Jan 21;13(11):786–90.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/34459894"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/34459894"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/34459894"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
