Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
egl-1	GeneProduct	ensembl:WBGene00001170	""	ensembl:WBGene00001170	ncbigene:179943		uniprot:O61667								
ced-9	GeneProduct	ensembl:WBGene00000423	""	ensembl:WBGene00000423	ncbigene:3565776		uniprot:P41958								
ced-13	GeneProduct	wormbase:R09F10.9	""												
akt-1	GeneProduct	ensembl:WBGene00000102	""	ensembl:WBGene00000102	ncbigene:179424		uniprot:Q17941								
pax-2	GeneProduct	ensembl:WBGene00003938	""	ensembl:WBGene00003938	ncbigene:187062		uniprot:U4PCL3;uniprot:Q21263								
hus-1	GeneProduct	ensembl:WBGene00002042	""	ensembl:WBGene00002042	ncbigene:171939		uniprot:G5EFI9								
ced-4	GeneProduct	ensembl:WBGene00000418	""	ensembl:WBGene00000418	ncbigene:175643		uniprot:P30429								
hpr-9	GeneProduct	ensembl:WBGene00001997	""	ensembl:WBGene00001997	ncbigene:176483		uniprot:Q95Q27;uniprot:A0A1W7LFZ8								
mrt-2	GeneProduct	ensembl:WBGene00003417	""	ensembl:WBGene00003417	ncbigene:176608		uniprot:G5EC44								
cep-1	GeneProduct	ensembl:WBGene00000467	""	ensembl:WBGene00000467	ncbigene:172616		uniprot:Q20646								
gld-1	GeneProduct	ensembl:WBGene00001595	""	ensembl:WBGene00001595	ncbigene:172532		uniprot:Q17339								
clk-2	GeneProduct	ensembl:WBGene00000537	""	ensembl:WBGene00000537	ncbigene:176065		uniprot:Q95YE9								
fsn-1	GeneProduct	ensembl:WBGene00001499	""	ensembl:WBGene00001499	ncbigene:175667		uniprot:Q18223								
abl-1	GeneProduct	ensembl:WBGene00000018	""	ensembl:WBGene00000018	ncbigene:181261		uniprot:A0A5E4LZH0;uniprot:P03949;uniprot:A0A5E4LZL8								
ced-3	GeneProduct	ensembl:WBGene00000417	""	ensembl:WBGene00000417	ncbigene:178272		uniprot:D3YT61;uniprot:P42573								
egl-38	GeneProduct	wormbase:C04G2.7	""												
ape-1	GeneProduct	ensembl:WBGene00000146	""	ensembl:WBGene00000146	ncbigene:179601		uniprot:Q9XVN3								
gld-3	GeneProduct	ensembl:WBGene00001597	""	ensembl:WBGene00001597	ncbigene:174174		uniprot:Q95ZK7								
