Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
RELA	GeneProduct	ensembl:ENSG00000173039	En:ENSG00000173039:T	RelA							
NFKBIA	GeneProduct	ensembl:ENSG00000100906	En:ENSG00000100906:T								
REL	GeneProduct	ensembl:ENSG00000162924	En:ENSG00000162924:T	c-Rel							
NFKB1	GeneProduct	ensembl:ENSG00000109320	En:ENSG00000109320:T								
NFKBIE	GeneProduct	ensembl:ENSG00000146232	En:ENSG00000146232:T								
CHUK	GeneProduct	ensembl:ENSG00000213341	En:ENSG00000213341:T	IKKa							
IKBKB	GeneProduct	ensembl:ENSG00000104365	En:ENSG00000104365:T								
IKBKG	GeneProduct	ensembl:ENSG00000269335	En:ENSG00000269335:T	IKKy							
RELA	GeneProduct	ensembl:ENSG00000173039	En:ENSG00000173039:T	RelA							
REL	GeneProduct	ensembl:ENSG00000162924	En:ENSG00000162924:T	c-Rel							
NFKB1	GeneProduct	ensembl:ENSG00000109320	En:ENSG00000109320:T								
NFKBIA	GeneProduct	ensembl:ENSG00000100906	En:ENSG00000100906:T								
NFKBIE	GeneProduct	ensembl:ENSG00000146232	En:ENSG00000146232:T								
RELA	GeneProduct	ensembl:ENSG00000173039	En:ENSG00000173039:T	RelA							
NFKBIA	GeneProduct	ensembl:ENSG00000100906	En:ENSG00000100906:T								
REL	GeneProduct	ensembl:ENSG00000162924	En:ENSG00000162924:T	c-Rel							
NFKB1	GeneProduct	ensembl:ENSG00000109320	En:ENSG00000109320:T								
NFKBIE	GeneProduct	ensembl:ENSG00000146232	En:ENSG00000146232:T								
