Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Malate	Metabolite	hmdb:HMDB0000744	""												
2P-Glycerate	Metabolite	hmdb:HMDB0000362	""						chebi:24344	inchikey:GXIURPTVHJPJLF-UHFFFAOYSA-N	pubchem.compound:59		hmdb:HMDB0000362		
Oxaloacetate	Metabolite	hmdb:HMDB0000223	""						chebi:30744	inchikey:KHPXUQMNIQBQEV-UHFFFAOYSA-N	pubchem.compound:970	chemspider:945	hmdb:HMDB0000223	kegg.compound:C00036	
1,3BP-Glycerate	Metabolite	hmdb:HMDB0001270	""						chebi:16001	inchikey:LJQLQCAXBUHEAZ-UWTATZPHSA-N	pubchem.compound:439191		hmdb:HMDB0001270	kegg.compound:C00236	
Acetyl-CoA	Metabolite	hmdb:HMDB0001206	""						chebi:15351	inchikey:ZSLZBFCDCINBPY-ZSJPKINUSA-N	pubchem.compound:444493	chemspider:392413	hmdb:HMDB0001206	kegg.compound:C00024	
3P-Glycerate	Metabolite	hmdb:HMDB0000807	""						chebi:17050	inchikey:OSJPPGNTCRNQQC-UHFFFAOYSA-N	pubchem.compound:724	chemspider:704	hmdb:HMDB0000807	kegg.compound:C00597	
Fructose-1,6BP	Metabolite	hmdb:HMDB0001058	""						chebi:28013	inchikey:RNBGYGVWRKECFJ-ARQDHWQXSA-N	pubchem.compound:10267	chemspider:9848	hmdb:HMDB0001058	kegg.compound:C05378	
Lactate	Metabolite	hmdb:HMDB0000190	""						chebi:422	inchikey:JVTAAEKCZFNVCJ-REOHCLBHSA-N	pubchem.compound:107689	chemspider:96860	hmdb:HMDB0000190	kegg.compound:C00186	
Glucose	Metabolite	hmdb:HMDB0000122	""						chebi:15903	inchikey:WQZGKKKJIJFFOK-VFUOTHLCSA-N	pubchem.compound:64689	chemspider:58238	hmdb:HMDB0000122	kegg.compound:C00221	
Glyceraldehyde 3P	Metabolite	hmdb:HMDB0001112	""						chebi:29052	inchikey:LXJXRIRHZLFYRP-VKHMYHEASA-N	pubchem.compound:439168	chemspider:388314	hmdb:HMDB0001112	kegg.compound:C00118	
Pyruvate	Metabolite	hmdb:HMDB0000243	""						chebi:32816	inchikey:LCTONWCANYUPML-UHFFFAOYSA-N	pubchem.compound:1060		hmdb:HMDB0000243	kegg.compound:C00022	
Fructose 6P	Metabolite	chebi:61527	""					wikidata:Q27131127	chebi:61527	inchikey:BGWGXPAPYGQALX-VRPWFDPXSA-L	pubchem.compound:23421195	chemspider:10463779			
Aspartate	Metabolite	hmdb:HMDB0000191	""						chebi:17053	inchikey:CKLJMWTZIZZHCS-REOHCLBHSA-N	pubchem.compound:5960	chemspider:5745	hmdb:HMDB0000191	kegg.compound:C00049	
Dihydroxyacetone-P	Metabolite	hmdb:HMDB0001473	""						chebi:16108	inchikey:GNGACRATGGDKBX-UHFFFAOYSA-N	pubchem.compound:668	chemspider:648	hmdb:HMDB0001473	kegg.compound:C00111	
P-enolpyruvate	Metabolite	hmdb:HMDB0000263	""						chebi:44897	inchikey:DTBNBXWJWCWCIK-UHFFFAOYSA-N	pubchem.compound:1005	chemspider:980	hmdb:HMDB0000263	kegg.compound:C00074	
Glucose-6P	Metabolite	chebi:75052	"Glucose-6-Phosphate (2-)"					wikidata:Q27145091	chebi:75052	inchikey:XTCSSQUVVLDALS-KCLVSGOISA-L	pubchem.compound:71668263	chemspider:29368475			
Glucose-6P (open)	Metabolite	chebi:57584	"D-Glucose-6-Phosphate (2-) open form"					wikidata:Q27124797	chebi:57584	inchikey:VFRROHXSMXFLSN-SLPGGIOYSA-L	pubchem.compound:23616120	chemspider:19952394			
Fructose 6P (open)	Metabolite	chebi:57579	"fructose-6-phosphate (2-) open form"					wikidata:Q27124793	chebi:57579	inchikey:GSXOAOHZAIYLCY-HSUXUTPPSA-L	pubchem.compound:21114947	chemspider:19969987			
fbp	GeneProduct	ncbigene:107994224	""												
Ald1	GeneProduct	ncbigene:107994885	""												
LOC107999802	GeneProduct	ncbigene:107999802	""												
Glut1	GeneProduct	ncbigene:107999331	""												
PCB	GeneProduct	ncbigene:108004016	""												
Pfk	GeneProduct	ncbigene:108003046	""												
GOT2	GeneProduct	:g10960.t1	""												
PGK1	GeneProduct	:g5409.t1	""												
LOC107996114	GeneProduct	ncbigene:107996114	""												
LOC108000456	GeneProduct	ncbigene:108000456	""												
Hex-A	GeneProduct	ncbigene:108000730	""												
PGAM2	GeneProduct	ncbigene:108000761	""												
muc	GeneProduct	ncbigene:107995101	""												
ENO3	GeneProduct	:STRG.4002.1	""												
Eno	GeneProduct	ncbigene:108002642	""												
MPC2	GeneProduct	:STRG.6836.3	""												
MPC1	GeneProduct	:g1222.t1	""												
LOC107997339	GeneProduct	ncbigene:107997339	""												
Pgk	GeneProduct	ncbigene:107993693	""												
SLC2A4	GeneProduct	:STRG.5504.1	""												
SLC2A3	GeneProduct	:STRG.3850.1	""												
GCK	GeneProduct	:STRG.10060.1	"Gck is mainly active in liver"												
PGAM1	GeneProduct	:g4531.t1	""												
PGI	GeneProduct	eccode:5.3.1.9	"phosphoglucose isomerase (PGI)"												
