Label	Type	ID	Database	
Thromboxane	Metabolite	CHEBI:26995	ChEBI
Tcp10c	GeneProduct	21462	Entrez Gene
Olfr954	GeneProduct	258328	Entrez Gene
Melatonin	Metabolite	HMDB0001389	HMDB
Gpr34	GeneProduct	23890	Entrez Gene
F2rl3	GeneProduct	14065	Entrez Gene
Htr6	GeneProduct	15565	Entrez Gene
Ccr9	GeneProduct	12769	Entrez Gene
Ptgfr	GeneProduct	19220	Entrez Gene
Htr7	GeneProduct	15566	Entrez Gene
Olfr934	GeneProduct	258434	Entrez Gene
Oxt	GeneProduct	18429	Entrez Gene
Fprl1	GeneProduct	14294	Entrez Gene
Fpr-rs1	GeneProduct	14288	Entrez Gene
Opn1sw	GeneProduct	12057	Entrez Gene
Ccr3	GeneProduct	12771	Entrez Gene
Gpr87	GeneProduct	84111	Entrez Gene
P2ry1	GeneProduct	18441	Entrez Gene
Ccr1l1	GeneProduct	12770	Entrez Gene
Olfr242	GeneProduct	406175	Entrez Gene
Htr2b	GeneProduct	15559	Entrez Gene
Gpr12	GeneProduct	14738	Entrez Gene
Olfr151	GeneProduct	406176	Entrez Gene
P2ry14	GeneProduct	140795	Entrez Gene
Olfr15	GeneProduct	18312	Entrez Gene
Olfr972	GeneProduct	258603	Entrez Gene
Ptger2	GeneProduct	19217	Entrez Gene
Ccr4	GeneProduct	12773	Entrez Gene
Olfr701	GeneProduct	66786	Entrez Gene
Olfr711	GeneProduct	259037	Entrez Gene
Olfr878	GeneProduct	258794	Entrez Gene
Olfr930	GeneProduct	258269	Entrez Gene
Sucnr1	GeneProduct	84112	Entrez Gene
Q9EPG0	GeneProduct	Q9EPG0_MOUSE	Uniprot-TrEMBL
Olfr27	GeneProduct	258826	Entrez Gene
Oprm1	GeneProduct	18390	Entrez Gene
Olfr887	GeneProduct	258415	Entrez Gene
Oxtr	GeneProduct	18430	Entrez Gene
Fpr1	GeneProduct	14293	Entrez Gene
Oprd1	GeneProduct	18386	Entrez Gene
Fpr-rs3	GeneProduct	14290	Entrez Gene
Olfr49	GeneProduct	18348	Entrez Gene
Ccr8	GeneProduct	12776	Entrez Gene
Olfr143	GeneProduct	258802	Entrez Gene
Cx3cr1	GeneProduct	13051	Entrez Gene
Olfr480	GeneProduct	56861	Entrez Gene
Ptger3	GeneProduct	19218	Entrez Gene
Gpr65	GeneProduct	14744	Entrez Gene
Cckbr	GeneProduct	12426	Entrez Gene
Ccrl2	GeneProduct	54199	Entrez Gene
Rgr	GeneProduct	57811	Entrez Gene
Cysltr1	GeneProduct	58861	Entrez Gene
Olfr159	GeneProduct	29849	Entrez Gene
Ptgir	GeneProduct	19222	Entrez Gene
Olfr943	GeneProduct	258323	Entrez Gene
Olfr714	GeneProduct	259035	Entrez Gene
Oprk1	GeneProduct	18387	Entrez Gene
Htr1d	GeneProduct	15552	Entrez Gene
Nmbr	GeneProduct	18101	Entrez Gene
Nmur1	GeneProduct	14767	Entrez Gene
Htr2c	GeneProduct	15560	Entrez Gene
F2rl1	GeneProduct	14063	Entrez Gene
Ppyr1	GeneProduct	19065	Entrez Gene
Gpr37l1	GeneProduct	171469	Entrez Gene
Olfr44	GeneProduct	18343	Entrez Gene
Adora2b	GeneProduct	11541	Entrez Gene
Olfr19	GeneProduct	18316	Entrez Gene
Gpr109b	GeneProduct	80885	Entrez Gene
Ccbp2	GeneProduct	59289	Entrez Gene
P2ry12	GeneProduct	70839	Entrez Gene
Avp	GeneProduct	11998	Entrez Gene
Opn1mw	GeneProduct	14539	Entrez Gene
Olfr146	GeneProduct	258742	Entrez Gene
Adrb2	GeneProduct	11555	Entrez Gene
Npy1r	GeneProduct	18166	Entrez Gene
Rrh	GeneProduct	20132	Entrez Gene
Olfr2	GeneProduct	18317	Entrez Gene
Gpr44	GeneProduct	14764	Entrez Gene
Serotonin	Metabolite	50-67-9	CAS
Olfr17	GeneProduct	18314	Entrez Gene
Npy2r	GeneProduct	18167	Entrez Gene
Olfr6	GeneProduct	233670	Entrez Gene
Olfr960	GeneProduct	258276	Entrez Gene
Olfr937	GeneProduct	258431	Entrez Gene
Mc4r	GeneProduct	17202	Entrez Gene
P2ry4	GeneProduct	57385	Entrez Gene
Olfr157	GeneProduct	29847	Entrez Gene
Olfr156	GeneProduct	29846	Entrez Gene
Chrm3	GeneProduct	12671	Entrez Gene
C5r1	GeneProduct	12273	Entrez Gene
Fpr-rs2	GeneProduct	14289	Entrez Gene
Htr2a	GeneProduct	15558	Entrez Gene
Cxcr4	GeneProduct	12767	Entrez Gene
Ccr5	GeneProduct	12774	Entrez Gene
Ccr6	GeneProduct	12458	Entrez Gene
Grpr	GeneProduct	14829	Entrez Gene
Olfr706	GeneProduct	258350	Entrez Gene
Tshr	GeneProduct	22095	Entrez Gene
Mc3r	GeneProduct	17201	Entrez Gene
Cmkor1	GeneProduct	12778	Entrez Gene
