Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Fibrin monomer	Metabolite	cas:9001-31-4	Ca:9001-31-4:T						wikidata:Q27205		
Bradykinin	Metabolite	cas:58-82-2	Ca:58-82-2:T						wikidata:Q24745328	chebi:3165;chebi:3165	inchikey:QXZGBUJJYSLZLT-FDISYFBBSA-N
C2	GeneProduct	ncbigene:717	L:717:T								
PLAT	GeneProduct	ncbigene:5327	L:5327:T								
ADN	GeneProduct	ncbigene:1675	L:1675:T								
F8	GeneProduct	ncbigene:2157	L:2157:T								
SERPINA5	GeneProduct	ncbigene:5104	L:5104:T								
F9	GeneProduct	ncbigene:2158	L:2158:T								
F2R	GeneProduct	ncbigene:2149	L:2149:T								
CLU	GeneProduct	ncbigene:1191	L:1191:T	CLU</br>Type your comment here							
SERPINA1	GeneProduct	ncbigene:5265	L:5265:T								
TFPI	GeneProduct	ncbigene:7035	L:7035:T								
CFH	GeneProduct	ncbigene:3075	L:3075:T								
FGB	GeneProduct	ncbigene:2244	L:2244:T								
KLKB1	GeneProduct	ncbigene:3818	L:3818:T								
MASP2	GeneProduct	ncbigene:10747	L:10747:T								
C5R1	GeneProduct	ncbigene:728	L:728:T								
A2M	GeneProduct	ncbigene:2	L:2:T								
MCP	GeneProduct	ncbigene:4179	L:4179:T								
F13B	GeneProduct	ncbigene:2165	L:2165:T								
F10	GeneProduct	ncbigene:2159	L:2159:T								
F7	GeneProduct	ncbigene:2155	L:2155:T								
CR2	GeneProduct	ncbigene:1380	L:1380:T								
F3	GeneProduct	ncbigene:2152	L:2152:T								
SERPING1	GeneProduct	ncbigene:710	L:710:T								
C1S	GeneProduct	ncbigene:716	L:716:T								
C1QG	GeneProduct	ncbigene:714	L:714:T								
BDKRB1	GeneProduct	ncbigene:623	L:623:T								
C7	GeneProduct	ncbigene:730	L:730:T	MGI:88235  LL:109828							
F5	GeneProduct	ncbigene:2153	L:2153:T								
VWF	GeneProduct	ncbigene:7450	L:7450:T								
PLAU	GeneProduct	ncbigene:5328	L:5328:T								
SERPINF2	GeneProduct	ncbigene:5345	L:5345:T								
C3AR1	GeneProduct	ncbigene:719	L:719:T								
THBD	GeneProduct	ncbigene:7056	L:7056:T								
Hc	GeneProduct	ncbigene:1213	L:1213:T								
CFI	GeneProduct	ncbigene:3426	L:3426:T								
F2	GeneProduct	ncbigene:2147	L:2147:T								
C1R	GeneProduct	ncbigene:715	L:715:T								
PROC	GeneProduct	ncbigene:5624	L:5624:T								
Daf1	GeneProduct	ncbigene:1604	L:1604:T								
PROS1	GeneProduct	ncbigene:5627	L:5627:T								
PLAUR	GeneProduct	ncbigene:5329	L:5329:T								
C1QB	GeneProduct	ncbigene:713	L:713:T								
SERPINE1	GeneProduct	ncbigene:5054	L:5054:T								
C6	GeneProduct	ncbigene:729	L:729:T								
C1QA	GeneProduct	ncbigene:712	L:712:T								
C8G	GeneProduct	ncbigene:733	L:733:T								
F12	GeneProduct	ncbigene:2161	L:2161:T								
MBL1	GeneProduct	ncbigene:3998	L:3998:T								
C9	GeneProduct	ncbigene:735	L:735:T								
SERPINC1	GeneProduct	ncbigene:462	L:462:T								
109821	GeneProduct	ncbigene:109821	L:109821:T								
PLG	GeneProduct	ncbigene:5340	L:5340:T								
SERPIND1	GeneProduct	ncbigene:3053	L:3053:T								
C3	GeneProduct	ncbigene:718	L:718:T								
H2-BF	GeneProduct	ncbigene:629	L:629:T								
MASP1	GeneProduct	ncbigene:5648	L:5648:T								
CPB2	GeneProduct	ncbigene:1361	L:1361:T								
C4	GeneProduct	ncbigene:721	L:721:T								
KNG1	GeneProduct	ncbigene:3827	L:3827:T								
CR1	GeneProduct	ncbigene:1378	L:1378:T								
