Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Sedoheptulose-7-Phosphate	Metabolite	cas:2646-35-7	""					wikidata:Q3040325	chebi:15721	inchikey:JDTUMPKOJBQPKX-GBNDHIKLSA-N	pubchem.compound:165007	chemspider:144663	hmdb:HMDB0001068	kegg.compound:C05382	
Fructose-6-Phosphate	Metabolite	cas:643-13-0	""					wikidata:Q32039197	chebi:15946;chebi:61553	inchikey:GSXOAOHZAIYLCY-HSUXUTPPSA-N	pubchem.compound:69507	chemspider:62713	hmdb:HMDB0000124	kegg.compound:C00085	
Xylulose-5-Phosphate	Metabolite	cas:60802-29-1	""					wikidata:Q37864045		inchikey:FNZLKVNUWIIPSJ-UHFFFAOYSA-N	pubchem.compound:850			kegg.compound:C00231	
Glyceraldehyde-3-phosphate	Metabolite	hmdb:HMDB0001112	""						chebi:29052	inchikey:LXJXRIRHZLFYRP-VKHMYHEASA-N	pubchem.compound:439168	chemspider:388314	hmdb:HMDB0001112	kegg.compound:C00118	
Ribose-5-Phosphate	Metabolite	cas:3615-55-2	""					wikidata:Q27125661	chebi:58273	inchikey:PPQRONHOSHZGFQ-LMVFSUKVSA-L	pubchem.compound:21115541	chemspider:19971025			
6-Phosphogluconate	Metabolite	hmdb:HMDB0001316	""						chebi:48928	inchikey:BIRSGZKFKXLSJQ-SQOUGZDYSA-N	pubchem.compound:91493	chemspider:82615	hmdb:HMDB0001316	kegg.compound:C00345	
Erythrose-4-Phosphate	Metabolite	hmdb:HMDB0001321	""						chebi:48153	inchikey:NGHMDNPXVRFFGS-IUYQGCFVSA-N	pubchem.compound:122357	chemspider:109096	hmdb:HMDB0001321	kegg.compound:C00279	
Ribulose-5-Phosphate	Metabolite	cas:4151-19-3	""					wikidata:Q418886	chebi:17666;chebi:17363;chebi:37455;chebi:17797	inchikey:FNZLKVNUWIIPSJ-UHNVWZDZSA-N	pubchem.compound:439184	chemspider:388327	hmdb:HMDB0000618	kegg.compound:C01101;kegg.compound:C00117;kegg.compound:C00199	
Glucose-6-Phosphate	Metabolite	cas:59-56-3	""					wikidata:Q418865	chebi:29042	inchikey:HXXFSFRBOHSIMQ-VFUOTHLCSA-N	pubchem.compound:65533	chemspider:58977	hmdb:HMDB0001586	kegg.compound:C00103	
6-Phosphonoglucono-delta-lactone	Metabolite	hmdb:HMDB0001127	""						chebi:16938	inchikey:IJOJIVNDFQSGAB-SQOUGZDYSA-N	pubchem.compound:439452	chemspider:388559	hmdb:HMDB0001127	kegg.compound:C01236	
Fructose-6-Phosphate	Metabolite	hmdb:HMDB0000124	""						chebi:15946	inchikey:GSXOAOHZAIYLCY-HSUXUTPPSA-N	pubchem.compound:69507	chemspider:62713	hmdb:HMDB0000124	kegg.compound:C00085	
G6PD	GeneProduct	ensembl:AGAP012678	""	ensembl:AGAP012678	ncbigene:1268534		uniprot:Q7QLH1;uniprot:Q7YSI7;uniprot:Q7YUG0;uniprot:K7Z3R6;uniprot:Q7YUG1;uniprot:Q7YSQ9;uniprot:Q95WJ6;uniprot:Q7YSP3;uniprot:Q7YUF7								
AgaP_AGAP010866	GeneProduct	ncbigene:1271093	""	ensembl:AGAP010866	ncbigene:1271093		uniprot:Q7QGR5								
AgaP_AGAP005080	GeneProduct	ncbigene:1274761	""	ensembl:AGAP005080	ncbigene:1274761		uniprot:Q7Q9R5								
AgaP_AGAP011800	GeneProduct	ncbigene:1280848	""	ensembl:AGAP011800	ncbigene:1280848		uniprot:Q7PZ95								
AgaP_AGAP011457	GeneProduct	ncbigene:3291340	""												
AgaP_AGAP004197	GeneProduct	ncbigene:1274031	""	ensembl:AGAP004197	ncbigene:1274031		uniprot:Q7PQM3;uniprot:K7Z3E1								
