Label	Type	ID	Database	
Fumarate	Metabolite		
Malate	Metabolite		
alpha-Ketogluterate	Metabolite		
Succinate	Metabolite		
Malate	Metabolite		
Isocitrate	Metabolite		
Oxaloacetate	Metabolite		
Acetyl-CoA	Metabolite		
Oxaloacetate	Metabolite		
Pyruvate	Metabolite		
F35G12.2	GeneProduct	WBGene00009440	WormBase
F23H11.3	GeneProduct	WBGene00017759	WormBase
pdhk-2	GeneProduct	WBGene00022719	WormBase
cts-1	GeneProduct	WBGene00000833	WormBase
C37E2.1	GeneProduct	WBGene00007993	WormBase
F47B10.1	GeneProduct	WBGene00009812	WormBase
mev-1	GeneProduct	WBGene00003225	WormBase
LLC1.3	GeneProduct	WBGene00010794	WormBase
mdh-1	GeneProduct	WBGene00018491	WormBase
aco-2	GeneProduct	WBGerne00000041	WormBase
LLC1.3	GeneProduct	WBGene00010794	WormBase
T22B11.5	GeneProduct	WBGene00020679	WormBase
C04C3.3	GeneProduct	WBGene00015413	WormBase
mdh-1	GeneProduct	WBGene00018491	WormBase
sdha-1	GeneProduct	WBGene00015391	WormBase
F43G9.1	GeneProduct	WBGene00009664	WormBase
fum-1	GeneProduct	WBGene00001503	WormBase
C30F12.7	GeneProduct	WBGene00016266	WormBase
PDHA2	GeneProduct		Entrez Gene
idh-2	GeneProduct	WBGene00007942	WormBase
W02F12.5	GeneProduct	179063	Entrez Gene
sdhd-1	GeneProduct	WBGene00009353	WormBase
T05H10.6	GeneProduct	WBGene00011510	WormBase
PDHX	GeneProduct		Entrez Gene
F23B12.5	GeneProduct	WBGene00009082	WormBase
pyc-1	GeneProduct	WBGene00004258	WormBase
PDP2	GeneProduct		Entrez Gene
pdk-1	GeneProduct	WBGene00003965	WormBase
phosphatase	GeneProduct	172035	Entrez Gene
sdhb-1	GeneProduct	WBGene00006433	WormBase
C50F7.4	GeneProduct	WBGene00016844	WormBase
